,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling Low Band (K),T_A Upwelling High Band (K)
0,0.0,104.0,0.3,0.001,3.0344917000000002,8.06865228237526e-06,4.050877763200839e-09,1122244.6875778504,-101.05816462275479,208.17879306572428,346.31553585395346
1,10.0,104.07777777777778,0.3,0.001,3.034562477777778,8.086445551676552e-06,4.125876289946752e-09,1122225.9280646192,-100.92162349619288,208.17879306572428,346.31553585395346
2,20.0,104.15555555555555,0.3,0.001,3.0346332555555557,8.104278059306776e-06,4.2021482185217264e-09,1122206.935095222,-100.78475363105268,208.1790787963405,346.34329005085766
3,30.0,104.23333333333333,0.3,0.001,3.0347040333333335,8.12214989179566e-06,4.279713133865773e-09,1122187.7050553598,-100.64755622468427,208.17936750316383,346.37105894445045
4,40.0,104.31111111111112,0.3,0.001,3.0347748111111112,8.140061135863751e-06,4.358590889169418e-09,1122168.2341643714,-100.51002722044592,208.17965922687395,346.3988420780953
5,50.0,104.38888888888889,0.3,0.001,3.034845588888889,8.158011878422801e-06,4.438801609065081e-09,1122148.5184855515,-100.37216783455295,208.17995401034332,346.42664005676954
6,60.0,104.46666666666667,0.3,0.001,3.0349163666666668,8.176002206576223e-06,4.520365692849922e-09,1122128.5542282707,-100.23397405749408,208.18025189846134,346.45445241926853
7,70.0,104.54444444444445,0.3,0.001,3.0349871444444445,8.194032207619545e-06,4.60330381774073e-09,1122108.3373583884,-100.09544712408007,208.18055293355994,346.4822797563236
8,80.0,104.62222222222222,0.3,0.001,3.0350579222222223,8.212101969040806e-06,4.687636942160754e-09,1122087.863897488,-99.9565830716599,208.1808571612943,346.51012160227236
9,90.0,104.7,0.3,0.001,3.0351287,8.230211578520924e-06,4.773386309059208e-09,1122067.129828731,-99.8173831533671,208.18116462611943,346.5379785337581
10,100.0,104.77777777777777,0.3,0.001,3.0351994777777778,8.248361123934224e-06,4.86057344926318e-09,1122046.1309159938,-99.67784345313014,208.18147537270806,346.5658500807699
11,110.0,104.85555555555555,0.3,0.001,3.0352702555555555,8.266550693348817e-06,4.9492201848624815e-09,1122024.86308288,-99.53796524212983,208.18178944865164,346.59373680602204
