,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling Low Band (K),T_A Upwelling High Band (K)
0,0.0,104.0,0.3,0.0,3.0344917000000002,8.06865228237526e-06,1.4823061925720978e-22,1122244.6875778504,-101.05816462275479,258.965676923191,374.6502402370391
1,10.0,104.07777777777778,0.3,0.0,3.034562477777778,8.086445551676552e-06,1.5557578452625934e-22,1122237.7573836546,-100.92459171902554,258.965676923191,374.6502402370391
2,20.0,104.15555555555555,0.3,0.0,3.0346332555555557,8.104278059306776e-06,1.6327312571429207e-22,1122230.811824971,-100.79073919942425,258.9660629628374,374.6909003296958
3,30.0,104.23333333333333,0.3,0.0,3.0347040333333335,8.12214989179566e-06,1.7133895551112753e-22,1122223.8512155998,-100.65661335398721,258.9664496478398,374.7316038275225
4,40.0,104.31111111111112,0.3,0.0,3.0347748111111112,8.140061135863751e-06,1.797903152805346e-22,1122216.8753098268,-100.5222096875402,258.9668369598131,374.77234871533506
5,50.0,104.38888888888889,0.3,0.0,3.034845588888889,8.158011878422801e-06,1.8864500638744454e-22,1122209.8841416722,-100.38752909943672,258.9672249115173,374.8131362523431
6,60.0,104.46666666666667,0.3,0.0,3.0349163666666668,8.176002206576223e-06,1.9792162281850213e-22,1122202.8777449352,-100.2525724848918,258.9676135001413,374.8539660612133
7,70.0,104.54444444444445,0.3,0.0,3.0349871444444445,8.194032207619545e-06,2.076395851471332e-22,1122195.8558763037,-100.11733540244381,258.9680027228898,374.8948377664978
8,80.0,104.62222222222222,0.3,0.0,3.0350579222222223,8.212101969040806e-06,2.1781917589613804e-22,1122188.8188466353,-99.98182408771397,258.9683925923564,374.9357526069209
9,90.0,104.7,0.3,0.0,3.0351287,8.230211578520924e-06,2.284815763529843e-22,1122181.7664133934,-99.84603411575752,258.96878309036043,374.97670859419054
10,100.0,104.77777777777777,0.3,0.0,3.0351994777777778,8.248361123934224e-06,2.3964890489484224e-22,1122174.698610709,-99.70996639373162,258.96917422944205,375.01770695998835
