,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling Low Band (K),T_A Upwelling High Band (K)
0,0.0,104.0,0.3,0.001,3.0344917000000002,8.06865228237526e-06,4.050877763200839e-09,1122244.6875778504,-101.05816462275479,210.02374519369323,354.0154919772207
1,10.0,104.12115384615385,0.3,0.001,3.0346019500000003,8.096385758981197e-06,4.168254253718021e-09,1122225.79812524,-100.9213906684008,210.02374519369323,354.0154919772207
2,20.0,104.24230769230769,0.3,0.001,3.0347122,8.124214560766344e-06,4.2887470324554496e-09,1122206.540027651,-100.78404574060535,210.02406011714356,354.04779248428764
3,30.0,104.36346153846154,0.3,0.001,3.03482245,8.152139015381247e-06,4.4124309719869265e-09,1122186.904199252,-100.64613223023134,210.0243802662692,354.08012715356216
4,40.0,104.48461538461538,0.3,0.001,3.0349327,8.180159451602724e-06,4.539382545208904e-09,1122166.8811003843,-100.50764728186158,210.0247057566244,354.1124947329926
5,50.0,104.60576923076923,0.3,0.001,3.0350429500000002,8.208276199337585e-06,4.669679855012853e-09,1122146.4611660317,-100.36858287741643,210.02503670997635,354.14489520155036
6,60.0,104.72692307692307,0.3,0.001,3.0351532000000003,8.23648958962665e-06,4.8034026644159815e-09,1122125.6344477418,-100.22893628760528,210.0253732471585,354.1773297361546
7,70.0,104.84807692307692,0.3,0.001,3.03526345,8.264799954648564e-06,4.940632427155221e-09,1122104.3909314177,-100.08870482375156,210.02571549395032,354.209798270634
8,80.0,104.96923076923076,0.3,0.001,3.0353737,8.293207627723759e-06,5.081452318750406e-09,1122082.7202873214,-99.94788069389962,210.02606357579856,354.2423007246345
9,90.0,105.09038461538462,0.3,0.001,3.03548395,8.32171294331831e-06,5.225947268041802e-09,1122060.611908948,-99.80646645694635,210.02641762188958,354.2748381910778
10,100.0,105.21153846153847,0.3,0.001,3.0355942000000002,8.350316237047917e-06,5.37420398920783e-09,1122038.0549495071,-99.66445444065671,210.02677776445725,354.3074093670612
11,110.0,105.33269230769231,0.3,0.001,3.03570445,8.37901784568189e-06,5.526311014268332e-09,1122015.0383560697,-99.52183707610553,210.02714413813868,354.340015301388
12,120.0,105.45384615384616,0.3,0.001,3.0358147,8.40781810714706e-06,5.682358726079275e-09,1121991.550818678,-99.37861702338395,210.02751687937655,354.37265700540325
13,130.0,105.575,0.3,0.001,3.03592495,8.436717360531778e-06,5.842439391824295e-09,1121967.5807255728,-99.23478683111733,210.02789612720264,354.4053331454
14,140.0,105.69615384615385,0.3,0.001,3.0360352,8.465715946089919e-06,6.006647197009125e-09,1121943.1162036138,-99.09033915015179,210.0282820239111,354.4380446901046
15,150.0,105.8173076923077,0.3,0.001,3.0361454500000002,8.494814205244843e-06,6.17507827996415e-09,1121918.145156035,-98.94527673832455,210.02867471435306,354.47079257172356
16,160.0,105.93846153846154,0.3,0.001,3.0362557,8.52401248059345e-06,6.347830766861528e-09,1121892.655145145,-98.79959236170947,210.02907434528467,354.5035754275886
17,170.0,106.05961538461538,0.3,0.001,3.03636595,8.553311115910235e-06,6.525004807252361e-09,1121866.6334374545,-98.6532739251905,210.0294810671969,354.5363941487817
18,180.0,106.18076923076923,0.3,0.001,3.0364762,8.5827104561513e-06,6.706702610129507e-09,1121840.0671189395,-98.5063292667425,210.02989503353456,354.56925070391793
19,190.0,106.30192307692307,0.3,0.001,3.03658645,8.612210847458443e-06,6.893028480522762e-09,1121812.9429133572,-98.35874644438432,210.0303163988134,354.60214258291177
20,200.0,106.42307692307692,0.3,0.001,3.0366967000000002,8.641812637163164e-06,7.084088856631332e-09,1121785.2471605155,-98.21051858197458,210.03074532146024,354.6350716986542
21,210.0,106.54423076923077,0.3,0.001,3.03680695,8.671516173790876e-06,7.279992347500552e-09,1121756.966004614,-98.06164378417157,210.03118196408855,354.66803881722905
22,220.0,106.66538461538461,0.3,0.001,3.0369172,8.701321807064868e-06,7.480849771248323e-09,1121728.0852285698,-97.91212019017883,210.03162649046664,354.701043589553
23,230.0,106.78653846153846,0.3,0.001,3.03702745,8.731229887910549e-06,7.686774193847203e-09,1121698.5903700034,-97.76194113246845,210.03207906807876,354.7340856557207
24,240.0,106.9076923076923,0.3,0.001,3.0371377,8.761240768459506e-06,7.89788096846909e-09,1121668.4665044816,-97.6110952210926,210.0325398662461,354.7671657102696
25,250.0,107.02884615384616,0.3,0.001,3.0372479500000003,8.791354802053703e-06,8.11428777539745e-09,1121637.6984314306,-97.4595856289477,210.03300905945852,354.8002854716544
26,260.0,107.15,0.3,0.001,3.0373582,8.821572343249503e-06,8.336114662514378e-09,1121606.270657373,-97.30740593711364,210.0334868244017,354.83344345474904
27,270.0,107.27115384615385,0.3,0.001,3.03746845,8.851893747822048e-06,8.563484086367987e-09,1121574.1672613227,-97.15454506373187,210.0339733401669,354.86664027023005
28,280.0,107.3923076923077,0.3,0.001,3.0375787,8.882319372769315e-06,8.796520953826803e-09,1121541.3720718937,-97.00100630545181,210.03446879027433,354.8998775302052
29,290.0,107.51346153846154,0.3,0.001,3.03768895,8.912849576316368e-06,9.035352664327432e-09,1121507.8684800235,-96.84677876848588,210.03497335987035,354.9331537147434
30,300.0,107.63461538461539,0.3,0.001,3.0377992000000003,8.943484717919501e-06,9.280109152721183e-09,1121473.639499721,-96.69185641744465,210.03548723855397,354.9664703717158
31,310.0,107.75576923076923,0.3,0.001,3.03790945,8.974225158270601e-06,9.530922932727296e-09,1121438.6678244942,-96.53623331153148,210.03601061936828,354.9998279850311
