,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling Low Band (K),T_A Upwelling High Band (K)
0,0.0,104.0,0.1,0.0,3.0344917000000002,8.06865228237526e-06,1.4823061925720978e-22,1122244.6875778504,-101.05816462275479,258.8382629043074,368.21707433176283
1,10.0,104.07777777777778,0.1,0.0,3.034562477777778,8.086445551676552e-06,1.5557578452625934e-22,1122235.9148549936,-100.8890804846795,258.8382629043074,368.21707433176283
2,20.0,104.15555555555555,0.1,0.0,3.0346332555555557,8.104278059306776e-06,1.6327312571429207e-22,1122227.1229501446,-100.71967821012132,258.83875053051986,368.26383035468905
3,30.0,104.23333333333333,0.1,0.0,3.0347040333333335,8.12214989179566e-06,1.7133895551112753e-22,1122218.311685267,-100.54995482465456,258.8392389582473,368.31063405754844
4,40.0,104.31111111111112,0.1,0.0,3.0347748111111112,8.140061135863751e-06,1.797903152805346e-22,1122209.4813238692,-100.37991586295563,258.83972819623153,368.35748618478357
5,50.0,104.38888888888889,0.1,0.0,3.034845588888889,8.158011878422801e-06,1.8864500638744454e-22,1122200.631688329,-100.20955835999077,258.8402182286953,368.40438513556137
6,60.0,104.46666666666667,0.1,0.0,3.0349163666666668,8.176002206576223e-06,1.9792162281850213e-22,1122191.7626021965,-100.038879380321,258.84070906435187,368.45133165070894
7,70.0,104.54444444444445,0.1,0.0,3.0349871444444445,8.194032207619545e-06,2.076395851471332e-22,1122182.8741089276,-99.8678802259025,258.84120071183366,368.4983264623978
8,80.0,104.62222222222222,0.1,0.0,3.0350579222222223,8.212101969040806e-06,2.1781917589613804e-22,1122173.9662516958,-99.69656219264303,258.84169316757385,368.5453691376723
9,90.0,104.7,0.1,0.0,3.0351287,8.230211578520924e-06,2.284815763529843e-22,1122165.0388556207,-99.52492238366592,258.8421864280252,368.5924592457375
10,100.0,104.77777777777777,0.1,0.0,3.0351994777777778,8.248361123934224e-06,2.3964890489484224e-22,1122156.091964275,-99.35296210758818,258.84268050171187,368.63959750668306
11,110.0,104.85555555555555,0.1,0.0,3.0352702555555555,8.266550693348817e-06,2.513442568827538e-22,1122147.1256209486,-99.18068266695701,258.8431753850596,368.6867834872394
12,120.0,104.93333333333334,0.1,0.0,3.0353410333333333,8.284780375026986e-06,2.635917461863778e-22,1122138.1396523097,-99.00808120299071,258.84367107451345,368.734016756292
13,130.0,105.0111111111111,0.1,0.0,3.0354118111111115,8.303050257425659e-06,2.7641654840320044e-22,1122129.1341020383,-98.83515903073892,258.8441675784915,368.78129802203654
14,140.0,105.08888888888889,0.1,0.0,3.035482588888889,8.321360429196861e-06,2.8984494583836235e-22,1122120.1087981402,-98.66191332476656,258.84466489341224,368.8286268509508
15,150.0,105.16666666666667,0.1,0.0,3.035553366666667,8.339710979188122e-06,3.0390437431381806e-22,1122111.0637846785,-98.48834541243433,258.84516302760187,368.8760039411812
16,160.0,105.24444444444444,0.1,0.0,3.0356241444444447,8.358101996442842e-06,3.18623471878047e-22,1122101.99910543,-98.31445661494168,258.84566197745306,368.92342885687026
17,170.0,105.32222222222222,0.1,0.0,3.0356949222222225,8.376533570200839e-06,3.34032129490196e-22,1122092.914589913,-98.14024414415947,258.846161739378,368.97090116432616
18,180.0,105.4,0.1,0.0,3.0357657000000002,8.395005789898727e-06,3.5016154375529263e-22,1122083.8100687766,-97.96570524060697,258.84666232159924,369.0184215501335
19,190.0,105.47777777777777,0.1,0.0,3.035836477777778,8.413518745170311e-06,3.670442717899653e-22,1122074.6857998562,-97.79084533816899,258.847163732262,369.065990692672
20,200.0,105.55555555555556,0.1,0.0,3.0359072555555557,8.43207252584706e-06,3.8471428830112124e-22,1122065.5416141646,-97.61566168559864,258.8476659559827,369.1136070410283
21,210.0,105.63333333333334,0.1,0.0,3.0359780333333335,8.450667221958579e-06,4.032070449629558e-22,1122056.3773438318,-97.44015156002905,258.84816900088157,369.1612712704037
22,220.0,105.71111111111111,0.1,0.0,3.0360488111111112,8.469302923733008e-06,4.2255953218092187e-22,1122047.1930337325,-97.26431631841669,258.8486728750025,369.20898404790773
23,230.0,105.78888888888889,0.1,0.0,3.036119588888889,8.487979721597427e-06,4.428103433345616e-22,1122037.988939616,-97.08816135272939,258.84917757468344,369.2567449332425
24,240.0,105.86666666666666,0.1,0.0,3.0361903666666668,8.506697706178327e-06,4.639997415942899e-22,1122028.764683441,-96.91167992102348,258.8496830846846,369.3045523926326
25,250.0,105.94444444444444,0.1,0.0,3.0362611444444445,8.52545696830209e-06,4.861697294109966e-22,1122019.5200999042,-96.73486936467843,258.85018942457947,369.3524081804944
26,260.0,106.02222222222223,0.1,0.0,3.0363319222222223,8.544257598995388e-06,5.093641207806762e-22,1122010.2554443507,-96.5577350742758,258.8506966022367,369.40031294489455
27,270.0,106.1,0.1,0.0,3.0364027,8.563099689485578e-06,5.336286163901798e-22,1122000.970551817,-96.3802743988725,258.85120460244485,369.4482651568401
28,280.0,106.17777777777778,0.1,0.0,3.0364734777777778,8.581983331201247e-06,5.590108817541143e-22,1121991.665467287,-96.2024887056577,258.8517134330492,369.496265461423
29,290.0,106.25555555555556,0.1,0.0,3.0365442555555555,8.600908615772601e-06,5.8556062845663625e-22,1121982.339818658,-96.02437139508328,258.8522230903813,369.5443134186234
30,300.0,106.33333333333333,0.1,0.0,3.0366150333333333,8.619875635031865e-06,6.133296986163548e-22,1121972.9938601032,-95.84592783940656,258.8527335936088,369.5924107378681
31,310.0,106.41111111111111,0.1,0.0,3.036685811111111,8.63888448101382e-06,6.4237215269673885e-22,1121963.6276366452,-95.6671594105157,258.8532449276013,369.6405559009002
32,320.0,106.4888888888889,0.1,0.0,3.036756588888889,8.657935245956213e-06,6.727443607885873e-22,1121954.2409859875,-95.4880635240053,258.85375708868816,369.68874846795296
33,330.0,106.56666666666666,0.1,0.0,3.036827366666667,8.677028022300157e-06,7.045050974962287e-22,1121944.8337469068,-95.30863762287393,258.85427008453286,369.73698906421026
34,340.0,106.64444444444445,0.1,0.0,3.0368981444444447,8.69616290269064e-06,7.377156405633686e-22,1121935.4059653664,-95.12888310721777,258.85478392272626,369.78527830719764
35,350.0,106.72222222222223,0.1,0.0,3.0369689222222225,8.715339979976933e-06,7.724398733795912e-22,1121925.9576870312,-94.94880137061283,258.8552985995338,369.83361575123394
36,360.0,106.8,0.1,0.0,3.0370397000000002,8.7345593472131e-06,8.087443915137466e-22,1121916.4887520587,-94.76838989035578,258.8558141112415,369.8820009528443
37,370.0,106.87777777777778,0.1,0.0,3.037110477777778,8.753821097658408e-06,8.466986134254204e-22,1121906.9990016653,-94.5876461708451,258.8563304653464,369.9304345192111
38,380.0,106.95555555555555,0.1,0.0,3.0371812555555557,8.773125324777732e-06,8.86374895511327e-22,1121897.4886867397,-94.40657552304951,258.8568476692732,369.9789170499983
39,390.0,107.03333333333333,0.1,0.0,3.0372520333333335,8.79247212224211e-06,9.278486516488854e-22,1121887.95744494,-94.22517157827691,258.85736570811736,370.0274470546739
40,400.0,107.11111111111111,0.1,0.0,3.0373228111111112,8.81186158392915e-06,9.711984774052473e-22,1121878.4055265565,-94.04343963791453,258.8578846003817,370.07602616808214
41,410.0,107.18888888888888,0.1,0.0,3.037393588888889,8.831293803923424e-06,1.0165062790859002e-21,1121868.8325713382,-93.86137338326473,258.8584043312029,370.12465290507504
42,420.0,107.26666666666667,0.1,0.0,3.0374643666666667,8.850768876517038e-06,1.0638574078032119e-21,1121859.238828972,-93.67897810601454,258.85892491894185,370.17332888475516
43,430.0,107.34444444444445,0.1,0.0,3.0375351444444445,8.870286896210037e-06,1.1133407987515568e-21,1121849.6241433572,-93.4962513773991,258.85944634877643,370.222052627378
44,440.0,107.42222222222222,0.1,0.0,3.0376059222222223,8.889847957710822e-06,1.1650491158825648e-21,1121839.9883594278,-93.31319079517894,258.85996862794985,370.27082471261167
45,450.0,107.5,0.1,0.0,3.0376767,8.909452155936648e-06,1.219078902180879e-21,1121830.3315243307,-93.12979780412118,258.8604917636354,370.31964571285016
46,460.0,107.57777777777778,0.1,0.0,3.0377474777777778,8.929099586014121e-06,1.2755307357471375e-21,1121820.6536849088,-92.94607384224705,258.8610157520199,370.3685151763577
47,470.0,107.65555555555555,0.1,0.0,3.0378182555555555,8.948790343279625e-06,1.33450939190354e-21,1121810.9546873996,-92.76201653985896,258.8615405893114,370.4174326536315
48,480.0,107.73333333333333,0.1,0.0,3.0378890333333333,8.968524523279744e-06,1.3961240115438007e-21,1121801.2343790603,-92.57762355347307,258.8620662825948,370.4663987074033
49,490.0,107.81111111111112,0.1,0.0,3.0379598111111115,8.988302221771771e-06,1.460488275957375e-21,1121791.4930070022,-92.39290012858427,258.8625928388864,370.51541389326707
50,500.0,107.88888888888889,0.1,0.0,3.038030588888889,9.008123534724194e-06,1.5277205883664362e-21,1121781.730418749,-92.207843927627,258.8631202435403,370.56447675340036
51,510.0,107.96666666666667,0.1,0.0,3.038101366666667,9.027988558317138e-06,1.5979442624216795e-21,1121771.9464628324,-92.02245263898237,258.8636485035548,370.6135878410225
52,520.0,108.04444444444445,0.1,0.0,3.0381721444444447,9.047897388942795e-06,1.6712877179120763e-21,1121762.141186899,-91.8367277292596,258.86417762586007,370.6627477023164
53,530.0,108.12222222222222,0.1,0.0,3.0382429222222225,9.067850123205897e-06,1.747884683952707e-21,1121752.3144406124,-91.65066691551623,258.8647076066107,370.71195588347393
54,540.0,108.2,0.1,0.0,3.0383137000000002,9.087846857924333e-06,1.827874409923614e-21,1121742.4662718729,-91.46427167354302,258.8652384526606,370.76121292254726
55,550.0,108.27777777777777,0.1,0.0,3.038384477777778,9.10788769012938e-06,1.9114018844423024e-21,1121732.5965314647,-91.27753974883214,258.8657701601475,370.8105183644023
56,560.0,108.35555555555555,0.1,0.0,3.0384552555555557,9.127972717066312e-06,1.998618062662757e-21,1121722.7052675353,-91.09047262618368,258.8663027358499,370.85987273905545
