,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling Low Band (K),T_A Upwelling High Band (K)
0,0.0,104.0,0.3,1e-05,3.0344917000000002,8.06865228237526e-06,4.050877763215513e-11,1122244.6875778504,-101.05816462275479,230.25090024916946,384.62047505806703
1,10.0,104.12115384615385,0.3,1e-05,3.0346019500000003,8.096385758981197e-06,4.168254253733844e-11,1122237.6292243528,-100.92435558956369,230.25090024916946,384.62047505806703
2,20.0,104.24230769230769,0.3,1e-05,3.0347122,8.124214560766344e-06,4.288747032472506e-11,1122230.5437028885,-100.79006416735896,230.2511303483702,384.6673495880571
3,30.0,104.36346153846154,0.3,1e-05,3.03482245,8.152139015381247e-06,4.412430972005311e-11,1122223.430844861,-100.65529207048536,230.25136099348313,384.71430104099437
4,40.0,104.48461538461538,0.3,1e-05,3.0349327,8.180159451602724e-06,4.539382545228717e-11,1122216.2907559334,-100.52003030162923,230.25159218738776,384.7613283524931
5,50.0,104.60576923076923,0.3,1e-05,3.0350429500000002,8.208276199337585e-06,4.6696798550342e-11,1122209.122998033,-100.38428062530046,230.2518239240383,384.8084341903761
6,60.0,104.72692307692307,0.3,1e-05,3.0351532000000003,8.23648958962665e-06,4.803402664438979e-11,1122201.9274083723,-100.24804479234932,230.25205621502533,384.85561747063224
7,70.0,104.84807692307692,0.3,1e-05,3.03526345,8.264799954648564e-06,4.940632427179991e-11,1122194.7038260621,-100.11131924293042,230.25228906296837,384.9028771176746
8,80.0,104.96923076923076,0.3,1e-05,3.0353737,8.293207627723759e-06,5.08145231877708e-11,1122187.4518239961,-99.97410045903706,230.25252247040237,384.95021389729163
9,90.0,105.09038461538462,0.3,1e-05,3.03548395,8.32171294331831e-06,5.225947268070524e-11,1122180.1715141786,-99.83639022698603,230.25275644842836,384.9976285562333
10,100.0,105.21153846153847,0.3,1e-05,3.0355942000000002,8.350316237047917e-06,5.374203989238749e-11,1122172.8627413067,-99.69818507373445,230.25299099071825,385.04512000840543
11,110.0,105.33269230769231,0.3,1e-05,3.03570445,8.37901784568189e-06,5.526311014301611e-11,1122165.525086945,-99.55948679598164,230.2532260995587,385.09268898067535
12,120.0,105.45384615384616,0.3,1e-05,3.0358147,8.40781810714706e-06,5.6823587261150904e-11,1122158.158401513,-99.42029196509829,230.25346178566593,385.1403343861874
13,130.0,105.575,0.3,1e-05,3.03592495,8.436717360531778e-06,5.842439391862831e-11,1122150.7625372089,-99.28059719333419,230.25369805107357,385.18805693228956
14,140.0,105.69615384615385,0.3,1e-05,3.0360352,8.465715946089919e-06,6.006647197050583e-11,1122143.3373479925,-99.14039913366308,230.2539348977367,385.2358573080339
15,150.0,105.8173076923077,0.3,1e-05,3.0361454500000002,8.494814205244843e-06,6.175078280008744e-11,1122135.8826895657,-98.99970480048017,230.25417232753304,385.2837361843473
16,160.0,105.93846153846154,0.3,1e-05,3.0362557,8.52401248059345e-06,6.347830766909488e-11,1122128.398159614,-98.85850570867684,230.2544103422636,385.33169069830655
17,170.0,106.05961538461538,0.3,1e-05,3.03636595,8.553311115910235e-06,6.52500480730393e-11,1122120.883619342,-98.71680372125722,230.25464895193446,385.3797232681632
18,180.0,106.18076923076923,0.3,1e-05,3.0364762,8.5827104561513e-06,6.706702610184947e-11,1122113.3389316294,-98.57459557688686,230.25488815810567,385.4278327889268
19,190.0,106.30192307692307,0.3,1e-05,3.03658645,8.612210847458443e-06,6.893028480582357e-11,1122105.7639610115,-98.43187805397937,230.25512796226405,385.47601989471605
20,200.0,106.42307692307692,0.3,1e-05,3.0366967000000002,8.641812637163164e-06,7.084088856695381e-11,1122098.158062496,-98.28865304698475,230.25536836582432,385.52428520224186
21,210.0,106.54423076923077,0.3,1e-05,3.03680695,8.671516173790876e-06,7.279992347569377e-11,1122090.5213625517,-98.14491737600596,230.25560938632788,385.57262759849203
22,220.0,106.66538461538461,0.3,1e-05,3.0369172,8.701321807064868e-06,7.480849771322266e-11,1122082.853479112,-98.00067294355387,230.2558510168143,385.6210476825787
23,230.0,106.78653846153846,0.3,1e-05,3.03702745,8.731229887910549e-06,7.686774193926636e-11,1122075.154287246,-97.85591158421393,230.25609326640728,385.66954434201415
24,240.0,106.9076923076923,0.3,1e-05,3.0371377,8.761240768459506e-06,7.897880968554404e-11,1122067.42366356,-97.71063524501129,230.25633613606442,385.71811984438995
25,250.0,107.02884615384616,0.3,1e-05,3.0372479500000003,8.791354802053703e-06,8.114287775489067e-11,1122059.6612357746,-97.56484585815316,230.25657962667702,385.7667730615034
26,260.0,107.15,0.3,1e-05,3.0373582,8.821572343249503e-06,8.336114662612745e-11,1122051.8668855664,-97.41853538685625,230.25682374694603,385.81550287384647
27,270.0,107.27115384615385,0.3,1e-05,3.03746845,8.851893747822048e-06,8.563484086473586e-11,1122044.039999404,-97.27170580694963,230.25706849754445,385.8643114892419
28,280.0,107.3923076923077,0.3,1e-05,3.0375787,8.882319372769315e-06,8.796520953940148e-11,1122036.1804659958,-97.12435413501117,230.25731389465474,385.9131977730472
29,290.0,107.51346153846154,0.3,1e-05,3.03768895,8.912849576316368e-06,9.03535266444907e-11,1122028.2881754509,-96.97648235326935,230.2575599386487,385.9621622413154
30,300.0,107.63461538461539,0.3,1e-05,3.0377992000000003,8.943484717919501e-06,9.280109152851702e-11,1122020.3630192599,-96.82808751731788,230.25780662983846,386.01120376081883
31,310.0,107.75576923076923,0.3,1e-05,3.03790945,8.974225158270601e-06,9.530922932867324e-11,1122012.4044018558,-96.6791667201877,230.2580539684772,386.0603228317755
32,320.0,107.87692307692308,0.3,1e-05,3.0380197,9.00507125930125e-06,9.787929141148246e-11,1122004.4122215323,-96.52971709216165,230.25830196998012,386.1095199386756
33,330.0,107.99807692307692,0.3,1e-05,3.03812995,9.036023384187107e-06,1.0051265581963583e-10,1121996.386377879,-96.37974066338843,230.25855063431138,386.1587955504415
34,340.0,108.11923076923077,0.3,1e-05,3.0382402,9.067081897352118e-06,1.0321072772508839e-10,1121988.3262895155,-96.22923944873043,230.25879996138008,386.20814852139085
35,350.0,108.24038461538461,0.3,1e-05,3.0383504500000003,9.098247164472845e-06,1.0597493988846386e-10,1121980.2318626526,-96.07820095553814,230.25904996599985,386.2575777146046
36,360.0,108.36153846153846,0.3,1e-05,3.0384607,9.129519552482688e-06,1.088067531248528e-10,1121972.102526587,-95.92663209007188,230.25930064780022,386.3070867492155
37,370.0,108.4826923076923,0.3,1e-05,3.03857095,9.160899429576343e-06,1.1170765677605238e-10,1121963.938432051,-95.77452529540878,230.25955202114454,386.3566728853056
38,380.0,108.60384615384615,0.3,1e-05,3.0386812,9.192387165213986e-06,1.1467916918932668e-10,1121955.7390168253,-95.62188745006812,230.2598040780408,386.4063381128906
39,390.0,108.725,0.3,1e-05,3.03879145,9.223983130125754e-06,1.1772283820274758e-10,1121947.5039619426,-95.46871106539301,230.260056832496,386.45607971113856
40,400.0,108.84615384615384,0.3,1e-05,3.0389017000000003,9.255687696316031e-06,1.2084024163718932e-10,1121939.2331875416,-95.31499349068902,230.26031029094992,386.5058996394084
41,410.0,108.96730769230768,0.3,1e-05,3.03901195,9.287501237067874e-06,1.2403298779503362e-10,1121930.9261469555,-95.16073684553648,230.26056445244882,386.55579827805354
42,420.0,109.08846153846154,0.3,1e-05,3.0391222,9.319424126947343e-06,1.2730271596566948e-10,1121922.5825335842,-95.00593851454026,230.26081933035022,386.6057744601738
43,430.0,109.20961538461539,0.3,1e-05,3.03923245,9.351456741807953e-06,1.306510969378376e-10,1121914.2022767414,-94.85059591742564,230.2610749305791,386.6558285526468
44,440.0,109.33076923076923,0.3,1e-05,3.0393427,9.383599458795135e-06,1.340798335189065e-10,1121905.7848449906,-94.69471119632378,230.26133125180064,386.70596090824506
45,450.0,109.45192307692308,0.3,1e-05,3.0394529500000003,9.415852656350641e-06,1.375906610611315e-10,1121897.3299437652,-94.53827713360309,230.26158830674078,386.756170357035
46,460.0,109.57307692307693,0.3,1e-05,3.0395632,9.448216714216942e-06,1.4118534799497894e-10,1121888.8372824322,-94.38129590920927,230.26184610082697,386.8064587395701
47,470.0,109.69423076923077,0.3,1e-05,3.03967345,9.48069201344183e-06,1.4486569636958384e-10,1121880.3063464928,-94.22376504623271,230.26210463932472,386.8568248743838
48,480.0,109.81538461538462,0.3,1e-05,3.0397837,9.513278936382755e-06,1.4863354240040024e-10,1121871.7370818492,-94.065682101909,230.26236393426234,386.90726907394253
49,490.0,109.93653846153846,0.3,1e-05,3.03989395,9.54597786671146e-06,1.5249075702413118e-10,1121863.1289837197,-93.9070446674173,230.2626239836227,386.957791637264
50,500.0,110.0576923076923,0.3,1e-05,3.0400042000000003,9.578789189418417e-06,1.5643924646099507e-10,1121854.481778854,-93.74785496143369,230.2628847990363,387.0083928500632
51,510.0,110.17884615384615,0.3,1e-05,3.04011445,9.611713290817406e-06,1.6048095278440623e-10,1121845.7947504176,-93.58811060768326,230.26314638505733,387.05907152353734
52,520.0,110.3,0.3,1e-05,3.0402247,9.644750558549998e-06,1.646178544981432e-10,1121837.0678592974,-93.42780470036561,230.26340875959838,387.1098279315626
53,530.0,110.42115384615384,0.3,1e-05,3.04033495,9.677901381590163e-06,1.6885196712106806e-10,1121828.3006237356,-93.26693951177235,230.2636719200327,387.1606637809445
54,540.0,110.54230769230769,0.3,1e-05,3.0404452,9.711166150248888e-06,1.731853437794805e-10,1121819.4930097845,-93.10551729723694,230.26393587705485,387.2115778674119
55,550.0,110.66346153846153,0.3,1e-05,3.0405554500000003,9.744545256178709e-06,1.7762007580716708e-10,1121810.644325315,-92.9435312615497,230.2642006278295,387.26256899588316
56,560.0,110.78461538461538,0.3,1e-05,3.0406657,9.778039092378369e-06,1.8215829335322772e-10,1121801.7541063714,-92.78098369478793,230.26446618926946,387.3136388262419
57,570.0,110.90576923076924,0.3,1e-05,3.04077595,9.81164805319736e-06,1.8680216599775158e-10,1121792.822113009,-92.61787238361232,230.26473257135174,387.3647861536298
58,580.0,111.02692307692308,0.3,1e-05,3.0408862,9.845372534340688e-06,1.915539033754065e-10,1121783.8478922045,-92.45419067573559,230.26499977728534,387.41601119017685
59,590.0,111.14807692307693,0.3,1e-05,3.04099645,9.879212932873473e-06,1.9641575580703467e-10,1121774.8309973506,-92.28994091203627,230.26526781660934,387.4673155361256
60,600.0,111.26923076923077,0.3,1e-05,3.0411067000000003,9.913169647225558e-06,2.0139001493930283e-10,1121765.7709882013,-92.12512097514771,230.2655366986065,387.5186979727213
61,610.0,111.39038461538462,0.3,1e-05,3.04121695,9.947243077196331e-06,2.0647901439250786e-10,1121756.6674308178,-91.95972877928786,230.2658064323065,387.57015867589826
62,620.0,111.51153846153846,0.3,1e-05,3.0413272,9.981433623959358e-06,2.1168513041659637e-10,1121747.5201098602,-91.79376227005292,230.26607702648832,387.6216978097846
63,630.0,111.63269230769231,0.3,1e-05,3.04143745,1.001574169006706e-05,2.1701078255547503e-10,1121738.3283904484,-91.62721942421074,230.26634848338202,387.67331552683606
64,640.0,111.75384615384615,0.3,1e-05,3.0415477,1.0050167679455585e-05,2.224584343196935e-10,1121729.091857212,-91.46010263008444,230.2666208176169,387.7250119679687
65,650.0,111.875,0.3,1e-05,3.0416579500000003,1.0084711997449406e-05,2.2803059386757382e-10,1121719.8101008516,-91.29240552686011,230.2668940372383,387.77678590668654
66,660.0,111.99615384615385,0.3,1e-05,3.0417682,1.0119375050766229e-05,2.337298146948512e-10,1121710.4825098384,-91.12413053433428,230.26716815005304,387.82863882331765
67,670.0,112.11730769230769,0.3,1e-05,3.04187845,1.0154157247521708e-05,2.3955869633292895e-10,1121701.1086888793,-90.95527571842972,230.2674431697719,387.88056948338755
68,680.0,112.23846153846154,0.3,1e-05,3.0419887,1.0189058997234292e-05,2.4551988505578635e-10,1121691.6882485538,-90.78583485417334,230.267719103653,387.9325779961338
69,690.0,112.35961538461538,0.3,1e-05,3.04209895,1.022408071082995e-05,2.51616074595659e-10,1121682.2206001054,-90.61581040730782,230.26799595872535,387.984665787008
70,700.0,112.48076923076923,0.3,1e-05,3.0422092000000003,1.0259222800647177e-05,2.5785000686753044e-10,1121672.705367715,-90.44520053376903,230.26827374781112,388.03683161025157
71,710.0,112.60192307692307,0.3,1e-05,3.04231945,1.0294485680441655e-05,2.6422447270254475e-10,1121663.1419781486,-90.27400341909474,230.26855247741054,388.0890755425466
72,720.0,112.72307692307692,0.3,1e-05,3.0424297,1.0329869765391296e-05,2.707423125903895e-10,1121653.5298668528,-90.10221301609239,230.26883215974362,388.14139764996065
73,730.0,112.84423076923076,0.3,1e-05,3.04253995,1.0365375472101054e-05,2.7740641743074936e-10,1121643.8684778863,-89.92983184935747,230.2691128066951,388.193799286992
74,740.0,112.96538461538461,0.3,1e-05,3.0426502,1.0401003218607766e-05,2.8421972929390536e-10,1121634.1574638141,-89.75685819197514,230.26939442981782,388.24627919410676
75,750.0,113.08653846153847,0.3,1e-05,3.0427604500000003,1.0436753424385209e-05,2.91185242190539e-10,1121624.396084662,-89.58329034581207,230.26967703451743,388.2988374062986
76,760.0,113.20769230769231,0.3,1e-05,3.0428707,1.0472626510348963e-05,2.98306002850849e-10,1121614.5840077458,-89.40912664131234,230.26996063755456,388.35147394843193
77,770.0,113.32884615384616,0.3,1e-05,3.04298095,1.050862289886132e-05,3.055851115130462e-10,1121604.72051181,-89.23436543729294,230.2702452437704,388.4041888353606
78,780.0,113.45,0.3,1e-05,3.0430912,1.0544743013736364e-05,3.130257227212981e-10,1121594.805082739,-89.05900512074052,230.2705308692108,388.45698207204464
79,790.0,113.57115384615385,0.3,1e-05,3.04320145,1.0580987280244917e-05,3.20631046133214e-10,1121584.8372145246,-88.88304410660837,230.27081752383006,388.50985365366734
80,800.0,113.6923076923077,0.3,1e-05,3.0433117000000003,1.0617356125119467e-05,3.284043473369591e-10,1121574.8162154013,-88.70648083761327,230.27110521727514,388.56280356574945
81,810.0,113.81346153846154,0.3,1e-05,3.04342195,1.065384997655935e-05,3.3634894867804953e-10,1121564.741597363,-88.5293137840342,230.2713939644732,388.6158317842634
82,820.0,113.93461538461538,0.3,1e-05,3.0435322,1.0690469264235618e-05,3.444682300959496e-10,1121554.6126885272,-88.35154144350979,230.2716837743909,388.6689382757462
83,830.0,114.05576923076923,0.3,1e-05,3.04364245,1.0727214419296247e-05,3.5276562997050143e-10,1121544.4288278415,-88.17316234083789,230.27197466120617,388.7221229974106
84,840.0,114.17692307692307,0.3,1e-05,3.0437527,1.0764085874371127e-05,3.6124464597832967e-10,1121534.189554602,-87.99417093897912,230.27226663869035,388.7753858972558
85,850.0,114.29807692307692,0.3,1e-05,3.0438629500000003,1.0801084063577202e-05,3.6990883595924305e-10,1121523.8940384446,-87.81456992312211,230.2725597147858,388.82872813149066
86,860.0,114.41923076923077,0.3,1e-05,3.0439732,1.0838209422523492e-05,3.787618187927535e-10,1121513.5416501784,-87.63435789830852,230.27285390793216,388.88214840725084
87,870.0,114.54038461538461,0.3,1e-05,3.04408345,1.0875462388316373e-05,3.8780727528478323e-10,1121503.1317710122,-87.45352944965742,230.2731492307115,388.9356466455809
88,880.0,114.66153846153846,0.3,1e-05,3.0441937,1.0912843399564555e-05,3.9704894906464124e-10,1121492.6637924362,-87.27208729876762,230.27344569531996,388.9892239563851
89,890.0,114.7826923076923,0.3,1e-05,3.04430395,1.0950352896384387e-05,4.064906474923455e-10,1121482.1371161041,-87.09002611101094,230.27374331357305,389.04287904024636
90,900.0,114.90384615384616,0.3,1e-05,3.0444142000000003,1.0987991320404985e-05,4.1613624257639833e-10,1121471.5509703225,-86.90734462737281,230.2740420969109,389.09661297689456
91,910.0,115.025,0.3,1e-05,3.04452445,1.1025759114773386e-05,4.2598967190205056e-10,1121460.9045964328,-86.72404161428781,230.27434206160012,389.1504256411646
92,920.0,115.14615384615385,0.3,1e-05,3.0446347,1.1063656724159802e-05,4.3605493957020025e-10,1121450.1972486798,-86.54011586344463,230.27464322342848,389.20431689961924
93,930.0,115.2673076923077,0.3,1e-05,3.04474495,1.1101684594762905e-05,4.463361171469586e-10,1121439.4281940798,-86.35556619159178,230.27494559771097,389.258286610649
94,940.0,115.38846153846154,0.3,1e-05,3.0448552,1.1139843174315019e-05,4.5683734462398495e-10,1121428.5968914959,-86.17039144034406,230.27524919929618,389.3123346245699
95,950.0,115.50961538461539,0.3,1e-05,3.0449654500000003,1.1178132912087424e-05,4.675628313896833e-10,1121417.7024527986,-85.9845904759907,230.2755540375287,389.36646078372115
96,960.0,115.63076923076923,0.3,1e-05,3.0450757,1.1216554258895564e-05,4.785168572113251e-10,1121406.7441824614,-85.79815826868918,230.2758601314251,389.4206649225607
97,970.0,115.75192307692308,0.3,1e-05,3.04518595,1.1255107667104514e-05,4.897037732282003e-10,1121395.7212210528,-85.6110937647304,230.2761674944731,389.4749480080607
98,980.0,115.87307692307692,0.3,1e-05,3.0452962,1.129379359063412e-05,5.011280029558835e-10,1121384.63289935,-85.42339982740762,230.27647614465056,389.5293098478758
99,990.0,115.99423076923077,0.3,1e-05,3.04540645,1.1332612484964504e-05,5.127940433016695e-10,1121373.4782119875,-85.23506766099915,230.2767860944959,389.58374911427927
100,1000.0,116.11538461538461,0.3,1e-05,3.0455167000000003,1.1371564807141337e-05,5.247064655913014e-10,1121362.2565174866,-85.04610017983367,230.27709736583205,389.63826785468507
101,1010.0,116.23653846153846,0.3,1e-05,3.04562695,1.1410651015781264e-05,5.368699166070644e-10,1121350.9670139789,-84.85649642493361,230.2774099702018,389.69286472773484
102,1020.0,116.3576923076923,0.3,1e-05,3.0457372,1.1449871571077214e-05,5.492891196372992e-10,1121339.608743205,-84.66625162214106,230.27772392351676,389.74753951162774
103,1030.0,116.47884615384615,0.3,1e-05,3.04584745,1.1489226934803975e-05,5.619688755374844e-10,1121328.180934168,-84.47536488950965,230.2780392459158,389.80229308085404
104,1040.0,116.6,0.3,1e-05,3.0459577,1.1528717570323453e-05,5.74914063802915e-10,1121316.682492414,-84.28383536779617,230.2783559522114,389.8571251884377
105,1050.0,116.72115384615384,0.3,1e-05,3.0460679500000003,1.1568343942590286e-05,5.881296436530774e-10,1121305.1128468893,-84.09165842257785,230.27867406605495,389.9120355805324
106,1060.0,116.84230769230768,0.3,1e-05,3.0461782,1.1608106518157245e-05,6.016206551278461e-10,1121293.470937037,-83.89883705427918,230.27899359648632,389.96702508188747
107,1070.0,116.96346153846153,0.3,1e-05,3.04628845,1.164800576518066e-05,6.15392220195517e-10,1121281.7558877266,-83.70536669982793,230.2793145659599,390.0220923349231
108,1080.0,117.08461538461539,0.3,1e-05,3.0463987,1.1688042153426104e-05,6.294495438728408e-10,1121269.96667565,-83.5112466193441,230.2796369916754,390.0772381392247
109,1090.0,117.20576923076923,0.3,1e-05,3.04650895,1.1728216154273718e-05,6.43797915357075e-10,1121258.1024604004,-83.31647609460033,230.2799608947789,390.1324622036305
110,1100.0,117.32692307692308,0.3,1e-05,3.0466192000000003,1.1768528240723944e-05,6.584427091702017e-10,1121246.162255033,-83.12105069816648,230.28028629125436,390.18776423061354
