,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling Low Band (K),T_A Upwelling High Band (K)
0,0.0,104.0,0.3,0.0,3.0344917000000002,8.06865228237526e-06,1.4823061925720978e-22,15325347052.573395,49.321578074748025,258.965676923191,374.6502402370391
1,10.0,104.07777777777778,0.3,0.0,3.034562477777778,8.086445551676552e-06,1.5557578452625934e-22,15325265110.100828,49.411526333686105,258.965676923191,374.6502402370391
2,20.0,104.15555555555555,0.3,0.0,3.0346332555555557,8.104278059306776e-06,1.6327312571429207e-22,15325182985.830084,49.501669848459024,258.9660629628374,374.6909003296958
3,30.0,104.23333333333333,0.3,0.0,3.0347040333333335,8.12214989179566e-06,1.7133895551112753e-22,15325100683.470694,49.5920043816469,258.9664496478398,374.7316038275225
4,40.0,104.31111111111112,0.3,0.0,3.0347748111111112,8.140061135863751e-06,1.797903152805346e-22,15325018200.11649,49.68253296036908,258.9668369598131,374.77234871533506
5,50.0,104.38888888888889,0.3,0.0,3.034845588888889,8.158011878422801e-06,1.8864500638744454e-22,15324935536.168886,49.77325497774342,258.9672249115173,374.8131362523431
6,60.0,104.46666666666667,0.3,0.0,3.0349163666666668,8.176002206576223e-06,1.9792162281850213e-22,15324852692.026663,49.86416982952784,258.9676135001413,374.8539660612133
7,70.0,104.54444444444445,0.3,0.0,3.0349871444444445,8.194032207619545e-06,2.076395851471332e-22,15324769664.81203,49.955280506894304,258.9680027228898,374.8948377664978
8,80.0,104.62222222222222,0.3,0.0,3.0350579222222223,8.212101969040806e-06,2.1781917589613804e-22,15324686458.199743,50.04658280680605,258.9683925923564,374.9357526069209
9,90.0,104.7,0.3,0.0,3.0351287,8.230211578520924e-06,2.284815763529843e-22,15324603069.321152,50.138079709559214,258.96878309036043,374.97670859419054
10,100.0,104.77777777777777,0.3,0.0,3.0351994777777778,8.248361123934224e-06,2.3964890489484224e-22,15324519498.578981,50.22977060212392,258.96917422944205,375.01770695998835
11,110.0,104.85555555555555,0.3,0.0,3.0352702555555555,8.266550693348817e-06,2.513442568827538e-22,15324435746.373337,50.32165487412509,258.96956600678294,375.05874732669247
12,120.0,104.93333333333334,0.3,0.0,3.0353410333333333,8.284780375026986e-06,2.635917461863778e-22,15324351809.8634,50.413735470423696,258.9699584195804,375.0998293185559
13,130.0,105.0111111111111,0.3,0.0,3.0354118111111115,8.303050257425659e-06,2.7641654840320044e-22,15324267689.45827,50.50601176673833,258.97035148021143,375.1409541472267
14,140.0,105.08888888888889,0.3,0.0,3.035482588888889,8.321360429196861e-06,2.8984494583836235e-22,15324183382.34035,50.59848667794741,258.970745185821,375.1821214311707
15,150.0,105.16666666666667,0.3,0.0,3.035553366666667,8.339710979188122e-06,3.0390437431381806e-22,15324098892.144508,50.691156037591874,258.9711395486505,375.2233323656356
