,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling Low Band (K),T_A Upwelling High Band (K)
0,0.0,104.0,0.1,0.001,3.0344917000000002,8.06865228237526e-06,4.050877763200839e-09,15325347052.573395,49.321578074748025,207.33475605539996,342.53648804794045
1,10.0,104.07777777777778,0.1,0.001,3.034562477777778,8.086445551676552e-06,4.125876289946752e-09,15325066267.126265,49.43797055930829,207.33475605539996,342.53648804794045
2,20.0,104.15555555555555,0.1,0.001,3.0346332555555557,8.104278059306776e-06,4.2021482185217264e-09,15324781987.848936,49.55462453165523,207.33510195408243,342.5688028968093
3,30.0,104.23333333333333,0.1,0.001,3.0347040333333335,8.12214989179566e-06,4.279713133865773e-09,15324494160.21056,49.67153879929621,207.3354514240168,342.60113320918117
4,40.0,104.31111111111112,0.1,0.001,3.0347748111111112,8.140061135863751e-06,4.358590889169418e-09,15324202727.026258,49.78871496621391,207.33580451422,342.63347844362283
5,50.0,104.38888888888889,0.1,0.001,3.034845588888889,8.158011878422801e-06,4.438801609065081e-09,15323907631.383366,49.90615461545013,207.3361612765431,342.66583883046945
6,60.0,104.46666666666667,0.1,0.001,3.0349163666666668,8.176002206576223e-06,4.520365692849922e-09,15323608813.932764,50.0238565350041,207.33652176206982,342.6982145925235
7,70.0,104.54444444444445,0.1,0.001,3.0349871444444445,8.194032207619545e-06,4.60330381774073e-09,15323306216.636509,50.14182228547149,207.3368860244212,342.730605182972
8,80.0,104.62222222222222,0.1,0.001,3.0350579222222223,8.212101969040806e-06,4.687636942160754e-09,15322999779.189724,50.260056164890024,207.33725411517233,342.7630108161081
9,90.0,104.7,0.1,0.001,3.0351287,8.230211578520924e-06,4.773386309059208e-09,15322689440.919674,50.37855692308806,207.33762608820916,342.7954324538486
10,100.0,104.77777777777777,0.1,0.001,3.0351994777777778,8.248361123934224e-06,4.86057344926318e-09,15322375139.11074,50.497323316540324,207.3380019974055,342.82786953784887
11,110.0,104.85555555555555,0.1,0.001,3.0352702555555555,8.266550693348817e-06,4.9492201848624815e-09,15322056811.70453,50.61635957667781,207.3383818986439,342.8603215123688
12,120.0,104.93333333333334,0.1,0.001,3.0353410333333333,8.284780375026986e-06,5.039348632627652e-09,15321734394.77567,50.735664435006385,207.33876584653834,342.89278931314533
13,130.0,105.0111111111111,0.1,0.001,3.0354118111111115,8.303050257425659e-06,5.130981207461407e-09,15321407823.495373,50.855239347985915,207.3391538974794,342.9252723769783
14,140.0,105.08888888888889,0.1,0.001,3.035482588888889,8.321360429196861e-06,5.22414062588356e-09,15321077033.037125,50.97508575177816,207.33954610845808,342.95777088073834
15,150.0,105.16666666666667,0.1,0.001,3.035553366666667,8.339710979188122e-06,5.318849909549975e-09,15320741955.371927,51.095205062317405,207.33994253597163,342.9902849941538
16,160.0,105.24444444444444,0.1,0.001,3.0356241444444447,8.358101996442842e-06,5.415132388805511e-09,15320402523.473179,51.21559867538381,207.3403432398561,343.0228148798585
17,170.0,105.32222222222222,0.1,0.001,3.0356949222222225,8.376533570200839e-06,5.513011706271502e-09,15320058668.936264,51.336267966677376,207.34074827823636,343.05536069343924
18,180.0,105.4,0.1,0.001,3.0357657000000002,8.395005789898727e-06,5.612511820467798e-09,15319710322.869434,51.45721161374398,207.34115771037108,343.08792258348393
19,190.0,105.47777777777777,0.1,0.001,3.035836477777778,8.413518745170311e-06,5.7136570094696395e-09,15319357413.650953,51.57843364170567,207.34157159558066,343.12049997157095
20,200.0,105.55555555555556,0.1,0.001,3.0359072555555557,8.43207252584706e-06,5.816471874599876e-09,15318999869.391119,51.699932704331026,207.34198999590137,343.15309371526064
21,210.0,105.63333333333334,0.1,0.001,3.0359780333333335,8.450667221958579e-06,5.920981344156388e-09,15318637617.989944,51.82171011695602,207.3424129731453,343.1857032292523
22,220.0,105.71111111111111,0.1,0.001,3.0360488111111112,8.469302923733008e-06,6.027210677175255e-09,15318270584.97173,51.94376982145095,207.34284058883006,343.21832864078954
23,230.0,105.78888888888889,0.1,0.001,3.036119588888889,8.487979721597427e-06,6.13518546723e-09,15317898695.843613,52.06611043651664,207.34327290672758,343.25097077666703
24,240.0,105.86666666666666,0.1,0.001,3.0361903666666668,8.506697706178327e-06,6.2449316462667515e-09,15317521874.700596,52.18873058843794,207.34370999006794,343.28362904155546
25,250.0,105.94444444444444,0.1,0.001,3.0362611444444445,8.52545696830209e-06,6.356475488476158e-09,15317140044.344887,52.31163677800297,207.34415190317605,343.31630284298353
26,260.0,106.02222222222223,0.1,0.001,3.0363319222222223,8.544257598995388e-06,6.469843614201733e-09,15316753126.400202,52.43482758955781,207.34459871131747,343.3489936797365
27,270.0,106.1,0.1,0.001,3.0364027,8.563099689485578e-06,6.585062993885381e-09,15316361042.113693,52.558304221605574,207.3450504805525,343.3817009467921
28,280.0,106.17777777777778,0.1,0.001,3.0364734777777778,8.581983331201247e-06,6.702160952050266e-09,15315963710.373785,52.68206785347573,207.34550727679027,343.41442473143474
29,290.0,106.25555555555556,0.1,0.001,3.0365442555555555,8.600908615772601e-06,6.821165171320852e-09,15315561049.231777,52.80611964541292,207.34596916808957,343.44716511445534
30,300.0,106.33333333333333,0.1,0.001,3.0366150333333333,8.619875635031865e-06,6.9421036964809795e-09,15315152975.996374,52.93046073866595,207.34643622287024,343.4799221701989
31,310.0,106.41111111111111,0.1,0.001,3.036685811111111,8.63888448101382e-06,7.065004938570147e-09,15314739406.667265,53.0550922555781,207.34690850979584,343.51269596661285
32,320.0,106.4888888888889,0.1,0.001,3.036756588888889,8.657935245956213e-06,7.189897679017648e-09,15314320256.055767,53.18001529967884,207.34738609842057,343.5454865652942
33,330.0,106.56666666666666,0.1,0.001,3.036827366666667,8.677028022300157e-06,7.3168110738157735e-09,15313895437.900055,53.30523095577585,207.34786905903752,343.5782940215378
34,340.0,106.64444444444445,0.1,0.001,3.0368981444444447,8.69616290269064e-06,7.445774657731752e-09,15313464863.714424,53.43074284050741,207.3483574625347,343.6111183843836
35,350.0,106.72222222222223,0.1,0.001,3.0369689222222225,8.715339979976933e-06,7.576818348558624e-09,15313028444.827524,53.55654943996142,207.34885138170426,343.64396036265936
36,360.0,106.8,0.1,0.001,3.0370397000000002,8.7345593472131e-06,7.709972451405763e-09,15312586090.606909,53.6826517833473,207.34935088888807,343.6768193244062
37,370.0,106.87777777777778,0.1,0.001,3.037110477777778,8.753821097658408e-06,7.845267663029124e-09,15312137709.829897,53.80905340808362,207.34985605800358,343.7096953001955
38,380.0,106.95555555555555,0.1,0.001,3.0371812555555557,8.773125324777732e-06,7.982735076201307e-09,15311683208.980667,53.935755287726586,207.3503669629626,343.74258897064476
39,390.0,107.03333333333333,0.1,0.001,3.0372520333333335,8.79247212224211e-06,8.122406184121952e-09,15311222494.19757,54.06275586712525,207.35088367960196,343.7755003483471
40,400.0,107.11111111111111,0.1,0.001,3.0373228111111112,8.81186158392915e-06,8.264312884868629e-09,15310755469.607439,54.190058605363625,207.35140628345172,343.8084287903992
41,410.0,107.18888888888888,0.1,0.001,3.037393588888889,8.831293803923424e-06,8.408487485888672e-09,15310282038.639036,54.31766691654803,207.35193485161767,343.8413749497215
42,420.0,107.26666666666667,0.1,0.001,3.0374643666666667,8.850768876517038e-06,8.554962708532012e-09,15309802102.990332,54.44557919659851,207.35246946127822,343.8743394642559
43,430.0,107.34444444444445,0.1,0.001,3.0375351444444445,8.870286896210037e-06,8.703771692625332e-09,15309315562.78278,54.573798808123605,207.35301019084162,343.9073216774703
44,440.0,107.42222222222222,0.1,0.001,3.0376059222222223,8.889847957710822e-06,8.85494800108781e-09,15308822316.708626,54.702324127679596,207.35355711975564,343.94032220928085
45,450.0,107.5,0.1,0.001,3.0376767,8.909452155936648e-06,9.008525624589435e-09,15308322262.171457,54.83116092955255,207.3541103283269,343.9733403982069
46,460.0,107.57777777777778,0.1,0.001,3.0377474777777778,8.929099586014121e-06,9.164538986250486e-09,15307815294.885174,54.96030755231459,207.35466989755008,344.0063774764766
47,470.0,107.65555555555555,0.1,0.001,3.0378182555555555,8.948790343279625e-06,9.323022946384475e-09,15307301309.558395,55.089764791070735,207.35523590954318,344.03943277204206
48,480.0,107.73333333333333,0.1,0.001,3.0378890333333333,8.968524523279744e-06,9.484012807283497e-09,15306780199.494722,55.21953586257752,207.35580844676872,344.07250624000096
49,490.0,107.81111111111112,0.1,0.001,3.0379598111111115,8.988302221771771e-06,9.647544318046729e-09,15306251855.709375,55.34962393950008,207.35638759246874,344.1055984504656
50,500.0,107.88888888888889,0.1,0.001,3.038030588888889,9.008123534724194e-06,9.813653679452188e-09,15305716168.640347,55.48002730490238,207.3569734316307,344.1387099591859
51,510.0,107.96666666666667,0.1,0.001,3.038101366666667,9.027988558317138e-06,9.982377548872588e-09,15305173026.252277,55.610749081775694,207.35756604907232,344.17184007939227
52,520.0,108.04444444444445,0.1,0.001,3.0381721444444447,9.047897388942795e-06,1.0153753045234604e-08,15304622315.718317,55.741789942539995,207.3581655315292,344.2049893498107
53,530.0,108.12222222222222,0.1,0.001,3.0382429222222225,9.067850123205897e-06,1.0327817754022904e-08,15304063922.563585,55.873152941944845,207.3587719657788,344.2381576872526
54,540.0,108.2,0.1,0.001,3.0383137000000002,9.087846857924333e-06,1.0504609732328516e-08,15303497729.869818,56.00483870038739,207.3593854395742,344.27134560797344
55,550.0,108.27777777777777,0.1,0.001,3.038384477777778,9.10788769012938e-06,1.0684167513941857e-08,15302923620.370909,56.13684782197731,207.36000604250015,344.30455301278175
56,560.0,108.35555555555555,0.1,0.001,3.0384552555555557,9.127972717066312e-06,1.0866530114491637e-08,15302341474.218582,56.26918326958033,207.36063386365788,344.3377797974119
57,570.0,108.43333333333334,0.1,0.001,3.0385260333333335,9.148102036194889e-06,1.1051737036628142e-08,15301751170.117418,56.40184559606413,207.3612689941001,344.3710264477957
58,580.0,108.5111111111111,0.1,0.001,3.0385968111111112,9.168275745189793e-06,1.1239828275253342e-08,15301152585.481047,56.53483769734817,207.36191152557046,344.4042928440483
59,590.0,108.58888888888889,0.1,0.001,3.038667588888889,9.188493941941067e-06,1.1430844322796396e-08,15300545595.241453,56.66816007560385,207.3625615503205,344.4375794503688
60,600.0,108.66666666666667,0.1,0.001,3.0387383666666667,9.208756724554618e-06,1.16248261745356e-08,15299930073.384909,56.8018132173801,207.36321916238737,344.4708861315266
61,610.0,108.74444444444444,0.1,0.001,3.0388091444444445,9.22906419135274e-06,1.1821815333967188e-08,15299305892.215925,56.93580226372488,207.36388445591007,344.5042127475063
62,620.0,108.82222222222222,0.1,0.001,3.0388799222222223,9.249416440874552e-06,1.2021853818221179e-08,15298672921.246834,57.07012530530017,207.3645575259145,344.5375603129557
63,630.0,108.9,0.1,0.001,3.0389507,9.269813571876422e-06,1.2224984163524086e-08,15298031029.544075,57.2047874016185,207.3652384694923,344.5709280907431
64,640.0,108.97777777777777,0.1,0.001,3.0390214777777778,9.290255683332544e-06,1.243124943070943e-08,15297380083.33978,57.33978892106661,207.36592738325575,344.6043170683773
65,650.0,109.05555555555556,0.1,0.001,3.0390922555555555,9.310742874435385e-06,1.2640693210776377e-08,15296719947.503593,57.475130217162395,207.36662436589165,344.63772707069546
66,660.0,109.13333333333333,0.1,0.001,3.0391630333333333,9.33127524459611e-06,1.2853359630496117e-08,15296050484.894943,57.61081392369524,207.36732951656188,344.67115791807237
67,670.0,109.21111111111111,0.1,0.001,3.039233811111111,9.351852893445114e-06,1.3069293358067049e-08,15295371556.96009,57.74684263284199,207.36804293558149,344.70460999083525
68,680.0,109.28888888888889,0.1,0.001,3.039304588888889,9.372475920832533e-06,1.3288539608818766e-08,15294683022.718817,57.88321661631468,207.3687647237645,344.738083656437
69,690.0,109.36666666666666,0.1,0.001,3.039375366666667,9.393144426828698e-06,1.3511144150964795e-08,15293984739.763603,58.019940673585005,207.36949498348622,344.771578711257
70,700.0,109.44444444444444,0.1,0.001,3.0394461444444447,9.413858511724582e-06,1.3737153311405467e-08,15293276563.2827,58.157012746950414,207.37023381760264,344.8050960579931
71,710.0,109.52222222222223,0.1,0.001,3.0395169222222225,9.434618276032322e-06,1.3966613981579879e-08,15292558346.285534,58.29443755682483,207.37098133046902,344.8386349215423
72,720.0,109.6,0.1,0.001,3.0395877000000002,9.455423820485746e-06,1.4199573623368047e-08,15291829940.560312,58.43221750876754,207.37173762767947,344.87219617887104
73,730.0,109.67777777777778,0.1,0.001,3.039658477777778,9.476275246040824e-06,1.4436080275043961e-08,15291091195.737432,58.57035272876182,207.37250281504086,344.9057801398651
74,740.0,109.75555555555556,0.1,0.001,3.0397292555555557,9.497172653876099e-06,1.4676182557278481e-08,15290341958.782736,58.708845560352046,207.37327699954355,344.93938655885285
75,750.0,109.83333333333333,0.1,0.001,3.0398000333333335,9.518116145393295e-06,1.4919929679193797e-08,15289582075.311201,58.84769830681047,207.37406028987095,344.973015726546
76,760.0,109.91111111111111,0.1,0.001,3.0398708111111112,9.53910582221775e-06,1.5167371444469414e-08,15288811388.707579,58.986911016404605,207.37485279500424,345.0066679215058
77,770.0,109.9888888888889,0.1,0.001,3.039941588888889,9.560141786198852e-06,1.541855825749905e-08,15288029740.35023,59.12648813837535,207.3756546251257,345.04034287593805
78,780.0,110.06666666666666,0.1,0.001,3.0400123666666667,9.58122413941065e-06,1.5673541129600046e-08,15287236969.141611,59.2664296573967,207.37646589136548,345.07404138106085
79,790.0,110.14444444444445,0.1,0.001,3.0400831444444445,9.60235298415229e-06,1.593237168527528e-08,15286432911.748938,59.406739927432184,207.37728670626922,345.10776315117226
80,800.0,110.22222222222223,0.1,0.001,3.0401539222222222,9.623528422948467e-06,1.619510216852668e-08,15285617403.496128,59.547418870342405,207.3781171835266,345.14150894793005
81,810.0,110.3,0.1,0.001,3.0402247,9.644750558549998e-06,1.6461785449222855e-08,15284790276.582586,59.6884707455763,207.37895743703194,345.1752784680851
82,820.0,110.37777777777778,0.1,0.001,3.0402954777777778,9.666019493934258e-06,1.6732475029519515e-08,15283951361.331171,59.829895412986744,207.3798075827031,345.20907244415474
83,830.0,110.45555555555555,0.1,0.001,3.0403662555555555,9.687335332305759e-06,1.7007225050333107e-08,15283100486.083643,59.97169703831089,207.38066773717276,345.2428905557039
84,840.0,110.53333333333333,0.1,0.001,3.0404370333333333,9.708698177096599e-06,1.7286090297868654e-08,15282237476.794466,60.11387757094155,207.38153801787857,345.27673350653396
