,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling Low Band (K),T_A Upwelling High Band (K)
0,0.0,104.0,0.3,0.0,3.0344917000000002,8.06865228237526e-06,1.4823061925720978e-22,15325347052.573395,49.321578074748025,260.43802642553794,391.4698830484637
1,10.0,104.12115384615385,0.3,0.0,3.0346019500000003,8.096385758981197e-06,1.598240684185869e-22,15325265007.322794,49.41168074412045,260.43802642553794,391.4698830484637
2,20.0,104.24230769230769,0.3,0.0,3.0347122,8.124214560766344e-06,1.7229410583071816e-22,15325182684.685102,49.50212532657331,260.43842229163187,391.5197301954268
3,30.0,104.36346153846154,0.3,0.0,3.03482245,8.152139015381247e-06,1.857047037263626e-22,15325100079.017797,49.592918001939026,260.4388191639707,391.5696641166028
4,40.0,104.48461538461538,0.3,0.0,3.0349327,8.180159451602724e-06,2.0012433238561318e-22,15325017191.295303,49.68405767385308,260.4392170675061,391.6196877323686
5,50.0,104.60576923076923,0.3,0.0,3.0350429500000002,8.208276199337585e-06,2.1562626423866365e-22,15324934022.48215,49.775543253881374,260.4396159952753,391.6697999503211
6,60.0,104.72692307692307,0.3,0.0,3.0351532000000003,8.23648958962665e-06,2.3228889769241935e-22,15324850570.275778,49.86737724595145,260.44001594037496,391.71999968673
7,70.0,104.84807692307692,0.3,0.0,3.03526345,8.264799954648564e-06,2.5019610190499635e-22,15324766832.397179,49.95956212628421,260.44041691161124,391.77028782832343
8,80.0,104.96923076923076,0.3,0.0,3.0353737,8.293207627723759e-06,2.6943758380462105e-22,15324682806.59074,50.05210034345329,260.4408189176494,391.8206652420198
9,90.0,105.09038461538462,0.3,0.0,3.03548395,8.32171294331831e-06,2.901092787260462e-22,15324598493.847986,50.14499076653439,260.4412219670154,391.8711327751026
10,100.0,105.21153846153847,0.3,0.0,3.0355942000000002,8.350316237047917e-06,3.1231376611838106e-22,15324513895.15039,50.23823227274533,260.44162605264523,391.92168932321607
11,110.0,105.33269230769231,0.3,0.0,3.03570445,8.37901784568189e-06,3.3616071186360193e-22,15324429005.065405,50.33183080850175,260.4420311675351,391.97233379076334
12,120.0,105.45384615384616,0.3,0.0,3.0358147,8.40781810714706e-06,3.617673388352189e-22,15324343827.789316,50.42578169821942,260.4424373353821,392.0230689163017
13,130.0,105.575,0.3,0.0,3.03592495,8.436717360531778e-06,3.892589274215841e-22,15324258357.935015,50.52009083723725,260.44284453378606,392.0738916825157
14,140.0,105.69615384615385,0.3,0.0,3.0360352,8.465715946089919e-06,4.1876934783889396e-22,15324172596.50917,50.61475706174042,260.4432527861735,392.1248047886876
15,150.0,105.8173076923077,0.3,0.0,3.0361454500000002,8.494814205244843e-06,4.504416261647726e-22,15324086544.508274,50.7097792162426,260.4436620853911,392.17580712026756
16,160.0,105.93846153846154,0.3,0.0,3.0362557,8.52401248059345e-06,4.844285461352967e-22,15324000196.62313,50.8051631080079,260.4440724243469,392.22689757152426
17,170.0,106.05961538461538,0.3,0.0,3.03636595,8.553311115910235e-06,5.2089328886622115e-22,15323913553.872906,50.90090754938328,260.4444838260039,392.2780787750617
18,180.0,106.18076923076923,0.3,0.0,3.0364762,8.5827104561513e-06,5.600101127835126e-22,15323826617.266418,50.997011361202716,260.44489628313534,392.3293496074979
19,190.0,106.30192307692307,0.3,0.0,3.03658645,8.612210847458443e-06,6.019650761798697e-22,15323739381.571014,51.093480263641375,260.44530978857654,392.3807089543445
20,200.0,106.42307692307692,0.3,0.0,3.0366967000000002,8.641812637163164e-06,6.469568049518815e-22,15323651847.817528,51.190313045889376,260.44572436483645,392.43215938303456
21,210.0,106.54423076923077,0.3,0.0,3.03680695,8.671516173790876e-06,6.951973082188987e-22,15323564013.932034,51.28751193007958,260.44614000462,392.4836997620754
22,220.0,106.66538461538461,0.3,0.0,3.0369172,8.701321807064868e-06,7.469128446781379e-22,15323475880.94561,51.385075698472654,260.4465567153748,392.535330786858
23,230.0,106.78653846153846,0.3,0.0,3.03702745,8.731229887910549e-06,8.023448427129753e-22,15323387446.805668,51.48300654529789,260.44697448980463,392.5870513266322
24,240.0,106.9076923076923,0.3,0.0,3.0371377,8.761240768459506e-06,8.61750877442328e-22,15323298712.54339,51.58130324603628,260.4473933352309,392.63886205906823
25,250.0,107.02884615384616,0.3,0.0,3.0372479500000003,8.791354802053703e-06,9.254057080789527e-22,15323209673.07491,51.67997134974154,260.44781324435746,392.69076185426917
26,260.0,107.15,0.3,0.0,3.0373582,8.821572343249503e-06,9.936023791544236e-22,15323120329.452118,51.7790096012986,260.4482342388137,392.74275315376343
27,270.0,107.27115384615385,0.3,0.0,3.03746845,8.851893747822048e-06,1.066653389368617e-21,15323030682.716223,51.878416754495575,260.44865631118165,392.7948348118897
28,280.0,107.3923076923077,0.3,0.0,3.0375787,8.882319372769315e-06,1.1448919320317736e-21,15322940727.855663,51.97819827439356,260.44907945410625,392.84700569204216
29,290.0,107.51346153846154,0.3,0.0,3.03768895,8.912849576316368e-06,1.2286732112894477e-21,15322850465.931734,52.078352884707414,260.44950368879086,392.8992681749702
30,300.0,107.63461538461539,0.3,0.0,3.0377992000000003,8.943484717919501e-06,1.318375838553748e-21,15322759897.99498,52.178879318174175,260.4499290077627,392.95162110889663
31,310.0,107.75576923076923,0.3,0.0,3.03790945,8.974225158270601e-06,1.4144033138107764e-21,15322669019.104723,52.279782956927086,260.4503554036126,393.00406335113337
32,320.0,107.87692307692308,0.3,0.0,3.0380197,9.00507125930125e-06,1.5171855967325131e-21,15322577830.330965,52.38106250415002,260.45078289712677,393.0565972230661
33,330.0,107.99807692307692,0.3,0.0,3.03812995,9.036023384187107e-06,1.627180772794116e-21,15322486329.762995,52.48271997179412,260.45121148078204,393.1092215674098
34,340.0,108.11923076923077,0.3,0.0,3.0382402,9.067081897352118e-06,1.744876819884793e-21,15322394515.50973,52.58475734698226,260.45164116106537,393.1619369459675
35,350.0,108.24038461538461,0.3,0.0,3.0383504500000003,9.098247164472845e-06,1.8707934812011953e-21,15322302388.649076,52.68717331308445,260.45207194434903,393.2147439047525
36,360.0,108.36153846153846,0.3,0.0,3.0384607,9.129519552482688e-06,2.0054842505312733e-21,15322209947.308502,52.78996983162276,260.452503823064,393.26764128163705
37,370.0,108.4826923076923,0.3,0.0,3.03857095,9.160899429576343e-06,2.1495384763691233e-21,15322117189.634695,52.893148839630214,260.45293680347385,393.3206296075518
38,380.0,108.60384615384615,0.3,0.0,3.0386812,9.192387165213986e-06,2.303583591653825e-21,15322024116.712818,52.996709001273175,260.4533708917299,393.3737093980425
39,390.0,108.725,0.3,0.0,3.03879145,9.223983130125754e-06,2.468287476294234e-21,15321930726.707512,53.100652228496244,260.45380608022145,393.42687948668777
40,400.0,108.84615384615384,0.3,0.0,3.0389017000000003,9.255687696316031e-06,2.644360960030829e-21,15321837017.802206,53.204980409093466,260.45424237499503,393.4801403744892
41,410.0,108.96730769230768,0.3,0.0,3.03901195,9.287501237067874e-06,2.8325604735934062e-21,15321742988.199005,53.30969540681537,260.45467978198724,393.5334925474592
42,420.0,109.08846153846154,0.3,0.0,3.0391222,9.319424126947343e-06,3.0336908565445027e-21,15321648636.118477,53.41479906147752,260.4551183070262,393.58693647677734
43,430.0,109.20961538461539,0.3,0.0,3.03923245,9.351456741807953e-06,3.2486083306481754e-21,15321553962.669436,53.52028999115551,260.4555579558322,393.640472618949
44,440.0,109.33076923076923,0.3,0.0,3.0393427,9.383599458795135e-06,3.478223648080106e-21,15321458966.089315,53.626170011529005,260.4559987206576,393.69409979139533
45,450.0,109.45192307692308,0.3,0.0,3.0394529500000003,9.415852656350641e-06,3.7235054242921016e-21,15321363644.633625,53.73244091468571,260.4564406071248,393.7478184371141
46,460.0,109.57307692307693,0.3,0.0,3.0395632,9.448216714216942e-06,3.9854836658695844e-21,15321267999.416441,53.8391013013516,260.45688362075117,393.8016289848084
47,470.0,109.69423076923077,0.3,0.0,3.03967345,9.48069201344183e-06,4.2652535042703474e-21,15321172025.878624,53.94615609791064,260.45732775375916,393.8555302492708
48,480.0,109.81538461538462,0.3,0.0,3.0397837,9.513278936382755e-06,4.5639791469108235e-21,15321075725.150282,54.05360387846364,260.45777302470583,393.90952423777884
49,490.0,109.93653846153846,0.3,0.0,3.03989395,9.54597786671146e-06,4.882898057675067e-21,15320979095.538439,54.16144636506843,260.4582194257209,393.9636097536388
50,500.0,110.0576923076923,0.3,0.0,3.0400042000000003,9.578789189418417e-06,5.223325379557617e-21,15320882138.169537,54.269682128664016,260.45866696202296,394.0177871848692
51,510.0,110.17884615384615,0.3,0.0,3.04011445,9.611713290817406e-06,5.586658612822556e-21,15320784848.57359,54.378315986630824,260.4591156257636,394.07205533862225
52,520.0,110.3,0.3,0.0,3.0402247,9.644750558549998e-06,5.974382562764433e-21,15320687227.89228,54.487346483996795,260.4595654349825,394.12641614983744
53,530.0,110.42115384615384,0.3,0.0,3.04033495,9.677901381590163e-06,6.388074571893281e-21,15320589274.48226,54.59677527441529,260.4600163817435,394.1808684148738
54,540.0,110.54230769230769,0.3,0.0,3.0404452,9.711166150248888e-06,6.829410052143614e-21,15320490986.71704,54.70660398897447,260.46046847097796,394.235412482788
55,550.0,110.66346153846153,0.3,0.0,3.0405554500000003,9.744545256178709e-06,7.300168333517228e-21,15320392362.986824,54.81683423631362,260.4609217075201,394.29004868951415
56,560.0,110.78461538461538,0.3,0.0,3.0406657,9.778039092378369e-06,7.802238846426229e-21,15320293401.698402,54.92746760274179,260.46137609610736,394.344777358008
57,570.0,110.90576923076924,0.3,0.0,3.04077595,9.81164805319736e-06,8.337627655895956e-21,15320194101.27497,55.0385056523568,260.46183164138216,394.39959879839296
58,580.0,111.02692307692308,0.3,0.0,3.0408862,9.845372534340688e-06,8.908464366727053e-21,15320094462.882322,55.14994687772792,260.4622883478918,394.4545133081035
59,590.0,111.14807692307693,0.3,0.0,3.04099645,9.879212932873473e-06,9.517009419702832e-21,15319994484.957363,55.26179282162057,260.46274620756236,394.5095196680345
60,600.0,111.26923076923077,0.3,0.0,3.0411067000000003,9.913169647225558e-06,1.0165661799958645e-20,15319894165.953043,55.3740450049297,260.46320522486263,394.56461816489957
61,610.0,111.39038461538462,0.3,0.0,3.04121695,9.947243077196331e-06,1.0856967179717168e-20,15319793504.338186,55.486704926799526,260.4636654041693,394.61980907305434
62,620.0,111.51153846153846,0.3,0.0,3.0413272,9.981433623959358e-06,1.1593626518727048e-20,15319692498.597399,55.59977406474359,260.4641267497676,394.67509265463593
63,630.0,111.63269230769231,0.3,0.0,3.04143745,1.001574169006706e-05,1.2378505146934769e-20,15319591147.230865,55.71325387476648,260.46458926585257,394.7304691597021
64,640.0,111.75384615384615,0.3,0.0,3.0415477,1.0050167679455585e-05,1.3214642355169141e-20,15319489451.425201,55.82714280012189,260.46505295652935,394.7859388263686
65,650.0,111.875,0.3,0.0,3.0416579500000003,1.0084711997449406e-05,1.410526152092655e-20,15319387407.031246,55.941445258389656,260.4655178136057,394.84150042279117
66,660.0,111.99615384615385,0.3,0.0,3.0417682,1.0119375050766229e-05,1.505378079771494e-20,15319285015.247904,56.05615966962716,260.46598385327235,394.897155628053
67,670.0,112.11730769230769,0.3,0.0,3.04187845,1.0154157247521708e-05,1.6063824397858155e-20,15319182271.974512,56.17129039000303,260.466451067267,394.9529032020701
68,680.0,112.23846153846154,0.3,0.0,3.0419887,1.0189058997234292e-05,1.713923450015836e-20,15319079181.05646,56.28683286376014,260.46691947150254,395.0087447858973
69,690.0,112.35961538461538,0.3,0.0,3.04209895,1.022408071082995e-05,1.8284083815405892e-20,15318975735.797174,56.402794352064205,260.4673890456486,395.0646777032916
70,700.0,112.48076923076923,0.3,0.0,3.0422092000000003,1.0259222800647177e-05,1.9502688844365748e-20,15318871937.418814,56.51917322981351,260.46785981739714,395.1207049924289
71,710.0,112.60192307692307,0.3,0.0,3.04231945,1.0294485680441655e-05,2.079962386461108e-20,15318767787.131134,56.635967883074116,260.4683317783538,395.1768253978808
72,720.0,112.72307692307692,0.3,0.0,3.0424297,1.0329869765391296e-05,2.217973568438083e-20,15318663278.335012,56.753185454265775,260.4688049201955,395.2330376740169
73,730.0,112.84423076923076,0.3,0.0,3.04253995,1.0365375472101054e-05,2.36481592035426e-20,15318558414.858839,56.87082137991424,260.4692792700573,395.28934478208373
74,740.0,112.96538461538461,0.3,0.0,3.0426502,1.0401003218607766e-05,2.521033382372741e-20,15318453192.748558,56.9888798279056,260.4697548077078,395.3457440643007
75,750.0,113.08653846153847,0.3,0.0,3.0427604500000003,1.0436753424385209e-05,2.6872020751780345e-20,15318347610.662977,57.10736202780949,260.4702315482225,395.4022370469861
76,760.0,113.20769230769231,0.3,0.0,3.0428707,1.0472626510348963e-05,2.8639321242858246e-20,15318241667.274733,57.22626918925145,260.47070949480195,395.4588238481663
77,770.0,113.32884615384616,0.3,0.0,3.04298095,1.050862289886132e-05,3.0518695831780605e-20,15318135363.82489,57.345599634060505,260.47118865056797,395.51550457552366
78,780.0,113.45,0.3,0.0,3.0430912,1.0544743013736364e-05,3.2516984603620166e-20,15318028696.44989,57.46535741289951,260.47166900702035,395.5722779632905
79,790.0,113.57115384615385,0.3,0.0,3.04320145,1.0580987280244917e-05,3.464142855702937e-20,15317921666.400408,57.58554082697945,260.47215057872023,395.6291454679117
80,800.0,113.6923076923077,0.3,0.0,3.0433117000000003,1.0617356125119467e-05,3.6899692116402997e-20,15317814269.857119,57.70615386922911,260.4726333571132,395.68610581758054
81,810.0,113.81346153846154,0.3,0.0,3.04342195,1.065384997655935e-05,3.929988685170392e-20,15317706508.079906,57.8271948206609,260.4731173565092,395.7431604347305
82,820.0,113.93461538461538,0.3,0.0,3.0435322,1.0690469264235618e-05,4.1850596467658744e-20,15317598377.293028,57.9486676170399,260.47360256830245,395.80030804186055
83,830.0,114.05576923076923,0.3,0.0,3.04364245,1.0727214419296247e-05,4.456090312698632e-20,15317489878.765139,58.070570519595286,260.47408900655574,395.85755002799874
84,840.0,114.17692307692307,0.3,0.0,3.0437527,1.0764085874371127e-05,4.7440415175491426e-20,15317381008.76344,58.1929074075027,260.4745766626142,395.9148851102849
85,850.0,114.29807692307692,0.3,0.0,3.0438629500000003,1.0801084063577202e-05,5.049929634007488e-20,15317271768.564962,58.31567652261884,260.4750655502976,395.9723146449393
86,860.0,114.41923076923077,0.3,0.0,3.0439732,1.0838209422523492e-05,5.3748296474178094e-20,15317162154.479204,58.438881688106804,260.4755556609042,396.0298373440675
87,870.0,114.54038461538461,0.3,0.0,3.04408345,1.0875462388316373e-05,5.71987839287197e-20,15317052165.322351,58.56252390232583,260.4760470080149,396.08745453167137
88,880.0,114.66153846153846,0.3,0.0,3.0441937,1.0912843399564555e-05,6.086277963032702e-20,15316941802.383202,58.68660137887557,260.47653959394006,396.1451662093291
89,890.0,114.7826923076923,0.3,0.0,3.04430395,1.0950352896384387e-05,6.475299295257284e-20,15316831062.03351,58.811117857962635,260.47703340991245,396.2029710822164
90,900.0,114.90384615384616,0.3,0.0,3.0444142000000003,1.0987991320404985e-05,6.88828594700058e-20,15316719943.12586,58.93607428292828,260.47752846916177,396.2608704270958
