,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling Low Band (K),T_A Upwelling High Band (K)
0,0.0,104.0,0.3,0.0001,3.0344917000000002,8.06865228237526e-06,4.050877763202172e-10,15325347052.573395,49.321578074748025,218.92768492491047,371.83035434095456
1,10.0,104.12115384615385,0.3,0.0001,3.0346019500000003,8.096385758981197e-06,4.168254253719459e-10,15325250879.59618,49.411880654870636,218.92768492491047,371.83035434095456
2,20.0,104.24230769230769,0.3,0.0001,3.0347122,8.124214560766344e-06,4.2887470324569986e-10,15325154017.213509,49.50253523787585,218.92787794037565,371.8712195648082
3,30.0,104.36346153846154,0.3,0.0001,3.03482245,8.152139015381247e-06,4.4124309719885974e-10,15325056453.601326,49.59354069982852,218.9280719456803,371.9121399630842
4,40.0,104.48461538461538,0.3,0.0001,3.0349327,8.180159451602724e-06,4.539382545210705e-10,15324958179.955673,49.68489952255251,218.92826695886498,371.95311447111084
5,50.0,104.60576923076923,0.3,0.0001,3.0350429500000002,8.208276199337585e-06,4.669679855014793e-10,15324859182.171066,49.77661057348905,218.92846299180198,371.99414364661806
6,60.0,104.72692307692307,0.3,0.0001,3.0351532000000003,8.23648958962665e-06,4.803402664418072e-10,15324759446.450352,49.868679879190424,218.92866006681058,372.035226423675
7,70.0,104.84807692307692,0.3,0.0001,3.03526345,8.264799954648564e-06,4.940632427157473e-10,15324658962.006489,49.9611062734835,218.92885820542597,372.0763649371515
8,80.0,104.96923076923076,0.3,0.0001,3.0353737,8.293207627723759e-06,5.08145231875283e-10,15324557712.923306,50.053888598830206,218.92905742304782,372.11755810326326
9,90.0,105.09038461538462,0.3,0.0001,3.03548395,8.32171294331831e-06,5.225947268044413e-10,15324455688.971977,50.14702924855843,218.92925774509297,372.15880484625836
10,100.0,105.21153846153847,0.3,0.0001,3.0355942000000002,8.350316237047917e-06,5.374203989210641e-10,15324352874.868406,50.24053058852888,218.92945918555526,372.200105667969
11,110.0,105.33269230769231,0.3,0.0001,3.03570445,8.37901784568189e-06,5.526311014271357e-10,15324249258.30255,50.33439495721427,218.9296617682654,372.24146105274457
12,120.0,105.45384615384616,0.3,0.0001,3.0358147,8.40781810714706e-06,5.682358726082532e-10,15324144822.043974,50.42862115644959,218.92986551102018,372.28287146761875
13,130.0,105.575,0.3,0.0001,3.03592495,8.436717360531778e-06,5.842439391827797e-10,15324039554.429983,50.52321149540775,218.9300704411221,372.3243358192874
14,140.0,105.69615384615385,0.3,0.0001,3.0360352,8.465715946089919e-06,6.006647197012892e-10,15323933438.950367,50.61816825621071,218.93027657476156,372.3658545570147
15,150.0,105.8173076923077,0.3,0.0001,3.0361454500000002,8.494814205244843e-06,6.175078279968204e-10,15323826459.48889,50.71349021741202,218.93048393746014,372.40742811317756
16,160.0,105.93846153846154,0.3,0.0001,3.0362557,8.52401248059345e-06,6.347830766865888e-10,15323718600.318,50.8091796323866,218.93069255377037,372.4490553863007
17,170.0,106.05961538461538,0.3,0.0001,3.03636595,8.553311115910235e-06,6.525004807257047e-10,15323609848.592333,50.905238727800494,218.93090244729294,372.49073679159164
18,180.0,106.18076923076923,0.3,0.0001,3.0364762,8.5827104561513e-06,6.706702610134546e-10,15323500184.346382,51.001666259623974,218.93111363584038,372.53247272779083
19,190.0,106.30192307692307,0.3,0.0001,3.03658645,8.612210847458443e-06,6.893028480528178e-10,15323389593.025368,51.09846785961636,218.93132615086728,372.5742620858761
20,200.0,106.42307692307692,0.3,0.0001,3.0366967000000002,8.641812637163164e-06,7.084088856637153e-10,15323278058.002243,51.195638830088214,218.93154001312251,372.6161067309888
21,210.0,106.54423076923077,0.3,0.0001,3.03680695,8.671516173790876e-06,7.279992347506808e-10,15323165558.238485,51.293184753389916,218.93175524717716,372.6580040643856
22,220.0,106.66538461538461,0.3,0.0001,3.0369172,8.701321807064868e-06,7.480849771255044e-10,15323052080.418282,51.3911077492075,218.9319718858957,372.69995591812693
23,230.0,106.78653846153846,0.3,0.0001,3.03702745,8.731229887910549e-06,7.686774193854423e-10,15322937604.446642,51.489409911172686,218.93218994704705,372.74196262668374
24,240.0,106.9076923076923,0.3,0.0001,3.0371377,8.761240768459506e-06,7.897880968476845e-10,15322822110.75144,51.58808654839192,218.93240946123797,372.7840245089564
25,250.0,107.02884615384616,0.3,0.0001,3.0372479500000003,8.791354802053703e-06,8.114287775405778e-10,15322705584.939356,51.68714312087641,218.932630457831,372.82613898621366
26,260.0,107.15,0.3,0.0001,3.0373582,8.821572343249503e-06,8.336114662523319e-10,15322588001.441814,51.78658166964086,218.93285295606253,372.86830781040635
27,270.0,107.27115384615385,0.3,0.0001,3.03746845,8.851893747822048e-06,8.563484086377585e-10,15322469344.53642,51.88640086293515,218.9330769962874,372.91053127001027
28,280.0,107.3923076923077,0.3,0.0001,3.0375787,8.882319372769315e-06,8.796520953837108e-10,15322349592.117754,51.98660271538368,218.93330259982957,372.9528082219911
29,290.0,107.51346153846154,0.3,0.0001,3.03768895,8.912849576316368e-06,9.035352664338488e-10,15322228724.931835,52.087189216283875,218.93352979993253,372.99513894013006
30,300.0,107.63461538461539,0.3,0.0001,3.0377992000000003,8.943484717919501e-06,9.280109152733046e-10,15322106719.80013,52.18816232971959,218.93375862417332,373.0375236834192
31,310.0,107.75576923076923,0.3,0.0001,3.03790945,8.974225158270601e-06,9.530922932740025e-10,15321983558.601303,52.289523994677246,218.93398910730954,373.0799626962165
32,320.0,107.87692307692308,0.3,0.0001,3.0380197,9.00507125930125e-06,9.787929141011698e-10,15321859217.165697,52.39127283122443,218.93422127428443,373.1224562084011
33,330.0,107.99807692307692,0.3,0.0001,3.03812995,9.036023384187107e-06,1.0051265581817135e-09,15321733674.172106,52.49341403635078,218.93445516119868,373.16500305932504
34,340.0,108.11923076923077,0.3,0.0001,3.0382402,9.067081897352118e-06,1.03210727723518e-09,15321606904.621305,52.59594292899661,218.93469079851343,373.20760483344793
35,350.0,108.24038461538461,0.3,0.0001,3.0383504500000003,9.098247164472845e-06,1.0597493988678013e-09,15321478886.357677,52.69886466003081,218.93492822331993,373.25025899741655
36,360.0,108.36153846153846,0.3,0.0001,3.0384607,9.129519552482688e-06,1.0880675312304784e-09,15321349595.768671,52.80218106925484,218.9351674670922,373.292967106528
37,370.0,108.4826923076923,0.3,0.0001,3.03857095,9.160899429576343e-06,1.1170765677411778e-09,15321219007.85409,52.90589397210716,218.9354085637527,373.33572933509936
38,380.0,108.60384615384615,0.3,0.0001,3.0386812,9.192387165213986e-06,1.1467916918725343e-09,15321087098.354258,53.010005159788946,218.93565154951966,373.37854584379
39,390.0,108.725,0.3,0.0001,3.03879145,9.223983130125754e-06,1.1772283820052609e-09,15320953841.695366,53.11451317935112,218.93589645893368,373.4214167797507
40,400.0,108.84615384615384,0.3,0.0001,3.0389017000000003,9.255687696316031e-06,1.2084024163480937e-09,15320819211.056408,53.21941979814198,218.93614332867588,373.4643409554224
41,410.0,108.96730769230768,0.3,0.0001,3.03901195,9.287501237067874e-06,1.240329877924843e-09,15320683180.432312,53.32472995877025,218.9363921974233,373.50731850569065
42,420.0,109.08846153846154,0.3,0.0001,3.0391222,9.319424126947343e-06,1.2730271596293915e-09,15320545722.639402,53.43044216819259,218.93664310202303,373.550350858307
43,430.0,109.20961538461539,0.3,0.0001,3.03923245,9.351456741807953e-06,1.3065109693491386e-09,15320406811.335247,53.536558122551206,218.93689608117649,373.59343680941646
44,440.0,109.33076923076923,0.3,0.0001,3.0393427,9.383599458795135e-06,1.3407983351577606e-09,15320266417.129038,53.64307949451136,218.9371511717111,373.6365764548859
45,450.0,109.45192307692308,0.3,0.0001,3.0394529500000003,9.415852656350641e-06,1.3759066105778033e-09,15320124509.64073,53.75000793339233,218.93740841572102,373.6797698778525
46,460.0,109.57307692307693,0.3,0.0001,3.0395632,9.448216714216942e-06,1.41185347991392e-09,15319981061.349276,53.85734506529942,218.93766785675325,373.7230171488646
47,470.0,109.69423076923077,0.3,0.0001,3.03967345,9.48069201344183e-06,1.448656963657451e-09,15319836043.741438,53.96509249325693,218.93792953277168,373.76631832602334
48,480.0,109.81538461538462,0.3,0.0001,3.0397837,9.513278936382755e-06,1.4863354239629265e-09,15319689423.6654,54.07325179734172,218.9381934832132,373.80967345512306
49,490.0,109.93653846153846,0.3,0.0001,3.03989395,9.54597786671146e-06,1.5249075701973655e-09,15319541169.048664,54.18182141904572,218.93845975559387,373.8530825697897
50,500.0,110.0576923076923,0.3,0.0001,3.0400042000000003,9.578789189418417e-06,1.5643924645629404e-09,15319391250.683954,54.29080602231403,218.93872839507281,373.8965444455776
51,510.0,110.17884615384615,0.3,0.0001,3.04011445,9.611713290817406e-06,1.604809527793782e-09,15319239633.163713,54.400207119186305,218.93899944124107,373.94006034451974
52,520.0,110.3,0.3,0.0001,3.0402247,9.644750558549998e-06,1.6461785449276625e-09,15319086285.804575,54.51002619929795,218.93927294452138,373.9836302645252
53,530.0,110.42115384615384,0.3,0.0001,3.04033495,9.677901381590163e-06,1.6885196711531879e-09,15318931173.701157,54.62026473001717,218.93954894640552,374.02725419188005
54,540.0,110.54230769230769,0.3,0.0001,3.0404452,9.711166150248888e-06,1.7318534377333402e-09,15318774261.399878,54.73092415658329,218.9398274955962,374.07093210138146
55,550.0,110.66346153846153,0.3,0.0001,3.0405554500000003,9.744545256178709e-06,1.7762007580059693e-09,15318615514.658485,54.84200284836137,218.94010864135655,374.11466395646994
56,560.0,110.78461538461538,0.3,0.0001,3.0406657,9.778039092378369e-06,1.8215829334620566e-09,15318454897.031366,54.95350527411688,218.9403924303558,374.1584485068607
57,570.0,110.90576923076924,0.3,0.0001,3.04077595,9.81164805319736e-06,1.868021659902477e-09,15318292371.666046,55.06543584688375,218.94067891277956,374.2022869022709
58,580.0,111.02692307692308,0.3,0.0001,3.0408862,9.845372534340688e-06,1.9155390336738886e-09,15318127899.695673,55.177792877952974,218.94096813909718,374.2461802610682
59,590.0,111.14807692307693,0.3,0.0001,3.04099645,9.879212932873473e-06,1.964157557984694e-09,15317961445.254498,55.29057770400174,218.9412601629096,374.29012730824513
60,600.0,111.26923076923077,0.3,0.0001,3.0411067000000003,9.913169647225558e-06,2.0139001493015373e-09,15317792967.301186,55.40379464306075,218.94155503203197,374.33412795240326
61,610.0,111.39038461538462,0.3,0.0001,3.04121695,9.947243077196331e-06,2.064790143827365e-09,15317622426.261791,55.51744197333102,218.9418528029941,374.3781832586688
62,620.0,111.51153846153846,0.3,0.0001,3.0413272,9.981433623959358e-06,2.116851304061621e-09,15317449782.414757,55.63152096804233,218.94215352924272,374.4222919415463
63,630.0,111.63269230769231,0.3,0.0001,3.04143745,1.001574169006706e-05,2.1701078254433434e-09,15317274994.371693,55.74603585168087,218.94245726400695,374.46645387828295
64,640.0,111.75384615384615,0.3,0.0001,3.0415477,1.0050167679455585e-05,2.2245843430780033e-09,15317098019.186949,55.86098783238117,218.9427640629622,374.51067008219877
65,650.0,111.875,0.3,0.0001,3.0416579500000003,1.0084711997449406e-05,2.2803059385487907e-09,15316918812.464233,55.976378097750626,218.943073984012,374.5549403974982
66,660.0,111.99615384615385,0.3,0.0001,3.0417682,1.0119375050766229e-05,2.3372981468130282e-09,15316737331.452667,56.09220781501092,218.94338708707627,374.5992646585117
67,670.0,112.11730769230769,0.3,0.0001,3.04187845,1.0154157247521708e-05,2.3955869631847145e-09,15316553532.041555,56.20848106264194,218.94370342867163,374.6436426898134
68,680.0,112.23846153846154,0.3,0.0001,3.0419887,1.0189058997234292e-05,2.4551988504036096e-09,15316367367.400883,56.3251960227352,218.94402306716424,374.6880754252688
69,690.0,112.35961538461538,0.3,0.0001,3.04209895,1.022408071082995e-05,2.5161607457920333e-09,15316178789.59175,56.44235671353537,218.94434606510669,374.73256154562455
70,700.0,112.48076923076923,0.3,0.0001,3.0422092000000003,1.0259222800647177e-05,2.57850006849978e-09,15315987752.500782,56.55996419884059,218.9446724864068,374.77710195237125
71,710.0,112.60192307692307,0.3,0.0001,3.04231945,1.0294485680441655e-05,2.642244726838251e-09,15315794207.573164,56.678019522847094,218.94500239124253,374.8216964198846
72,720.0,112.72307692307692,0.3,0.0001,3.0424297,1.0329869765391296e-05,2.7074231257042768e-09,15315598105.357487,56.79652659135495,218.94533584344256,374.86634471345906
73,730.0,112.84423076923076,0.3,0.0001,3.04253995,1.0365375472101054e-05,2.77406417409466e-09,15315399394.222708,56.91548638650809,218.9456729077924,374.91104767487235
74,740.0,112.96538461538461,0.3,0.0001,3.0426502,1.0401003218607766e-05,2.84219729271216e-09,15315198023.206675,57.034899871357155,218.94601365221976,374.95580503938805
75,750.0,113.08653846153847,0.3,0.0001,3.0427604500000003,1.0436753424385209e-05,2.9118524216635417e-09,15314993940.689964,57.1547679900012,218.94635814288688,375.0006165336225
76,760.0,113.20769230769231,0.3,0.0001,3.0428707,1.0472626510348963e-05,2.9830600282507357e-09,15314787091.844534,57.27509450864274,218.9467064464645,375.0454818756495
