,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling Low Band (K),T_A Upwelling High Band (K)
0,0.0,104.0,0.1,1e-05,3.0344917000000002,8.06865228237526e-06,4.050877763215513e-11,15325347052.573395,49.321578074748025,230.07237251301936,379.16807645526796
1,10.0,104.12115384615385,0.1,1e-05,3.0346019500000003,8.096385758981197e-06,4.168254253733844e-11,15325241407.669579,49.43566056099424,230.07237251301936,379.16807645526796
2,20.0,104.24230769230769,0.1,1e-05,3.0347122,8.124214560766344e-06,4.288747032472506e-11,15325135355.187706,49.55015292880925,230.07266235771147,379.223162409006
3,30.0,104.36346153846154,0.1,1e-05,3.03482245,8.152139015381247e-06,4.412430972005311e-11,15325028896.702951,49.66505643483081,230.07295289100415,379.2783373791324
4,40.0,104.48461538461538,0.1,1e-05,3.0349327,8.180159451602724e-06,4.539382545228717e-11,15324922026.141628,49.78037231573095,230.07324410529387,379.3336014956242
5,50.0,104.60576923076923,0.1,1e-05,3.0350429500000002,8.208276199337585e-06,4.6696798550342e-11,15324814740.03413,49.89610178833704,230.07353601388846,379.3889548778267
6,60.0,104.72692307692307,0.1,1e-05,3.0351532000000003,8.23648958962665e-06,4.803402664438979e-11,15324707037.47512,50.01224604975458,230.07382862291988,379.44439763457746
7,70.0,104.84807692307692,0.1,1e-05,3.03526345,8.264799954648564e-06,4.940632427179991e-11,15324598915.055904,50.12880627748783,230.07412193149483,379.4999298643308
8,80.0,104.96923076923076,0.1,1e-05,3.0353737,8.293207627723759e-06,5.08145231877708e-11,15324490371.911825,50.24578362956344,230.0744159455164,379.55555165527915
9,90.0,105.09038461538462,0.1,1e-05,3.03548395,8.32171294331831e-06,5.225947268070524e-11,15324381404.693996,50.36317924465121,230.07471066393856,379.6112630854754
10,100.0,105.21153846153847,0.1,1e-05,3.0355942000000002,8.350316237047917e-06,5.374203989238749e-11,15324272010.09278,50.48099424218747,230.07500609244036,379.6670642229523
11,110.0,105.33269230769231,0.1,1e-05,3.03570445,8.37901784568189e-06,5.526311014301611e-11,15324162182.36266,50.59922972249703,230.07530223655388,379.72295512584253
12,120.0,105.45384615384616,0.1,1e-05,3.0358147,8.40781810714706e-06,5.6823587261150904e-11,15324051923.221312,50.71788676691519,230.0755991083555,379.77893584249597
13,130.0,105.575,0.1,1e-05,3.03592495,8.436717360531778e-06,5.842439391862831e-11,15323941227.000181,50.836963674442764,230.07589669970875,379.83500641159685
14,140.0,105.69615384615385,0.1,1e-05,3.0360352,8.465715946089919e-06,6.006647197050583e-11,15323830092.98916,50.95646701895036,230.07619502240382,379.89116556005797
15,150.0,105.8173076923077,0.1,1e-05,3.0361454500000002,8.494814205244843e-06,6.175078280008744e-11,15323718515.614878,51.07639231354843,230.0764940748192,379.9474159108296
16,160.0,105.93846153846154,0.1,1e-05,3.0362557,8.52401248059345e-06,6.347830766909488e-11,15323606491.796665,51.196743322407535,230.07679386839214,380.0037548846429
17,170.0,106.05961538461538,0.1,1e-05,3.03636595,8.553311115910235e-06,6.52500480730393e-11,15323494018.490883,51.317523760985935,230.07709440780462,380.0601837768436
18,180.0,106.18076923076923,0.1,1e-05,3.0364762,8.5827104561513e-06,6.706702610184947e-11,15323381095.097237,51.438731859770556,230.0773956976024,380.1167038545973
19,190.0,106.30192307692307,0.1,1e-05,3.03658645,8.612210847458443e-06,6.893028480582357e-11,15323267713.831696,51.560368570589795,230.07769773575907,380.1733138203081
20,200.0,106.42307692307692,0.1,1e-05,3.0366967000000002,8.641812637163164e-06,7.084088856695381e-11,15323153874.166304,51.6824348272572,230.0780005394264,380.23001364817594
21,210.0,106.54423076923077,0.1,1e-05,3.03680695,8.671516173790876e-06,7.279992347569377e-11,15323039573.202047,51.80493154569235,230.07830410631271,380.28680330362823
22,220.0,106.66538461538461,0.1,1e-05,3.0369172,8.701321807064868e-06,7.480849771322266e-11,15322924808.07519,51.92785962404199,230.0786084404332,380.3436827434259
23,230.0,106.78653846153846,0.1,1e-05,3.03702745,8.731229887910549e-06,7.686774193926636e-11,15322809573.598661,52.05122261634068,230.07891354567408,380.4006519157696
24,240.0,106.9076923076923,0.1,1e-05,3.0371377,8.761240768459506e-06,7.897880968554404e-11,15322693866.99755,52.17501869994694,230.07921943205417,380.45771199588836
25,250.0,107.02884615384616,0.1,1e-05,3.0372479500000003,8.791354802053703e-06,8.114287775489067e-11,15322577685.531096,52.29925137621723,230.07952610313652,380.51486167436866
26,260.0,107.15,0.1,1e-05,3.0373582,8.821572343249503e-06,8.336114662612745e-11,15322461024.163033,52.42391880562511,230.0798335623599,380.57210209690675
27,270.0,107.27115384615385,0.1,1e-05,3.03746845,8.851893747822048e-06,8.563484086473586e-11,15322343880.239101,52.54902443742699,230.0801418191957,380.6294319507469
28,280.0,107.3923076923077,0.1,1e-05,3.0375787,8.882319372769315e-06,8.796520953940148e-11,15322226246.517996,52.67456904491276,230.08045087676985,380.6868523525893
29,290.0,107.51346153846154,0.1,1e-05,3.03768895,8.912849576316368e-06,9.03535266444907e-11,15322108122.749964,52.80055338450808,230.08076075025963,380.74436318991724
30,300.0,107.63461538461539,0.1,1e-05,3.0377992000000003,8.943484717919501e-06,9.280109152851702e-11,15321989504.107018,52.92697819589246,230.08107143636562,380.80196434245795
31,310.0,107.75576923076923,0.1,1e-05,3.03790945,8.974225158270601e-06,9.530922932867324e-11,15321870388.102905,53.05384680510169,230.0813829438084,380.85965568227806
32,320.0,107.87692307692308,0.1,1e-05,3.0380197,9.00507125930125e-06,9.787929141148246e-11,15321750767.739737,53.181157303793505,230.08169527511004,380.9174382582514
33,330.0,107.99807692307692,0.1,1e-05,3.03812995,9.036023384187107e-06,1.0051265581963583e-10,15321630642.893822,53.30891296768134,230.08200844457426,380.97531073794295
34,340.0,108.11923076923077,0.1,1e-05,3.0382402,9.067081897352118e-06,1.0321072772508839e-10,15321510006.686266,53.43711445011172,230.08232244845092,381.03327414294006
35,350.0,108.24038461538461,0.1,1e-05,3.0383504500000003,9.098247164472845e-06,1.0597493988846386e-10,15321388856.811157,53.565762388351146,230.0826373006191,381.09132830441405
36,360.0,108.36153846153846,0.1,1e-05,3.0384607,9.129519552482688e-06,1.088067531248528e-10,15321267186.525957,53.69485740370241,230.08295300295822,381.1494730464377
37,370.0,108.4826923076923,0.1,1e-05,3.03857095,9.160899429576343e-06,1.1170765677605238e-10,15321144993.621725,53.82440010162001,230.08326956886293,381.207708186073
