,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling Low Band (K),T_A Upwelling High Band (K)
0,0.0,104.0,0.1,0.042,3.0344917000000002,8.06865228237526e-06,1.7013686605442915e-07,20503343824.602253,24.287543014200942,196.48818375576218,317.27853252987575
1,10.0,104.07777777777778,0.1,0.042,3.034562477777778,8.086445551676552e-06,1.7328680417775726e-07,20492308924.957058,24.513987948344354,196.48818375576218,317.27853252987575
2,20.0,104.15555555555555,0.1,0.042,3.0346332555555557,8.104278059306776e-06,1.7649022517790586e-07,20481080100.997585,24.742419933735725,196.49202444984977,317.3071586802029
3,30.0,104.23333333333333,0.1,0.042,3.0347040333333335,8.12214989179566e-06,1.7974795162235546e-07,20469654350.1821,24.97286238616188,196.49591715254007,317.33593594085
4,40.0,104.31111111111112,0.1,0.042,3.0347748111111112,8.140061135863751e-06,1.8306081734510817e-07,20458028633.738873,25.205341900184415,196.49986241776358,317.3648659474266
5,50.0,104.38888888888889,0.1,0.042,3.034845588888889,8.158011878422801e-06,1.8642966758072568e-07,20446199876.673172,25.439883674955013,196.5038608027398,317.3939507148314
6,60.0,104.46666666666667,0.1,0.042,3.0349163666666668,8.176002206576223e-06,1.8985535909968864e-07,20434164967.50873,25.676512991813663,196.50791286789766,317.4231920678257
7,70.0,104.54444444444445,0.1,0.042,3.0349871444444445,8.194032207619545e-06,1.933387603451022e-07,20421920758.08306,25.915256605466325,196.5120191768901,317.4525918253049
8,80.0,104.62222222222222,0.1,0.042,3.0350579222222223,8.212101969040806e-06,1.9688075157074274e-07,20409464063.583805,26.15613980968326,196.51618029659176,317.4821519713805
9,90.0,104.7,0.1,0.042,3.0351287,8.230211578520924e-06,2.004822249804774e-07,20396791662.26242,26.39918926454652,196.52039679701699,317.51187429494195
10,100.0,104.77777777777777,0.1,0.042,3.0351994777777778,8.248361123934224e-06,2.0414408486904378e-07,20383900295.447754,26.644431511798498,196.52466925135067,317.5417607365478
11,110.0,104.85555555555555,0.1,0.042,3.0352702555555555,8.266550693348817e-06,2.0786724776421392e-07,20370786667.309704,26.891894305623747,196.52899823587938,317.5718132068012
12,120.0,104.93333333333334,0.1,0.042,3.0353410333333333,8.284780375026986e-06,2.1165264257035056e-07,20357447444.838005,27.141603816361904,196.53338433000988,317.60203374798607
13,130.0,105.0111111111111,0.1,0.042,3.0354118111111115,8.303050257425659e-06,2.1550121071336775e-07,20343879257.767784,27.393587331536573,196.53782811621818,317.63242419581985
14,140.0,105.08888888888889,0.1,0.042,3.035482588888889,8.321360429196861e-06,2.1941390628709767e-07,20330078698.507477,27.647873158914354,196.5423301800194,317.6629865063978
15,150.0,105.16666666666667,0.1,0.042,3.035553366666667,8.339710979188122e-06,2.233916962010865e-07,20316042321.99579,27.904487931882002,196.54689110994022,317.6937227436795
16,160.0,105.24444444444444,0.1,0.042,3.0356241444444447,8.358101996442842e-06,2.2743556032981837e-07,20301766645.703564,28.163460502249382,196.55151149751768,317.72463475727665
17,170.0,105.32222222222222,0.1,0.042,3.0356949222222225,8.376533570200839e-06,2.3154649166338938e-07,20287248149.656033,28.424819246059702,196.5561919372535,317.755724647685
18,180.0,105.4,0.1,0.042,3.0357657000000002,8.395005789898727e-06,2.3572549645963317e-07,20272483276.32813,28.688592040668645,196.56093302656566,317.78699444502655
19,190.0,105.47777777777777,0.1,0.042,3.035836477777778,8.413518745170311e-06,2.3997359439770983e-07,20257468430.624107,28.954807480425586,196.56573536578486,317.8184461074256
20,200.0,105.55555555555556,0.1,0.042,3.0359072555555557,8.43207252584706e-06,2.4429181873317896e-07,20242199979.941338,29.22349356962705,196.57059955812727,317.8500816650747
21,210.0,105.63333333333334,0.1,0.042,3.0359780333333335,8.450667221958579e-06,2.4868121645455175e-07,20226674254.172966,29.49468011733965,196.5755262096437,317.8819030667644
22,220.0,105.71111111111111,0.1,0.042,3.0360488111111112,8.469302923733008e-06,2.5314284844134335e-07,20210887545.73637,29.768396209513174,196.58051592919307,317.9139124607317
23,230.0,105.78888888888889,0.1,0.042,3.036119588888889,8.487979721597427e-06,2.576777896236418e-07,20194836109.564003,30.044671370634383,196.58556932841137,317.9461118990437
24,240.0,105.86666666666666,0.1,0.042,3.0361903666666668,8.506697706178327e-06,2.6228712914318453e-07,20178516163.276424,30.323534325764697,196.5906870216972,317.97850347366796
25,250.0,105.94444444444444,0.1,0.042,3.0362611444444445,8.52545696830209e-06,2.669719705159787e-07,20161923887.22362,30.6050152821745,196.59586962614338,318.01108917354384
26,260.0,106.02222222222223,0.1,0.042,3.0363319222222223,8.544257598995388e-06,2.717334317964519e-07,20145055424.484665,30.889143531023166,196.60111776151555,318.0438711487075
27,270.0,106.1,0.1,0.042,3.0364027,8.563099689485578e-06,2.765726457431641e-07,20127906881.10031,31.17594967404545,196.60643205024834,318.0768514341599
28,280.0,106.17777777777778,0.1,0.042,3.0364734777777778,8.581983331201247e-06,2.814907599860883e-07,20110474326.172127,31.46546328899909,196.6118131173727,318.1100322059982
29,290.0,106.25555555555556,0.1,0.042,3.0365442555555555,8.600908615772601e-06,2.864889371954518e-07,20092753792.009243,31.757715102282283,196.61726159049104,318.14341551473103
30,300.0,106.33333333333333,0.1,0.042,3.0366150333333333,8.619875635031865e-06,2.91568355252176e-07,20074741274.327602,32.052735791414804,196.6227780997421,318.1770035336007
31,310.0,106.41111111111111,0.1,0.042,3.036685811111111,8.63888448101382e-06,2.967302074199199e-07,20056432732.38564,32.35055486474107,196.62836327775534,318.2107984225957
32,320.0,106.4888888888889,0.1,0.042,3.036756588888889,8.657935245956213e-06,3.0197570251871364e-07,20037824089.221863,32.651203800577655,196.63401775963007,318.2448022029072
33,330.0,106.56666666666666,0.1,0.042,3.036827366666667,8.677028022300157e-06,3.073060651002337e-07,20018911231.906612,32.95471380931097,196.6397421828891,318.2790171113589
34,340.0,106.64444444444445,0.1,0.042,3.0368981444444447,8.69616290269064e-06,3.127225356247033e-07,19999690011.788517,33.26111578063634,196.64553718743397,318.3134453486528
35,350.0,106.72222222222223,0.1,0.042,3.0369689222222225,8.715339979976933e-06,3.182263706394306e-07,19980156244.74691,33.57044123760946,196.6514034155076,318.3480890744747
36,360.0,106.8,0.1,0.042,3.0370397000000002,8.7345593472131e-06,3.23818842959009e-07,19960305711.488132,33.88272024911724,196.6573415116617,318.3829505145724
37,370.0,106.87777777777778,0.1,0.042,3.037110477777778,8.753821097658408e-06,3.2950124184718846e-07,19940134157.945995,34.197985351411866,196.66335212271682,318.418031729676
38,380.0,106.95555555555555,0.1,0.042,3.0371812555555557,8.773125324777732e-06,3.3527487320041854e-07,19919637295.521095,34.51626747854651,196.66943589769744,318.4533350504584
39,390.0,107.03333333333333,0.1,0.042,3.0372520333333335,8.79247212224211e-06,3.4114105973308396e-07,19898810801.50003,34.837597880532265,196.67559348782282,318.48886262836936
40,400.0,107.11111111111111,0.1,0.042,3.0373228111111112,8.81186158392915e-06,3.4710114116444254e-07,19877650319.49335,35.16200896770208,196.6818255464501,318.5246166481635
41,410.0,107.18888888888888,0.1,0.042,3.037393588888889,8.831293803923424e-06,3.5315647440728255e-07,19856151459.751064,35.48953139103275,196.68813272901917,318.5605994206341
42,420.0,107.26666666666667,0.1,0.042,3.0374643666666667,8.850768876517038e-06,3.593084337583009e-07,19834309799.725536,35.82019771275685,196.69451569304132,318.5968130645546
43,430.0,107.34444444444445,0.1,0.042,3.0375351444444445,8.870286896210037e-06,3.655584110902183e-07,19812120884.48002,36.15403951646523,196.70097509802127,318.6332599072754
44,440.0,107.42222222222222,0.1,0.042,3.0376059222222223,8.889847957710822e-06,3.719078160456402e-07,19789580227.208656,36.49108826748209,196.70751160543347,318.66994217145395
45,450.0,107.5,0.1,0.042,3.0376767,8.909452155936648e-06,3.783580762327063e-07,19766683309.75177,36.831376109823275,196.7141258786722,318.7068620694683
46,460.0,107.57777777777778,0.1,0.042,3.0377474777777778,8.929099586014121e-06,3.8491063742246817e-07,19743425583.187527,37.17493487806156,196.72081858301172,318.7440218899612
47,470.0,107.65555555555555,0.1,0.042,3.0378182555555555,8.948790343279625e-06,3.9156696374809325e-07,19719802468.436905,37.5217968766768,196.72759038555168,318.7814238924199
48,480.0,107.73333333333333,0.1,0.042,3.0378890333333333,8.968524523279744e-06,3.983285379058496e-07,19695809356.804672,37.87199476160963,196.7344419551675,318.8190703914641
49,490.0,107.81111111111112,0.1,0.042,3.0379598111111115,8.988302221771771e-06,4.0519686135790265e-07,19671441610.714058,38.22555977559613,196.7413739624873,318.8569637448104
50,500.0,107.88888888888889,0.1,0.042,3.038030588888889,9.008123534724194e-06,4.121734545369293e-07,19646694564.350815,38.58252417927089,196.74838707982144,318.8951061670092
51,510.0,107.96666666666667,0.1,0.042,3.038101366666667,9.027988558317138e-06,4.192598570525832e-07,19621563524.4061,38.942919490958545,196.75548198112742,318.933499988185
52,520.0,108.04444444444445,0.1,0.042,3.0381721444444447,9.047897388942795e-06,4.264576278997848e-07,19596043770.79768,39.306778013674624,196.76265934195504,318.9721474690032
53,530.0,108.12222222222222,0.1,0.042,3.0382429222222225,9.067850123205897e-06,4.3376834566889025e-07,19570130557.46537,39.67413113068469,196.76991983940695,319.01105096237205
54,540.0,108.2,0.1,0.042,3.0383137000000002,9.087846857924333e-06,4.4119360875772275e-07,19543819113.206573,40.045011560573215,196.77726415208735,319.0502127357089
55,550.0,108.27777777777777,0.1,0.042,3.038384477777778,9.10788769012938e-06,4.4873503558547957e-07,19517104642.502804,40.41945014833883,196.7846929600493,319.0896352075831
56,560.0,108.35555555555555,0.1,0.042,3.0384552555555557,9.127972717066312e-06,4.563942648085668e-07,19489982326.427807,40.79747885252689,196.79220694475347,319.12932061460305
57,570.0,108.43333333333334,0.1,0.042,3.0385260333333335,9.148102036194889e-06,4.641729555382963e-07,19462447323.586143,41.17912983501476,196.79980678901447,319.16927132295336
58,580.0,108.5111111111111,0.1,0.042,3.0385968111111112,9.168275745189793e-06,4.720727875605508e-07,19434494771.03779,41.56443461469313,196.80749317694816,319.2094897348196
