,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling Low Band (K),T_A Upwelling High Band (K)
0,0.0,104.0,0.3,1e-05,3.0344917000000002,8.06865228237526e-06,4.050877763215513e-11,20503343824.602253,24.287543014200942,230.25090024916946,384.62047505806703
1,10.0,104.12115384615385,0.3,1e-05,3.0346019500000003,8.096385758981197e-06,4.168254253733844e-11,20503221645.808804,24.38027552877619,230.25090024916946,384.62047505806703
2,20.0,104.24230769230769,0.3,1e-05,3.0347122,8.124214560766344e-06,4.288747032472506e-11,20503098996.737892,24.473363293722027,230.2511303483702,384.6673495880571
3,30.0,104.36346153846154,0.3,1e-05,3.03482245,8.152139015381247e-06,4.412430972005311e-11,20502975874.47107,24.566805207651022,230.25136099348313,384.71430104099437
4,40.0,104.48461538461538,0.3,1e-05,3.0349327,8.180159451602724e-06,4.539382545228717e-11,20502852280.83733,24.660607596915188,230.25159218738776,384.7613283524931
5,50.0,104.60576923076923,0.3,1e-05,3.0350429500000002,8.208276199337585e-06,4.6696798550342e-11,20502728208.253677,24.754769325310573,230.2518239240383,384.8084341903761
6,60.0,104.72692307692307,0.3,1e-05,3.0351532000000003,8.23648958962665e-06,4.803402664438979e-11,20502603653.90225,24.849289265015162,230.25205621502533,384.85561747063224
7,70.0,104.84807692307692,0.3,1e-05,3.03526345,8.264799954648564e-06,4.940632427179991e-11,20502478614.99806,24.9441699726883,230.25228906296837,384.9028771176746
8,80.0,104.96923076923076,0.3,1e-05,3.0353737,8.293207627723759e-06,5.08145231877708e-11,20502353084.14792,25.039413976719995,230.25252247040237,384.95021389729163
9,90.0,105.09038461538462,0.3,1e-05,3.03548395,8.32171294331831e-06,5.225947268070524e-11,20502227063.290573,25.135020123481006,230.25275644842836,384.9976285562333
10,100.0,105.21153846153847,0.3,1e-05,3.0355942000000002,8.350316237047917e-06,5.374203989238749e-11,20502100549.737717,25.230990910601896,230.25299099071825,385.04512000840543
11,110.0,105.33269230769231,0.3,1e-05,3.03570445,8.37901784568189e-06,5.526311014301611e-11,20501973536.24628,25.327325176072854,230.2532260995587,385.09268898067535
12,120.0,105.45384615384616,0.3,1e-05,3.0358147,8.40781810714706e-06,5.6823587261150904e-11,20501846020.226997,25.42402538710034,230.25346178566593,385.1403343861874
13,130.0,105.575,0.3,1e-05,3.03592495,8.436717360531778e-06,5.842439391862831e-11,20501717999.121426,25.521093983178282,230.25369805107357,385.18805693228956
14,140.0,105.69615384615385,0.3,1e-05,3.0360352,8.465715946089919e-06,6.006647197050583e-11,20501589470.40158,25.61853337616501,230.2539348977367,385.2358573080339
15,150.0,105.8173076923077,0.3,1e-05,3.0361454500000002,8.494814205244843e-06,6.175078280008744e-11,20501460431.569653,25.716338775274533,230.25417232753304,385.2837361843473
16,160.0,105.93846153846154,0.3,1e-05,3.0362557,8.52401248059345e-06,6.347830766909488e-11,20501330875.661613,25.8145161645143,230.2544103422636,385.33169069830655
17,170.0,106.05961538461538,0.3,1e-05,3.03636595,8.553311115910235e-06,6.52500480730393e-11,20501200800.274902,25.91306433311532,230.25464895193446,385.3797232681632
18,180.0,106.18076923076923,0.3,1e-05,3.0364762,8.5827104561513e-06,6.706702610184947e-11,20501070203.035942,26.011985633959807,230.25488815810567,385.4278327889268
19,190.0,106.30192307692307,0.3,1e-05,3.03658645,8.612210847458443e-06,6.893028480582357e-11,20500939081.599834,26.111282392870883,230.25512796226405,385.47601989471605
20,200.0,106.42307692307692,0.3,1e-05,3.0366967000000002,8.641812637163164e-06,7.084088856695381e-11,20500807424.80182,26.21095337575775,230.25536836582432,385.52428520224186
21,210.0,106.54423076923077,0.3,1e-05,3.03680695,8.671516173790876e-06,7.279992347569377e-11,20500675234.83102,26.311000879650717,230.25560938632788,385.57262759849203
22,220.0,106.66538461538461,0.3,1e-05,3.0369172,8.701321807064868e-06,7.480849771322266e-11,20500542505.073887,26.41142366355181,230.2558510168143,385.6210476825787
23,230.0,106.78653846153846,0.3,1e-05,3.03702745,8.731229887910549e-06,7.686774193926636e-11,20500409233.367847,26.51222749654314,230.25609326640728,385.66954434201415
24,240.0,106.9076923076923,0.3,1e-05,3.0371377,8.761240768459506e-06,7.897880968554404e-11,20500275417.57694,26.613411106196498,230.25633613606442,385.71811984438995
25,250.0,107.02884615384616,0.3,1e-05,3.0372479500000003,8.791354802053703e-06,8.114287775489067e-11,20500141051.257015,26.71497322929474,230.25657962667702,385.7667730615034
