,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling Low Band (K),T_A Upwelling High Band (K)
0,0.0,104.0,0.1,0.0,3.0344917000000002,8.06865228237526e-06,1.4823061925720978e-22,20503343824.602253,24.287543014200942,260.35348895970355,385.4374140462596
1,10.0,104.12115384615385,0.1,0.0,3.0346019500000003,8.096385758981197e-06,1.598240684185869e-22,20503191782.5168,24.404905063828203,260.35348895970355,385.4374140462596
2,20.0,104.24230769230769,0.1,0.0,3.0347122,8.124214560766344e-06,1.7229410583071816e-22,20503039221.570747,24.522689753911195,260.3539893628397,385.4958906670938
3,30.0,104.36346153846154,0.1,0.0,3.03482245,8.152139015381247e-06,1.857047037263626e-22,20502886139.74056,24.640898397430796,260.3544910558093,385.55447023886825
4,40.0,104.48461538461538,0.1,0.0,3.0349327,8.180159451602724e-06,2.0012433238561318e-22,20502732538.816338,24.75952935771383,260.3549940424377,385.61315296179123
5,50.0,104.60576923076923,0.1,0.0,3.0350429500000002,8.208276199337585e-06,2.1562626423866365e-22,20502578413.01041,24.878586849203415,260.35549831401363,385.67193757469323
6,60.0,104.72692307692307,0.1,0.0,3.0351532000000003,8.23648958962665e-06,2.3228889769241935e-22,20502423760.361385,24.998072124233406,260.35600388669786,385.7308257128046
7,70.0,104.84807692307692,0.1,0.0,3.03526345,8.264799954648564e-06,2.5019610190499635e-22,20502268582.682175,25.117983514260978,260.3565107640631,385.78981754410773
8,80.0,104.96923076923076,0.1,0.0,3.0353737,8.293207627723759e-06,2.6943758380462105e-22,20502112874.284912,25.238325145377605,260.35701893730635,385.8489117975367
9,90.0,105.09038461538462,0.1,0.0,3.03548395,8.32171294331831e-06,2.901092787260462e-22,20501956636.996944,25.359095328303898,260.35752842218227,385.9081100548238
10,100.0,105.21153846153847,0.1,0.0,3.0355942000000002,8.350316237047917e-06,3.1231376611838106e-22,20501799865.195732,25.4802981309636,260.3580392098298,385.96741103874575
11,110.0,105.33269230769231,0.1,0.0,3.03570445,8.37901784568189e-06,3.3616071186360193e-22,20501642557.019478,25.601934707115436,260.35855131573857,386.02681629616256
12,120.0,105.45384615384616,0.1,0.0,3.0358147,8.40781810714706e-06,3.617673388352189e-22,20501484714.315952,25.724003337214064,260.35906474307797,386.0863259438629
13,130.0,105.575,0.1,0.0,3.03592495,8.436717360531778e-06,3.892589274215841e-22,20501326335.236538,25.846505158304193,260.35957948290485,386.1459386960955
14,140.0,105.69615384615385,0.1,0.0,3.0360352,8.465715946089919e-06,4.1876934783889396e-22,20501167414.286488,25.969444123705227,260.3600955383359,386.2056546629547
15,150.0,105.8173076923077,0.1,0.0,3.0361454500000002,8.494814205244843e-06,4.504416261647726e-22,20501007949.680134,26.092821310569306,260.36061292434295,386.2654753234241
16,160.0,105.93846153846154,0.1,0.0,3.0362557,8.52401248059345e-06,4.844285461352967e-22,20500847943.290455,26.216634960410474,260.3611316437881,386.32540075551714
17,170.0,106.05961538461538,0.1,0.0,3.03636595,8.553311115910235e-06,5.2089328886622115e-22,20500687389.71608,26.34088894209876,260.3616516876277,386.3854296632673
18,180.0,106.18076923076923,0.1,0.0,3.0364762,8.5827104561513e-06,5.600101127835126e-22,20500526290.841686,26.465581478297914,260.36217307045666,386.44556347635495
19,190.0,106.30192307692307,0.1,0.0,3.03658645,8.612210847458443e-06,6.019650761798697e-22,20500364641.326965,26.59071638232665,260.36269578318473,386.50580089419964
20,200.0,106.42307692307692,0.1,0.0,3.0366967000000002,8.641812637163164e-06,6.469568049518815e-22,20500202439.47711,26.716294638401674,260.3632198401605,386.5661433143563
21,210.0,106.54423076923077,0.1,0.0,3.03680695,8.671516173790876e-06,6.951973082188987e-22,20500039687.193245,26.842314441713118,260.3637452438804,386.6265907690102
22,220.0,106.66538461538461,0.1,0.0,3.0369172,8.701321807064868e-06,7.469128446781379e-22,20499876379.224937,26.96877952333191,260.36427198518913,386.6871419512841
23,230.0,106.78653846153846,0.1,0.0,3.03702745,8.731229887910549e-06,8.023448427129753e-22,20499712513.929646,27.09569081320842,260.36480007807324,386.7477982116449
24,240.0,106.9076923076923,0.1,0.0,3.0371377,8.761240768459506e-06,8.61750877442328e-22,20499548089.68184,27.223049223457675,260.3653295248197,386.80855955612907
