,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling Low Band (K),T_A Upwelling High Band (K)
0,0.0,104.0,0.1,0.001,3.0344917000000002,8.06865228237526e-06,4.050877763200839e-09,20503343824.602253,24.287543014200942,209.13874279955797,350.1996673999457
1,10.0,104.12115384615385,0.1,0.001,3.0346019500000003,8.096385758981197e-06,4.168254253718021e-09,20502929919.711395,24.407534759548938,209.13874279955797,350.1996673999457
2,20.0,104.24230769230769,0.1,0.001,3.0347122,8.124214560766344e-06,4.2887470324554496e-09,20502507940.400414,24.528021556518006,209.1391247748541,350.2376847363007
3,30.0,104.36346153846154,0.1,0.001,3.03482245,8.152139015381247e-06,4.4124309719869265e-09,20502077685.765068,24.64900692623672,209.1395130398118,350.2757373167805
4,40.0,104.48461538461538,0.1,0.001,3.0349327,8.180159451602724e-06,4.539382545208904e-09,20501638949.090908,24.770494336521704,209.13990773453818,350.3138254687997
5,50.0,104.60576923076923,0.1,0.001,3.0350429500000002,8.208276199337585e-06,4.669679855012853e-09,20501191519.88344,24.892487202137062,209.14030900281716,350.3519494948374
6,60.0,104.72692307692307,0.1,0.001,3.0351532000000003,8.23648958962665e-06,4.8034026644159815e-09,20500735181.89764,25.01498888506279,209.14071699019559,350.39010967271406
7,70.0,104.84807692307692,0.1,0.001,3.03526345,8.264799954648564e-06,4.940632427155221e-09,20500269713.88145,25.138002694771625,209.14113184573458,350.4283062558675
8,80.0,104.96923076923076,0.1,0.001,3.0353737,8.293207627723759e-06,5.081452318750406e-09,20499794890.27282,25.261531888513847,209.14155372127394,350.4665394736292
9,90.0,105.09038461538462,0.1,0.001,3.03548395,8.32171294331831e-06,5.225947268041802e-09,20499310479.446842,25.38557967160963,209.1419827707486,350.5048095315007
