Sub Jovian,,,,,,,,,,
UHF,,,546,g,4.6,mm,,,,
,,Conductive,,,Convective,,,Total,,
eta_vac,rho_salt,Number,Mass,Height,Number,Mass,Height,Number,Mass ,Height
0.1,0,1,546,4.6,4,2184,18.4,5,2730,23
0.1,1.00E-06,2,1092,9.2,4,2184,18.4,6,3276,27.6
0.1,1.00E-05,3,1638,13.8,12,6552,55.2,15,8190,69
0.1,1.00E-04,10,5460,46,65,35490,299,75,40950,345
0.1,1.00E-03,58,31668,266.8,291,158886,1338.6,349,190554,1605.4
0.1,4.20E-02,451,246246,2074.6,580,316680,2668,1031,562926,4742.6
,,,,,,,,,,
HF,,,885,g,27,mm,,,,
,,Conductive,,,Convective,,,Total,,
eta_vac,rho_salt,Number,Mass,Height,Number,Mass,Height,Number,Mass ,Height
0.1,0,1,885,27,2,1770,54,3,2655,81
0.1,1.00E-06,1,885,27,3,2655,81,4,3540,108
0.1,1.00E-05,2,1770,54,10,8850,270,12,10620,324
0.1,1.00E-04,8,7080,216,54,47790,1458,62,54870,1674
0.1,1.00E-03,46,40710,1242,194,171690,5238,240,212400,6480
0.1,4.20E-02,314,277890,8478,580,513300,15660,894,791190,24138
,,,,,,,,,,
,,,,,,,,,,
Thick boy Europa,,,,,,,,,,
UHF,,,,,,,,,,
,Conductive,,,Convective,,,Total,,,
rho_salt,Number,Mass,Height,Number,Mass,Height,Number,Mass ,Height,
0,2,1092,9.2,7,3822,32.2,9,4914,41.4,
1.00E-03,90,49140,414,605,330330,2783,695,379470,3197,
4.20E-02,703,383838,3233.8,1210,660660,5566,1913,1044498,8799.8,
,,,,,,,,,,
HF,,,,,,,,,,
,Conductive,,,Convective,,,Total,,,
rho_salt,Number,Mass,Height,Number,Mass,Height,Number,Mass ,Height,
0.00E+00,1,885,27,3,2655,81,4,3540,108,
1.00E-03,71,62835,1917,404,357540,10908,475,420375,12825,
4.20E-02,489,432765,13203,1210,1070850,32670,1699,1503615,45873,
,,,,,,,,,,
Increased TX Power (P_t = 10),,,,,,,,,,
UHF,,,,,,,,,,
,Conductive,,,Convective,,,Total,,,
rho_salt,Number,Mass,Height,Number,Mass,Height,Number,Mass ,Height,
0.00E+00,1,546,4.6,3,1638,13.8,4,2184,18.4,
1.00E-03,51,27846,234.6,290,158340,1334,341,186186,1568.6,
4.20E-02,438,239148,2014.8,580,316680,2668,1018,555828,4682.8,
HF,,,,,,,,,,
,Conductive,,,Convective,,,Total,,,
rho_salt,Number,Mass,Height,Number,Mass,Height,Number,Mass ,Height,
0.00E+00,1,885,27,1,885,27,2,1770,54,
1.00E-03,41,36285,1107,194,171690,5238,235,207975,6345,
4.20E-02,288,157248,1324.8,580,316680,2668,868,473928,3992.8,
Shannon Channel Capacity,,,,,,,,,,
UHF,,,,,,,,,,
,Conductive,,,Convective,,,Total,,,
rho_salt,Number,Mass,Height,Number,Mass,Height,Number,Mass ,Height,
0.00E+00,1,546,4.6,2,1092,9.2,3,1638,13.8,
1.00E-03,37,20202,170.2,290,158340,1334,327,178542,1504.2,
4.20E-02,403,220038,1853.8,580,316680,2668,983,536718,4521.8,
HF,,,,,,,,,,
,Conductive,,,Convective,,,Total,,,
rho_salt,Number,Mass,Height,Number,Mass,Height,Number,Mass ,Height,
0.00E+00,1,885,27,1,885,27,2,1770,54,
1.00E-03,30,26550,810,146,129210,3942,176,155760,4752,
4.20E-02,213,188505,5751,580,513300,15660,793,701805,21411,
,,,,,,,,,,
Anti Jovian,,,,,,,,,,
UHF,,,,,,,,,,
,Conductive,,,Convective,,,Total,,,
rho_salt,Number,Mass,Height,Number,Mass,Height,Number,Mass ,Height,
0.00E+00,1,546,4.6,4,2184,18.4,5,2730,23,
1.00E-03,58,31668,266.8,291,158886,1338.6,349,190554,1605.4,
4.20E-02,451,246246,2074.6,580,316680,2668,1031,562926,4742.6,
HF,,,,,,,,,,
,Conductive,,,Convective,,,Total,,,
rho_salt,Number,Mass,Height,Number,Mass,Height,Number,Mass ,Height,
0.00E+00,1,885,27,2,1770,54,3,2655,81,
1.00E-03,46,40710,1242,194,171690,5238,240,212400,6480,
4.20E-02,314,277890,8478,580,513300,15660,894,791190,24138,
,,,,,,,,,,
Anti Orbital,,,,,,,,,,
UHF,,,,,,,,,,
,Conductive,,,Convective,,,Total,,,
rho_salt,Number,Mass,Height,Number,Mass,Height,Number,Mass ,Height,
0.00E+00,1,546,4.6,4,2184,18.4,5,2730,23,
1.00E-03,58,31668,266.8,291,158886,1338.6,349,190554,1605.4,
4.20E-02,451,246246,2074.6,580,316680,2668,1031,562926,4742.6,
HF,,,,,,,,,,
,Conductive,,,Convective,,,Total,,,
rho_salt,Number,Mass,Height,Number,Mass,Height,Number,Mass ,Height,
0.00E+00,1,885,27,2,1770,54,3,2655,81,
1.00E-03,46,40710,1242,194,171690,5238,240,212400,6480,
4.20E-02,314,277890,8478,580,513300,15660,894,791190,24138,
