,Placement Depth (m),Attenuation
0,0.0,1
1,7440.0,1
2,8580.0,1
3,9260.0,1
4,9760.0,1
5,10160.0,1
6,10490.0,1
7,10780.0,1
8,11030.0,1
9,11260.0,1
10,11460.0,1
11,11650.0,1
12,11820.0,1
13,11980.0,1
14,12130.0,1
15,12270.0,1
16,12410.0,1
17,12540.0,1
18,12660.0,1
19,12780.0,1
20,12890.0,1
21,13000.0,1
22,13100.0,1
23,13200.0,1
24,13300.0,1
25,13390.0,1
26,13480.0,1
27,13570.0,1
28,13660.0,1
29,13740.0,1
30,13820.0,1
31,13900.0,1
32,13980.0,1
33,14060.0,1
34,14130.0,1
35,14200.0,1
36,14270.0,1
37,14340.0,1
38,14410.0,1
39,14480.0,1
40,14550.0,1
41,14620.0,1
42,14680.0,1
43,14740.0,1
44,14800.0,1
45,14860.0,1
46,14920.0,1
47,14980.0,1
48,15040.0,1
49,15100.0,1
50,15160.0,1
51,15220.0,1
52,15280.0,1
53,15330.0,1
54,15380.0,1
55,15430.0,1
56,15480.0,1
57,15530.0,1
58,15580.0,1
59,15630.0,1
60,15680.0,1
61,15730.0,1
62,15780.0,1
63,15830.0,1
64,15880.0,1
65,15930.0,1
66,15980.0,1
67,16030.0,1
68,16080.0,1
69,16130.0,1
70,16180.0,1
71,16220.0,1
72,16250.0,1
73,16280.0,1
74,16310.0,1
75,16340.0,1
76,16370.0,1
77,16400.0,1
78,16430.0,1
79,16460.0,1
80,16490.0,1
81,16520.0,1
82,16550.0,1
83,16580.0,1
84,16610.0,1
85,16640.0,1
86,16670.0,1
87,16700.0,1
88,16730.0,1
89,16760.0,1
90,16790.0,1
91,16820.0,1
92,16850.0,1
93,16880.0,1
94,16910.0,1
95,16940.0,1
96,16970.0,1
97,17000.0,1
98,17030.0,1
99,17060.0,1
100,17090.0,1
101,17120.0,1
102,17150.0,1
103,17180.0,1
104,17210.0,1
105,17240.0,1
106,17270.0,1
107,17300.0,1
108,17330.0,1
109,17360.0,1
110,17390.0,1
111,17420.0,1
112,17450.0,1
113,17480.0,1
114,17510.0,1
115,17540.0,1
116,17570.0,1
117,17600.0,1
118,17630.0,1
119,17660.0,1
120,17690.0,1
121,17720.0,1
122,17750.0,1
123,17780.0,1
124,17810.0,1
125,17840.0,1
126,17870.0,1
127,17900.0,1
128,17930.0,1
129,17960.0,1
130,17990.0,1
131,18020.0,1
132,18050.0,1
133,18080.0,1
134,18110.0,1
135,18140.0,1
136,18170.0,1
137,18200.0,1
138,18230.0,1
139,18260.0,1
140,18290.0,1
141,18320.0,1
142,18350.0,1
143,18380.0,1
144,18410.0,1
145,18440.0,1
146,18470.0,1
147,18500.0,1
148,18530.0,1
149,18560.0,1
150,18590.0,1
151,18620.0,1
152,18650.0,1
153,18680.0,1
154,18710.0,1
155,18740.0,1
156,18770.0,1
157,18800.0,1
158,18830.0,1
159,18860.0,1
160,18890.0,1
161,18920.0,1
162,18950.0,1
163,18980.0,1
164,19010.0,1
165,19040.0,1
166,19070.0,1
167,19100.0,1
168,19130.0,1
169,19160.0,1
170,19190.0,1
171,19220.0,1
172,19250.0,1
173,19280.0,1
174,19310.0,1
175,19340.0,1
176,19370.0,1
177,19400.0,1
178,19430.0,1
179,19460.0,1
180,19490.0,1
181,19520.0,1
182,19550.0,1
183,19580.0,1
184,19610.0,1
185,19640.0,1
186,19670.0,1
187,19700.0,1
188,19730.0,1
189,19760.0,1
190,19790.0,1
191,19820.0,1
192,19850.0,1
193,19880.0,1
194,19910.0,1
195,19940.0,1
196,19970.0,1
197,20000.0,1
198,20030.0,1
199,20060.0,1
200,20090.0,1
201,20120.0,1
202,20150.0,1
203,20180.0,1
204,20210.0,1
205,20240.0,1
206,20270.0,1
207,20300.0,1
208,20330.0,1
209,20360.0,1
210,20390.0,1
211,20420.0,1
212,20450.0,1
213,20480.0,1
214,20510.0,1
215,20540.0,1
216,20570.0,1
217,20600.0,1
218,20630.0,1
219,20660.0,1
220,20690.0,1
221,20720.0,1
222,20750.0,1
223,20780.0,1
224,20810.0,1
225,20840.0,1
226,20870.0,1
227,20900.0,1
228,20930.0,1
229,20960.0,1
230,20990.0,1
231,21020.0,1
232,21050.0,1
233,21080.0,1
234,21110.0,1
235,21140.0,1
236,21170.0,1
237,21200.0,1
238,21230.0,1
239,21260.0,1
240,21290.0,1
241,21320.0,1
242,21350.0,1
243,21380.0,1
244,21410.0,1
245,21440.0,1
246,21470.0,1
247,21500.0,1
248,21530.0,1
249,21560.0,1
250,21590.0,1
251,21620.0,1
252,21650.0,1
253,21680.0,1
254,21710.0,1
255,21740.0,1
256,21770.0,1
257,21800.0,1
258,21830.0,1
259,21860.0,1
260,21890.0,1
261,21920.0,1
262,21950.0,1
263,21980.0,1
264,22010.0,1
265,22040.0,1
266,22070.0,1
267,22100.0,1
268,22130.0,1
269,22160.0,1
270,22190.0,1
271,22220.0,1
272,22250.0,1
273,22280.0,1
274,22310.0,1
275,22340.0,1
276,22370.0,1
277,22400.0,1
278,22430.0,1
279,22460.0,1
280,22490.0,1
281,22520.0,1
282,22550.0,1
283,22580.0,1
284,22610.0,1
285,22640.0,1
286,22670.0,1
287,22700.0,1
288,22730.0,1
289,22760.0,1
290,22790.0,1
291,22820.0,1
292,22850.0,1
293,22880.0,1
294,22910.0,1
295,22940.0,1
296,22970.0,1
297,23000.0,1
298,23030.0,1
299,23060.0,1
300,23090.0,1
301,23120.0,1
302,23150.0,1
303,23180.0,1
304,23210.0,1
305,23240.0,1
306,23270.0,1
307,23300.0,1
308,23330.0,1
309,23360.0,1
310,23390.0,1
311,23420.0,1
312,23450.0,1
313,23480.0,1
314,23510.0,1
315,23540.0,1
316,23570.0,1
317,23600.0,1
318,23630.0,1
319,23660.0,1
320,23690.0,1
321,23720.0,1
322,23750.0,1
323,23780.0,1
324,23810.0,1
325,23840.0,1
326,23870.0,1
327,23900.0,1
328,23930.0,1
329,23960.0,1
330,23990.0,1
331,24020.0,1
332,24050.0,1
333,24080.0,1
334,24110.0,1
335,24140.0,1
336,24170.0,1
337,24200.0,1
338,24230.0,1
339,24260.0,1
340,24290.0,1
341,24320.0,1
342,24350.0,1
343,24380.0,1
344,24410.0,1
345,24440.0,1
346,24470.0,1
347,24500.0,1
348,24530.0,1
349,24560.0,1
350,24590.0,1
351,24620.0,1
352,24650.0,1
353,24680.0,1
354,24710.0,1
355,24740.0,1
356,24770.0,1
357,24800.0,1
358,24830.0,1
359,24860.0,1
360,24890.0,1
361,24920.0,1
362,24950.0,1
363,24980.0,1
364,25010.0,1
365,25040.0,1
366,25070.0,1
367,25100.0,1
368,25130.0,1
369,25160.0,1
370,25190.0,1
371,25220.0,1
372,25250.0,1
373,25280.0,1
374,25310.0,1
375,25340.0,1
376,25370.0,1
377,25400.0,1
378,25430.0,1
379,25460.0,1
380,25490.0,1
381,25520.0,1
382,25550.0,1
383,25580.0,1
384,25610.0,1
385,25640.0,1
386,25670.0,1
387,25700.0,1
388,25730.0,1
389,25760.0,1
390,25790.0,1
391,25820.0,1
392,25850.0,1
393,25880.0,1
394,25910.0,1
395,25940.0,1
396,25970.0,1
397,26000.0,1
398,26030.0,1
399,26060.0,1
400,26090.0,1
401,26120.0,1
402,26150.0,1
403,26180.0,1
404,26210.0,1
405,26240.0,1
406,26270.0,1
407,26300.0,1
408,26330.0,1
409,26360.0,1
410,26390.0,1
411,26420.0,1
412,26450.0,1
413,26480.0,1
414,26510.0,1
415,26540.0,1
416,26570.0,1
417,26600.0,1
418,26630.0,1
419,26660.0,1
420,26690.0,1
421,26720.0,1
422,26750.0,1
423,26780.0,1
424,26810.0,1
425,26840.0,1
426,26870.0,1
427,26900.0,1
428,26930.0,1
429,26960.0,1
430,26990.0,1
431,27020.0,1
432,27050.0,1
433,27080.0,1
434,27110.0,1
435,27140.0,1
436,27170.0,1
437,27200.0,1
438,27230.0,1
439,27260.0,1
440,27290.0,1
441,27320.0,1
442,27350.0,1
443,27380.0,1
444,27410.0,1
445,27440.0,1
446,27470.0,1
447,27500.0,1
448,27530.0,1
449,27560.0,1
450,27590.0,1
451,27620.0,1
452,27650.0,1
