,Placement Depth (m),Attenuation
0,0.0,1
1,5240.0,1
2,5990.0,1
3,6440.0,1
4,6780.0,1
5,7050.0,1
6,7270.0,1
7,7460.0,1
8,7630.0,1
9,7780.0,1
10,7920.0,1
11,8050.0,1
12,8170.0,1
13,8280.0,1
14,8390.0,1
15,8490.0,1
16,8590.0,1
17,8680.0,1
18,8770.0,1
19,8850.0,1
20,8930.0,1
21,9010.0,1
22,9080.0,1
23,9150.0,1
24,9220.0,1
25,9290.0,1
26,9360.0,1
27,9420.0,1
28,9480.0,1
29,9540.0,1
30,9600.0,1
31,9660.0,1
32,9720.0,1
33,9780.0,1
34,9830.0,1
35,9880.0,1
36,9930.0,1
37,9980.0,1
38,10030.0,1
39,10080.0,1
40,10130.0,1
41,10180.0,1
42,10230.0,1
43,10280.0,1
44,10330.0,1
45,10380.0,1
46,10420.0,1
47,10450.0,1
48,10480.0,1
49,10510.0,1
50,10540.0,1
51,10570.0,1
52,10600.0,1
53,10630.0,1
54,10660.0,1
55,10690.0,1
56,10720.0,1
57,10750.0,1
58,10780.0,1
59,10810.0,1
60,10840.0,1
61,10870.0,1
62,10900.0,1
63,10930.0,1
64,10960.0,1
65,10990.0,1
66,11020.0,1
67,11050.0,1
68,11080.0,1
69,11110.0,1
70,11140.0,1
71,11170.0,1
72,11200.0,1
73,11230.0,1
74,11260.0,1
75,11290.0,1
76,11320.0,1
77,11350.0,1
78,11380.0,1
79,11410.0,1
80,11440.0,1
81,11470.0,1
82,11500.0,1
83,11530.0,1
84,11560.0,1
85,11590.0,1
86,11620.0,1
87,11650.0,1
88,11680.0,1
89,11710.0,1
90,11740.0,1
91,11770.0,1
92,11800.0,1
93,11830.0,1
94,11860.0,1
95,11890.0,1
96,11920.0,1
97,11950.0,1
98,11980.0,1
99,12010.0,1
100,12040.0,1
101,12070.0,1
102,12100.0,1
103,12130.0,1
104,12160.0,1
105,12190.0,1
106,12220.0,1
107,12250.0,1
108,12280.0,1
109,12310.0,1
110,12340.0,1
111,12370.0,1
112,12400.0,1
113,12430.0,1
114,12460.0,1
115,12490.0,1
116,12520.0,1
117,12550.0,1
118,12580.0,1
119,12610.0,1
120,12640.0,1
121,12670.0,1
122,12700.0,1
123,12730.0,1
124,12760.0,1
125,12790.0,1
126,12820.0,1
127,12850.0,1
128,12880.0,1
129,12910.0,1
130,12940.0,1
131,12970.0,1
132,13000.0,1
133,13030.0,1
134,13060.0,1
135,13090.0,1
136,13120.0,1
137,13150.0,1
138,13180.0,1
139,13210.0,1
140,13240.0,1
141,13270.0,1
142,13300.0,1
143,13330.0,1
144,13360.0,1
145,13390.0,1
146,13420.0,1
147,13450.0,1
148,13480.0,1
149,13510.0,1
150,13540.0,1
151,13570.0,1
152,13600.0,1
153,13630.0,1
154,13660.0,1
155,13690.0,1
156,13720.0,1
157,13750.0,1
158,13780.0,1
159,13810.0,1
160,13840.0,1
161,13870.0,1
162,13900.0,1
163,13930.0,1
164,13960.0,1
165,13990.0,1
166,14020.0,1
167,14050.0,1
168,14080.0,1
169,14110.0,1
170,14140.0,1
171,14170.0,1
172,14200.0,1
173,14230.0,1
174,14260.0,1
175,14290.0,1
176,14320.0,1
177,14350.0,1
178,14380.0,1
179,14410.0,1
180,14440.0,1
181,14470.0,1
182,14500.0,1
183,14530.0,1
184,14560.0,1
185,14590.0,1
186,14620.0,1
187,14650.0,1
188,14680.0,1
189,14710.0,1
190,14740.0,1
191,14770.0,1
192,14800.0,1
193,14830.0,1
194,14860.0,1
195,14890.0,1
196,14920.0,1
197,14950.0,1
198,14980.0,1
199,15010.0,1
200,15040.0,1
201,15070.0,1
202,15100.0,1
203,15130.0,1
204,15160.0,1
205,15190.0,1
206,15220.0,1
207,15250.0,1
208,15280.0,1
209,15310.0,1
210,15340.0,1
211,15370.0,1
212,15400.0,1
213,15430.0,1
214,15460.0,1
215,15490.0,1
216,15520.0,1
217,15550.0,1
218,15580.0,1
219,15610.0,1
220,15640.0,1
221,15670.0,1
222,15700.0,1
223,15730.0,1
224,15760.0,1
225,15790.0,1
226,15820.0,1
227,15850.0,1
228,15880.0,1
229,15910.0,1
230,15940.0,1
231,15970.0,1
232,16000.0,1
233,16030.0,1
234,16060.0,1
235,16090.0,1
236,16120.0,1
237,16150.0,1
238,16180.0,1
239,16200.0,1
