,Placement Depth (m),Attenuation
0,0.0,1
1,4540.0,1
2,5290.0,1
3,5740.0,1
4,6070.0,1
5,6340.0,1
6,6560.0,1
7,6760.0,1
8,6930.0,1
9,7080.0,1
10,7210.0,1
11,7330.0,1
12,7440.0,1
13,7550.0,1
14,7650.0,1
15,7750.0,1
16,7840.0,1
17,7930.0,1
18,8010.0,1
19,8090.0,1
20,8170.0,1
21,8250.0,1
22,8320.0,1
23,8390.0,1
24,8460.0,1
25,8530.0,1
26,8600.0,1
27,8660.0,1
28,8720.0,1
29,8780.0,1
30,8840.0,1
31,8900.0,1
32,8960.0,1
33,9020.0,1
34,9080.0,1
35,9130.0,1
36,9180.0,1
37,9230.0,1
38,9280.0,1
39,9330.0,1
40,9380.0,1
41,9430.0,1
42,9480.0,1
43,9530.0,1
44,9580.0,1
45,9630.0,1
46,9680.0,1
47,9720.0,1
48,9760.0,1
49,9800.0,1
50,9840.0,1
51,9880.0,1
52,9920.0,1
53,9960.0,1
54,10000.0,1
55,10040.0,1
56,10080.0,1
57,10120.0,1
58,10160.0,1
59,10200.0,1
60,10240.0,1
61,10280.0,1
62,10320.0,1
63,10360.0,1
64,10400.0,1
65,10440.0,1
66,10480.0,1
67,10520.0,1
68,10560.0,1
69,10600.0,1
70,10630.0,1
71,10660.0,1
72,10690.0,1
73,10720.0,1
74,10750.0,1
75,10780.0,1
76,10810.0,1
77,10840.0,1
78,10870.0,1
79,10900.0,1
80,10930.0,1
81,10960.0,1
82,10990.0,1
83,11020.0,1
84,11050.0,1
85,11080.0,1
86,11110.0,1
87,11140.0,1
88,11170.0,1
89,11200.0,1
90,11230.0,1
91,11260.0,1
92,11290.0,1
93,11320.0,1
94,11350.0,1
95,11380.0,1
96,11410.0,1
97,11440.0,1
98,11470.0,1
99,11500.0,1
100,11530.0,1
101,11560.0,1
102,11590.0,1
103,11620.0,1
104,11650.0,1
105,11680.0,1
106,11710.0,1
107,11740.0,1
108,11770.0,1
109,11800.0,1
110,11830.0,1
111,11860.0,1
112,11890.0,1
113,11920.0,1
114,11950.0,1
115,11980.0,1
116,12010.0,1
117,12040.0,1
118,12070.0,1
119,12100.0,1
120,12130.0,1
121,12150.0,1
122,12170.0,1
123,12190.0,1
124,12210.0,1
125,12230.0,1
126,12250.0,1
127,12270.0,1
128,12290.0,1
129,12310.0,1
130,12330.0,1
131,12350.0,1
132,12370.0,1
133,12390.0,1
134,12410.0,1
135,12430.0,1
136,12450.0,1
137,12470.0,1
138,12490.0,1
139,12510.0,1
140,12530.0,1
141,12550.0,1
142,12570.0,1
143,12590.0,1
144,12610.0,1
145,12630.0,1
146,12650.0,1
147,12670.0,1
148,12690.0,1
149,12710.0,1
150,12730.0,1
151,12750.0,1
152,12770.0,1
153,12790.0,1
154,12810.0,1
155,12830.0,1
156,12850.0,1
157,12870.0,1
158,12890.0,1
159,12910.0,1
160,12930.0,1
161,12950.0,1
162,12970.0,1
163,12990.0,1
164,13010.0,1
165,13030.0,1
166,13050.0,1
167,13070.0,1
168,13090.0,1
169,13110.0,1
170,13130.0,1
171,13150.0,1
172,13170.0,1
173,13190.0,1
174,13210.0,1
175,13230.0,1
176,13250.0,1
177,13270.0,1
178,13290.0,1
179,13310.0,1
180,13330.0,1
181,13350.0,1
182,13370.0,1
183,13390.0,1
184,13410.0,1
185,13430.0,1
186,13450.0,1
187,13470.0,1
188,13490.0,1
189,13510.0,1
190,13530.0,1
191,13550.0,1
192,13570.0,1
193,13590.0,1
194,13610.0,1
195,13630.0,1
196,13650.0,1
197,13670.0,1
198,13690.0,1
199,13710.0,1
200,13730.0,1
201,13750.0,1
202,13770.0,1
203,13790.0,1
204,13810.0,1
205,13830.0,1
206,13850.0,1
207,13870.0,1
208,13890.0,1
209,13910.0,1
210,13930.0,1
211,13950.0,1
212,13970.0,1
213,13990.0,1
214,14010.0,1
215,14030.0,1
216,14050.0,1
217,14070.0,1
218,14090.0,1
219,14110.0,1
220,14130.0,1
221,14150.0,1
222,14170.0,1
223,14190.0,1
224,14210.0,1
225,14230.0,1
226,14250.0,1
227,14270.0,1
228,14290.0,1
229,14310.0,1
230,14330.0,1
231,14350.0,1
232,14370.0,1
233,14390.0,1
234,14410.0,1
235,14430.0,1
236,14450.0,1
237,14470.0,1
238,14490.0,1
239,14510.0,1
240,14530.0,1
241,14550.0,1
242,14570.0,1
243,14590.0,1
244,14610.0,1
245,14630.0,1
246,14650.0,1
247,14670.0,1
248,14690.0,1
249,14710.0,1
250,14730.0,1
251,14750.0,1
252,14770.0,1
253,14790.0,1
254,14810.0,1
255,14830.0,1
256,14850.0,1
257,14870.0,1
258,14890.0,1
259,14910.0,1
260,14930.0,1
261,14950.0,1
262,14970.0,1
263,14990.0,1
264,15010.0,1
265,15030.0,1
266,15050.0,1
267,15070.0,1
268,15090.0,1
269,15110.0,1
270,15130.0,1
271,15150.0,1
272,15170.0,1
273,15190.0,1
274,15210.0,1
275,15230.0,1
276,15250.0,1
277,15270.0,1
278,15290.0,1
279,15310.0,1
280,15330.0,1
281,15350.0,1
282,15370.0,1
283,15390.0,1
284,15400.0,1
285,15410.0,1
286,15420.0,1
287,15430.0,1
288,15440.0,1
289,15450.0,1
290,15460.0,1
291,15470.0,1
292,15480.0,1
293,15490.0,1
294,15500.0,1
295,15510.0,1
296,15520.0,1
297,15530.0,1
298,15540.0,1
299,15550.0,1
300,15560.0,1
301,15570.0,1
302,15580.0,1
303,15590.0,1
304,15600.0,1
305,15610.0,1
306,15620.0,1
307,15630.0,1
308,15640.0,1
309,15650.0,1
310,15660.0,1
311,15670.0,1
312,15680.0,1
313,15690.0,1
314,15700.0,1
315,15710.0,1
316,15720.0,1
317,15730.0,1
318,15740.0,1
319,15750.0,1
320,15760.0,1
321,15770.0,1
322,15780.0,1
323,15790.0,1
324,15800.0,1
325,15810.0,1
326,15820.0,1
327,15830.0,1
328,15840.0,1
329,15850.0,1
330,15860.0,1
331,15870.0,1
332,15880.0,1
333,15890.0,1
334,15900.0,1
335,15910.0,1
336,15920.0,1
337,15930.0,1
338,15940.0,1
339,15950.0,1
340,15960.0,1
341,15970.0,1
342,15980.0,1
343,15990.0,1
344,16000.0,1
345,16010.0,1
346,16020.0,1
347,16030.0,1
348,16040.0,1
349,16050.0,1
350,16060.0,1
351,16070.0,1
352,16080.0,1
353,16090.0,1
354,16100.0,1
355,16110.0,1
356,16120.0,1
357,16130.0,1
358,16140.0,1
359,16150.0,1
360,16160.0,1
361,16170.0,1
362,16180.0,1
363,16190.0,1
364,16200.0,1
365,16210.0,1
366,16220.0,1
367,16230.0,1
368,16240.0,1
369,16250.0,1
370,16260.0,1
371,16270.0,1
372,16280.0,1
373,16290.0,1
374,16300.0,1
375,16310.0,1
376,16320.0,1
