,Placement Depth (m),Attenuation
0,0.0,1
1,8170.0,1
2,9170.0,1
3,9790.0,1
4,10250.0,1
5,10500.0,1
6,10670.0,1
7,10840.0,1
8,11010.0,1
9,11180.0,1
10,11350.0,1
11,11520.0,1
12,11690.0,1
13,11860.0,1
14,12030.0,1
15,12200.0,1
16,12370.0,1
17,12540.0,1
18,12710.0,1
19,12880.0,1
20,13050.0,1
21,13220.0,1
22,13390.0,1
23,13560.0,1
24,13730.0,1
25,13900.0,1
26,14070.0,1
27,14240.0,1
28,14410.0,1
29,14580.0,1
30,14750.0,1
31,14920.0,1
32,15090.0,1
33,15260.0,1
34,15430.0,1
35,15600.0,1
36,15770.0,1
37,15940.0,1
38,16110.0,1
39,16200.0,1
