,Placement Depth (m),Attenuation
0,0.0,1
1,3960.0,1
2,4730.0,1
3,5200.0,1
4,5540.0,1
5,5810.0,1
6,6030.0,1
7,6220.0,1
8,6390.0,1
9,6540.0,1
10,6680.0,1
11,6810.0,1
12,6930.0,1
13,7030.0,1
14,7130.0,1
15,7220.0,1
16,7310.0,1
17,7390.0,1
18,7470.0,1
19,7550.0,1
20,7620.0,1
21,7690.0,1
22,7760.0,1
23,7830.0,1
24,7890.0,1
25,7950.0,1
26,8010.0,1
27,8070.0,1
28,8130.0,1
29,8190.0,1
30,8250.0,1
31,8300.0,1
32,8350.0,1
33,8400.0,1
34,8450.0,1
35,8500.0,1
36,8550.0,1
37,8600.0,1
38,8650.0,1
39,8700.0,1
40,8750.0,1
41,8790.0,1
42,8830.0,1
43,8870.0,1
44,8910.0,1
45,8950.0,1
46,8990.0,1
47,9030.0,1
48,9070.0,1
49,9110.0,1
50,9150.0,1
51,9190.0,1
52,9230.0,1
53,9270.0,1
54,9310.0,1
55,9350.0,1
56,9390.0,1
57,9430.0,1
58,9470.0,1
59,9510.0,1
60,9550.0,1
61,9580.0,1
62,9610.0,1
63,9640.0,1
64,9670.0,1
65,9700.0,1
66,9730.0,1
67,9760.0,1
68,9790.0,1
69,9820.0,1
70,9850.0,1
71,9880.0,1
72,9910.0,1
73,9940.0,1
74,9970.0,1
75,10000.0,1
76,10030.0,1
77,10060.0,1
78,10090.0,1
79,10120.0,1
80,10150.0,1
81,10180.0,1
82,10210.0,1
83,10240.0,1
84,10270.0,1
85,10300.0,1
86,10330.0,1
87,10360.0,1
88,10390.0,1
89,10420.0,1
90,10450.0,1
91,10480.0,1
92,10510.0,1
93,10540.0,1
94,10570.0,1
95,10600.0,1
96,10630.0,1
97,10660.0,1
98,10690.0,1
99,10720.0,1
100,10750.0,1
101,10780.0,1
102,10810.0,1
103,10840.0,1
104,10870.0,1
105,10900.0,1
106,10920.0,1
107,10940.0,1
108,10960.0,1
109,10980.0,1
110,11000.0,1
111,11020.0,1
112,11040.0,1
113,11060.0,1
114,11080.0,1
115,11100.0,1
116,11120.0,1
117,11140.0,1
118,11160.0,1
119,11180.0,1
120,11200.0,1
121,11220.0,1
122,11240.0,1
123,11260.0,1
124,11280.0,1
125,11300.0,1
126,11320.0,1
127,11340.0,1
128,11360.0,1
129,11380.0,1
130,11400.0,1
131,11420.0,1
132,11440.0,1
133,11460.0,1
134,11480.0,1
135,11500.0,1
136,11520.0,1
137,11540.0,1
138,11560.0,1
139,11580.0,1
140,11600.0,1
141,11620.0,1
142,11640.0,1
143,11660.0,1
144,11680.0,1
145,11700.0,1
146,11720.0,1
147,11740.0,1
148,11760.0,1
149,11780.0,1
150,11800.0,1
151,11820.0,1
152,11840.0,1
153,11860.0,1
154,11880.0,1
155,11900.0,1
156,11920.0,1
157,11940.0,1
158,11960.0,1
159,11980.0,1
160,12000.0,1
161,12020.0,1
162,12040.0,1
163,12060.0,1
164,12080.0,1
165,12100.0,1
166,12120.0,1
167,12140.0,1
168,12160.0,1
169,12180.0,1
170,12200.0,1
171,12220.0,1
172,12240.0,1
173,12260.0,1
174,12280.0,1
175,12300.0,1
176,12320.0,1
177,12340.0,1
178,12360.0,1
179,12380.0,1
180,12400.0,1
181,12420.0,1
182,12440.0,1
183,12460.0,1
184,12480.0,1
185,12500.0,1
186,12520.0,1
187,12540.0,1
188,12560.0,1
189,12580.0,1
190,12600.0,1
191,12620.0,1
192,12640.0,1
193,12660.0,1
194,12680.0,1
195,12700.0,1
196,12720.0,1
197,12740.0,1
198,12760.0,1
199,12780.0,1
200,12800.0,1
201,12820.0,1
202,12840.0,1
203,12860.0,1
204,12880.0,1
205,12900.0,1
206,12920.0,1
207,12940.0,1
208,12960.0,1
209,12980.0,1
210,13000.0,1
211,13020.0,1
212,13040.0,1
213,13060.0,1
214,13080.0,1
215,13100.0,1
216,13120.0,1
217,13140.0,1
218,13160.0,1
219,13180.0,1
220,13200.0,1
221,13220.0,1
222,13240.0,1
223,13260.0,1
224,13280.0,1
225,13300.0,1
226,13320.0,1
227,13340.0,1
228,13360.0,1
229,13380.0,1
230,13400.0,1
231,13420.0,1
232,13440.0,1
233,13460.0,1
234,13480.0,1
235,13500.0,1
236,13520.0,1
237,13540.0,1
238,13560.0,1
239,13580.0,1
240,13600.0,1
241,13620.0,1
242,13640.0,1
243,13660.0,1
244,13680.0,1
245,13700.0,1
246,13720.0,1
247,13740.0,1
248,13760.0,1
249,13780.0,1
250,13800.0,1
251,13820.0,1
252,13840.0,1
253,13850.0,1
254,13860.0,1
255,13870.0,1
256,13880.0,1
257,13890.0,1
258,13900.0,1
259,13910.0,1
260,13920.0,1
261,13930.0,1
262,13940.0,1
263,13950.0,1
264,13960.0,1
265,13970.0,1
266,13980.0,1
267,13990.0,1
268,14000.0,1
269,14010.0,1
270,14020.0,1
271,14030.0,1
272,14040.0,1
273,14050.0,1
274,14060.0,1
275,14070.0,1
276,14080.0,1
277,14090.0,1
278,14100.0,1
