,Placement Depth (m),Attenuation
0,0.0,1
1,2970.0,1
2,3480.0,1
3,3790.0,1
4,4020.0,1
5,4200.0,1
6,4350.0,1
7,4480.0,1
8,4590.0,1
9,4690.0,1
10,4780.0,1
11,4870.0,1
12,4950.0,1
13,5030.0,1
14,5100.0,1
15,5170.0,1
16,5230.0,1
17,5290.0,1
18,5350.0,1
19,5410.0,1
20,5470.0,1
21,5520.0,1
22,5570.0,1
23,5620.0,1
24,5670.0,1
25,5720.0,1
26,5770.0,1
27,5820.0,1
28,5860.0,1
29,5900.0,1
30,5940.0,1
31,5980.0,1
32,6020.0,1
33,6060.0,1
34,6100.0,1
35,6140.0,1
36,6180.0,1
37,6220.0,1
38,6260.0,1
39,6300.0,1
40,6340.0,1
41,6370.0,1
42,6400.0,1
43,6430.0,1
44,6460.0,1
45,6490.0,1
46,6520.0,1
47,6550.0,1
48,6580.0,1
49,6610.0,1
50,6640.0,1
51,6670.0,1
52,6700.0,1
53,6730.0,1
54,6760.0,1
55,6790.0,1
56,6820.0,1
57,6850.0,1
58,6880.0,1
59,6910.0,1
60,6940.0,1
61,6970.0,1
62,7000.0,1
63,7030.0,1
64,7060.0,1
65,7090.0,1
66,7120.0,1
67,7150.0,1
68,7180.0,1
69,7210.0,1
70,7240.0,1
71,7270.0,1
72,7290.0,1
73,7310.0,1
74,7330.0,1
75,7350.0,1
76,7370.0,1
77,7390.0,1
78,7410.0,1
79,7430.0,1
80,7450.0,1
81,7470.0,1
82,7490.0,1
83,7510.0,1
84,7530.0,1
85,7550.0,1
86,7570.0,1
87,7590.0,1
88,7610.0,1
89,7630.0,1
90,7650.0,1
91,7670.0,1
92,7690.0,1
93,7710.0,1
94,7730.0,1
95,7750.0,1
96,7770.0,1
97,7790.0,1
98,7810.0,1
99,7830.0,1
100,7850.0,1
101,7870.0,1
102,7890.0,1
103,7910.0,1
104,7930.0,1
105,7950.0,1
106,7970.0,1
107,7990.0,1
108,8010.0,1
109,8030.0,1
110,8050.0,1
111,8070.0,1
112,8090.0,1
113,8110.0,1
114,8130.0,1
115,8150.0,1
116,8170.0,1
117,8190.0,1
118,8210.0,1
119,8230.0,1
120,8250.0,1
121,8270.0,1
122,8290.0,1
123,8310.0,1
124,8330.0,1
125,8350.0,1
126,8370.0,1
127,8390.0,1
128,8410.0,1
129,8430.0,1
130,8450.0,1
131,8470.0,1
132,8490.0,1
133,8510.0,1
134,8530.0,1
135,8550.0,1
136,8570.0,1
137,8590.0,1
138,8610.0,1
139,8630.0,1
140,8650.0,1
141,8670.0,1
142,8690.0,1
143,8710.0,1
144,8730.0,1
145,8750.0,1
146,8770.0,1
147,8790.0,1
148,8810.0,1
149,8830.0,1
150,8850.0,1
151,8870.0,1
152,8890.0,1
153,8910.0,1
154,8930.0,1
155,8950.0,1
156,8970.0,1
157,8990.0,1
158,9010.0,1
159,9030.0,1
160,9050.0,1
161,9070.0,1
162,9090.0,1
163,9110.0,1
164,9130.0,1
165,9150.0,1
166,9170.0,1
167,9190.0,1
168,9210.0,1
169,9220.0,1
170,9230.0,1
171,9240.0,1
172,9250.0,1
173,9260.0,1
174,9270.0,1
175,9280.0,1
176,9290.0,1
177,9300.0,1
178,9310.0,1
179,9320.0,1
180,9330.0,1
181,9340.0,1
182,9350.0,1
183,9360.0,1
184,9370.0,1
185,9380.0,1
186,9390.0,1
187,9400.0,1
188,9410.0,1
189,9420.0,1
190,9430.0,1
191,9440.0,1
192,9450.0,1
193,9460.0,1
194,9470.0,1
195,9480.0,1
196,9490.0,1
197,9500.0,1
198,9510.0,1
199,9520.0,1
200,9530.0,1
201,9540.0,1
202,9550.0,1
203,9560.0,1
204,9570.0,1
205,9580.0,1
206,9590.0,1
207,9600.0,1
208,9610.0,1
209,9620.0,1
210,9630.0,1
211,9640.0,1
212,9650.0,1
213,9660.0,1
214,9670.0,1
215,9680.0,1
216,9690.0,1
217,9700.0,1
218,9710.0,1
219,9720.0,1
220,9730.0,1
221,9740.0,1
222,9750.0,1
223,9760.0,1
224,9770.0,1
225,9780.0,1
226,9790.0,1
227,9800.0,1
228,9810.0,1
229,9820.0,1
230,9830.0,1
231,9840.0,1
232,9850.0,1
233,9860.0,1
234,9870.0,1
235,9880.0,1
236,9890.0,1
237,9900.0,1
238,9910.0,1
239,9920.0,1
240,9930.0,1
241,9940.0,1
242,9950.0,1
243,9960.0,1
244,9970.0,1
245,9980.0,1
246,9990.0,1
247,10000.0,1
248,10010.0,1
249,10020.0,1
250,10030.0,1
251,10040.0,1
252,10050.0,1
253,10060.0,1
254,10070.0,1
255,10080.0,1
256,10090.0,1
257,10100.0,1
258,10110.0,1
259,10120.0,1
260,10130.0,1
261,10140.0,1
262,10150.0,1
263,10160.0,1
264,10170.0,1
265,10180.0,1
266,10190.0,1
267,10200.0,1
268,10210.0,1
269,10220.0,1
270,10230.0,1
271,10240.0,1
272,10250.0,1
273,10260.0,1
274,10270.0,1
275,10280.0,1
276,10290.0,1
277,10300.0,1
278,10310.0,1
279,10320.0,1
280,10330.0,1
281,10340.0,1
282,10350.0,1
283,10360.0,1
284,10370.0,1
285,10380.0,1
286,10390.0,1
287,10400.0,1
288,10410.0,1
289,10420.0,1
290,10430.0,1
291,10440.0,1
292,10450.0,1
293,10460.0,1
294,10470.0,1
295,10480.0,1
296,10490.0,1
297,10500.0,1
298,10510.0,1
299,10520.0,1
300,10530.0,1
301,10540.0,1
302,10550.0,1
303,10560.0,1
304,10570.0,1
305,10580.0,1
306,10590.0,1
307,10600.0,1
308,10610.0,1
309,10620.0,1
310,10630.0,1
311,10640.0,1
312,10650.0,1
313,10660.0,1
314,10670.0,1
315,10680.0,1
316,10690.0,1
317,10700.0,1
318,10710.0,1
319,10720.0,1
320,10730.0,1
321,10740.0,1
322,10750.0,1
323,10760.0,1
324,10770.0,1
325,10780.0,1
326,10790.0,1
327,10800.0,1
328,10810.0,1
329,10820.0,1
330,10830.0,1
331,10840.0,1
332,10850.0,1
333,10860.0,1
334,10870.0,1
335,10880.0,1
336,10890.0,1
337,10900.0,1
338,10910.0,1
339,10920.0,1
340,10930.0,1
341,10940.0,1
342,10950.0,1
343,10960.0,1
344,10970.0,1
345,10980.0,1
346,10990.0,1
347,11000.0,1
348,11010.0,1
349,11020.0,1
350,11030.0,1
351,11040.0,1
352,11050.0,1
353,11060.0,1
354,11070.0,1
355,11080.0,1
356,11090.0,1
357,11100.0,1
358,11110.0,1
359,11120.0,1
360,11130.0,1
361,11140.0,1
362,11150.0,1
363,11160.0,1
364,11170.0,1
365,11180.0,1
366,11190.0,1
367,11200.0,1
368,11210.0,1
369,11220.0,1
370,11230.0,1
371,11240.0,1
372,11250.0,1
373,11260.0,1
374,11270.0,1
375,11280.0,1
376,11290.0,1
377,11300.0,1
378,11310.0,1
379,11320.0,1
380,11330.0,1
381,11340.0,1
382,11350.0,1
383,11360.0,1
384,11370.0,1
385,11380.0,1
386,11390.0,1
387,11400.0,1
388,11410.0,1
389,11420.0,1
390,11430.0,1
391,11440.0,1
392,11450.0,1
393,11460.0,1
394,11470.0,1
395,11480.0,1
396,11490.0,1
397,11500.0,1
398,11510.0,1
399,11520.0,1
400,11530.0,1
401,11540.0,1
402,11550.0,1
403,11560.0,1
404,11570.0,1
405,11580.0,1
406,11590.0,1
407,11600.0,1
408,11610.0,1
409,11620.0,1
410,11630.0,1
411,11640.0,1
412,11650.0,1
413,11660.0,1
414,11670.0,1
415,11680.0,1
416,11690.0,1
417,11700.0,1
418,11710.0,1
419,11720.0,1
420,11730.0,1
421,11740.0,1
422,11750.0,1
423,11760.0,1
424,11770.0,1
425,11780.0,1
426,11790.0,1
427,11800.0,1
428,11810.0,1
429,11820.0,1
430,11830.0,1
431,11840.0,1
432,11850.0,1
433,11860.0,1
434,11870.0,1
435,11880.0,1
436,11890.0,1
437,11900.0,1
438,11910.0,1
439,11920.0,1
440,11930.0,1
441,11940.0,1
442,11950.0,1
443,11960.0,1
444,11970.0,1
445,11980.0,1
446,11990.0,1
447,12000.0,1
448,12010.0,1
449,12020.0,1
450,12030.0,1
451,12040.0,1
452,12050.0,1
453,12060.0,1
454,12070.0,1
455,12080.0,1
456,12090.0,1
457,12100.0,1
458,12110.0,1
459,12120.0,1
460,12130.0,1
461,12140.0,1
462,12150.0,1
463,12160.0,1
464,12170.0,1
465,12180.0,1
466,12190.0,1
467,12200.0,1
468,12210.0,1
469,12220.0,1
470,12230.0,1
471,12240.0,1
472,12250.0,1
473,12260.0,1
474,12270.0,1
475,12280.0,1
476,12290.0,1
477,12300.0,1
478,12310.0,1
479,12320.0,1
480,12330.0,1
481,12340.0,1
482,12350.0,1
483,12360.0,1
484,12370.0,1
485,12380.0,1
486,12390.0,1
487,12400.0,1
488,12410.0,1
489,12420.0,1
490,12430.0,1
491,12440.0,1
492,12450.0,1
493,12460.0,1
494,12470.0,1
495,12480.0,1
496,12490.0,1
497,12500.0,1
498,12510.0,1
499,12520.0,1
500,12530.0,1
501,12540.0,1
502,12550.0,1
503,12560.0,1
504,12570.0,1
505,12580.0,1
506,12590.0,1
507,12600.0,1
508,12610.0,1
509,12620.0,1
510,12630.0,1
511,12640.0,1
512,12650.0,1
513,12660.0,1
514,12670.0,1
515,12680.0,1
516,12690.0,1
517,12700.0,1
518,12710.0,1
519,12720.0,1
520,12730.0,1
521,12740.0,1
522,12750.0,1
523,12760.0,1
524,12770.0,1
525,12780.0,1
526,12790.0,1
527,12800.0,1
528,12810.0,1
529,12820.0,1
530,12830.0,1
531,12840.0,1
532,12850.0,1
533,12860.0,1
534,12870.0,1
535,12880.0,1
536,12890.0,1
537,12900.0,1
538,12910.0,1
539,12920.0,1
540,12930.0,1
541,12940.0,1
542,12950.0,1
543,12960.0,1
544,12970.0,1
545,12980.0,1
546,12990.0,1
547,13000.0,1
548,13010.0,1
549,13020.0,1
550,13030.0,1
551,13040.0,1
552,13050.0,1
553,13060.0,1
554,13070.0,1
555,13080.0,1
556,13090.0,1
557,13100.0,1
558,13110.0,1
559,13120.0,1
560,13130.0,1
561,13140.0,1
562,13150.0,1
563,13160.0,1
564,13170.0,1
565,13180.0,1
566,13190.0,1
567,13200.0,1
568,13210.0,1
569,13220.0,1
570,13230.0,1
571,13240.0,1
572,13250.0,1
573,13260.0,1
574,13270.0,1
575,13280.0,1
576,13290.0,1
577,13300.0,1
578,13310.0,1
579,13320.0,1
580,13330.0,1
581,13340.0,1
582,13350.0,1
583,13360.0,1
584,13370.0,1
585,13380.0,1
586,13390.0,1
587,13400.0,1
588,13410.0,1
589,13420.0,1
590,13430.0,1
591,13440.0,1
592,13450.0,1
593,13460.0,1
594,13470.0,1
595,13480.0,1
596,13490.0,1
597,13500.0,1
598,13510.0,1
599,13520.0,1
600,13530.0,1
601,13540.0,1
602,13550.0,1
603,13560.0,1
604,13570.0,1
605,13580.0,1
606,13590.0,1
607,13600.0,1
608,13610.0,1
609,13620.0,1
610,13630.0,1
611,13640.0,1
612,13650.0,1
613,13660.0,1
614,13670.0,1
615,13680.0,1
616,13690.0,1
617,13700.0,1
618,13710.0,1
619,13720.0,1
620,13730.0,1
621,13740.0,1
622,13750.0,1
623,13760.0,1
624,13770.0,1
625,13780.0,1
626,13790.0,1
627,13800.0,1
628,13810.0,1
629,13820.0,1
630,13830.0,1
631,13840.0,1
632,13850.0,1
633,13860.0,1
634,13870.0,1
635,13880.0,1
636,13890.0,1
637,13900.0,1
638,13910.0,1
639,13920.0,1
640,13930.0,1
641,13940.0,1
642,13950.0,1
643,13960.0,1
644,13970.0,1
645,13980.0,1
646,13990.0,1
647,14000.0,1
648,14010.0,1
649,14020.0,1
650,14030.0,1
651,14040.0,1
652,14050.0,1
653,14060.0,1
654,14070.0,1
655,14080.0,1
656,14090.0,1
657,14100.0,1
658,14110.0,1
659,14120.0,1
660,14130.0,1
661,14140.0,1
662,14150.0,1
663,14160.0,1
664,14170.0,1
665,14180.0,1
666,14190.0,1
667,14200.0,1
668,14210.0,1
669,14220.0,1
670,14230.0,1
671,14240.0,1
672,14250.0,1
673,14260.0,1
674,14270.0,1
675,14280.0,1
676,14290.0,1
677,14300.0,1
678,14310.0,1
679,14320.0,1
680,14330.0,1
681,14340.0,1
682,14350.0,1
683,14360.0,1
684,14370.0,1
685,14380.0,1
686,14390.0,1
