,Placement Depth (m),Attenuation
0,0.0,1
1,4660.0,1
2,5410.0,1
3,5870.0,1
4,6200.0,1
5,6470.0,1
6,6700.0,1
7,6900.0,1
8,7060.0,1
9,7200.0,1
10,7330.0,1
11,7450.0,1
12,7570.0,1
13,7680.0,1
14,7780.0,1
15,7880.0,1
16,7970.0,1
17,8060.0,1
18,8150.0,1
19,8230.0,1
20,8310.0,1
21,8390.0,1
22,8470.0,1
23,8540.0,1
24,8610.0,1
25,8680.0,1
26,8750.0,1
27,8820.0,1
28,8880.0,1
29,8940.0,1
30,9000.0,1
31,9060.0,1
32,9120.0,1
33,9180.0,1
34,9240.0,1
35,9300.0,1
36,9350.0,1
37,9400.0,1
38,9450.0,1
39,9500.0,1
40,9550.0,1
41,9600.0,1
42,9650.0,1
43,9700.0,1
44,9750.0,1
45,9800.0,1
46,9850.0,1
47,9900.0,1
48,9950.0,1
49,9990.0,1
50,10030.0,1
51,10070.0,1
52,10110.0,1
53,10150.0,1
54,10190.0,1
55,10230.0,1
56,10270.0,1
57,10310.0,1
58,10350.0,1
59,10390.0,1
60,10430.0,1
61,10470.0,1
62,10510.0,1
63,10550.0,1
64,10590.0,1
65,10630.0,1
66,10670.0,1
67,10710.0,1
68,10750.0,1
69,10790.0,1
70,10830.0,1
71,10870.0,1
72,10910.0,1
73,10940.0,1
74,10970.0,1
75,11000.0,1
76,11030.0,1
77,11060.0,1
78,11090.0,1
79,11120.0,1
80,11150.0,1
81,11180.0,1
82,11210.0,1
83,11240.0,1
84,11270.0,1
85,11300.0,1
86,11330.0,1
87,11360.0,1
88,11390.0,1
89,11420.0,1
90,11450.0,1
91,11480.0,1
92,11510.0,1
93,11540.0,1
94,11570.0,1
95,11600.0,1
96,11630.0,1
97,11660.0,1
98,11690.0,1
99,11720.0,1
100,11750.0,1
101,11780.0,1
102,11810.0,1
103,11840.0,1
104,11870.0,1
105,11900.0,1
106,11930.0,1
107,11960.0,1
108,11990.0,1
109,12020.0,1
110,12050.0,1
111,12080.0,1
112,12110.0,1
113,12140.0,1
114,12170.0,1
115,12200.0,1
116,12230.0,1
117,12260.0,1
118,12290.0,1
119,12320.0,1
120,12350.0,1
121,12380.0,1
122,12410.0,1
123,12440.0,1
124,12470.0,1
125,12490.0,1
126,12510.0,1
127,12530.0,1
128,12550.0,1
129,12570.0,1
130,12590.0,1
131,12610.0,1
132,12630.0,1
133,12650.0,1
134,12670.0,1
135,12690.0,1
136,12710.0,1
137,12730.0,1
138,12750.0,1
139,12770.0,1
140,12790.0,1
141,12810.0,1
142,12830.0,1
143,12850.0,1
144,12870.0,1
145,12890.0,1
146,12910.0,1
147,12930.0,1
148,12950.0,1
149,12970.0,1
150,12990.0,1
151,13010.0,1
152,13030.0,1
153,13050.0,1
154,13070.0,1
155,13090.0,1
156,13110.0,1
157,13130.0,1
158,13150.0,1
159,13170.0,1
160,13190.0,1
161,13210.0,1
162,13230.0,1
163,13250.0,1
164,13270.0,1
165,13290.0,1
166,13310.0,1
167,13330.0,1
168,13350.0,1
169,13370.0,1
170,13390.0,1
171,13410.0,1
172,13430.0,1
173,13450.0,1
174,13470.0,1
175,13490.0,1
176,13510.0,1
177,13530.0,1
178,13550.0,1
179,13570.0,1
180,13590.0,1
181,13610.0,1
182,13630.0,1
183,13650.0,1
184,13670.0,1
185,13690.0,1
186,13710.0,1
187,13730.0,1
188,13750.0,1
189,13770.0,1
190,13790.0,1
191,13810.0,1
192,13830.0,1
193,13850.0,1
194,13870.0,1
195,13890.0,1
196,13910.0,1
197,13930.0,1
198,13950.0,1
199,13970.0,1
200,13990.0,1
201,14010.0,1
202,14030.0,1
