,Placement Depth (m),Attenuation
0,0.0,1
1,3420.0,1
2,3940.0,1
3,4260.0,1
4,4490.0,1
5,4640.0,1
6,4770.0,1
7,4890.0,1
8,5000.0,1
9,5100.0,1
10,5190.0,1
11,5280.0,1
12,5360.0,1
13,5440.0,1
14,5510.0,1
15,5580.0,1
16,5650.0,1
17,5710.0,1
18,5770.0,1
19,5830.0,1
20,5890.0,1
21,5950.0,1
22,6000.0,1
23,6050.0,1
24,6100.0,1
25,6150.0,1
26,6200.0,1
27,6250.0,1
28,6300.0,1
29,6350.0,1
30,6400.0,1
31,6440.0,1
32,6480.0,1
33,6520.0,1
34,6560.0,1
35,6600.0,1
36,6640.0,1
37,6680.0,1
38,6720.0,1
39,6760.0,1
40,6800.0,1
41,6840.0,1
42,6880.0,1
43,6920.0,1
44,6960.0,1
45,7000.0,1
46,7030.0,1
47,7060.0,1
48,7090.0,1
49,7120.0,1
50,7150.0,1
51,7180.0,1
52,7210.0,1
53,7240.0,1
54,7270.0,1
55,7300.0,1
56,7330.0,1
57,7360.0,1
58,7390.0,1
59,7420.0,1
60,7450.0,1
61,7480.0,1
62,7510.0,1
63,7540.0,1
64,7570.0,1
65,7600.0,1
66,7630.0,1
67,7660.0,1
68,7690.0,1
69,7720.0,1
70,7750.0,1
71,7780.0,1
72,7810.0,1
73,7840.0,1
74,7870.0,1
75,7900.0,1
76,7930.0,1
77,7960.0,1
78,7990.0,1
79,8010.0,1
80,8030.0,1
81,8050.0,1
82,8070.0,1
83,8090.0,1
84,8110.0,1
85,8130.0,1
86,8150.0,1
87,8170.0,1
88,8190.0,1
89,8210.0,1
90,8230.0,1
91,8250.0,1
92,8270.0,1
93,8290.0,1
94,8310.0,1
95,8330.0,1
96,8350.0,1
97,8370.0,1
98,8390.0,1
99,8410.0,1
100,8430.0,1
101,8450.0,1
102,8470.0,1
103,8490.0,1
104,8510.0,1
105,8530.0,1
106,8550.0,1
107,8570.0,1
108,8590.0,1
109,8610.0,1
110,8630.0,1
111,8650.0,1
