,Placement Depth (m),Attenuation
0,0.0,1
1,7890.0,1
2,8960.0,1
3,9620.0,1
4,10110.0,1
5,10500.0,1
6,10820.0,1
7,11100.0,1
8,11350.0,1
9,11570.0,1
10,11770.0,1
11,11960.0,1
12,12130.0,1
13,12290.0,1
14,12440.0,1
15,12580.0,1
16,12720.0,1
17,12850.0,1
18,12970.0,1
19,13090.0,1
20,13200.0,1
21,13310.0,1
22,13420.0,1
23,13520.0,1
24,13620.0,1
25,13720.0,1
26,13810.0,1
27,13900.0,1
28,13990.0,1
29,14080.0,1
30,14160.0,1
31,14240.0,1
32,14320.0,1
33,14400.0,1
34,14480.0,1
35,14550.0,1
36,14620.0,1
37,14690.0,1
38,14760.0,1
39,14830.0,1
40,14900.0,1
41,14970.0,1
42,15040.0,1
43,15100.0,1
44,15160.0,1
45,15220.0,1
46,15280.0,1
47,15340.0,1
48,15400.0,1
49,15460.0,1
50,15520.0,1
51,15580.0,1
52,15640.0,1
53,15700.0,1
54,15760.0,1
55,15810.0,1
56,15860.0,1
57,15910.0,1
58,15960.0,1
59,16010.0,1
60,16060.0,1
61,16110.0,1
62,16160.0,1
63,16210.0,1
64,16240.0,1
65,16270.0,1
66,16300.0,1
67,16330.0,1
68,16360.0,1
69,16390.0,1
70,16420.0,1
71,16450.0,1
72,16480.0,1
73,16510.0,1
74,16540.0,1
75,16570.0,1
76,16600.0,1
77,16630.0,1
78,16660.0,1
79,16690.0,1
80,16720.0,1
81,16750.0,1
82,16780.0,1
83,16810.0,1
84,16840.0,1
85,16870.0,1
86,16900.0,1
87,16930.0,1
88,16960.0,1
89,16990.0,1
90,17020.0,1
91,17050.0,1
92,17080.0,1
93,17110.0,1
94,17140.0,1
95,17170.0,1
96,17200.0,1
97,17230.0,1
98,17260.0,1
99,17290.0,1
100,17320.0,1
101,17350.0,1
102,17380.0,1
103,17410.0,1
104,17440.0,1
105,17470.0,1
106,17500.0,1
107,17530.0,1
108,17560.0,1
109,17590.0,1
110,17620.0,1
111,17650.0,1
112,17680.0,1
113,17710.0,1
114,17740.0,1
115,17770.0,1
116,17800.0,1
117,17830.0,1
118,17860.0,1
119,17890.0,1
120,17920.0,1
121,17950.0,1
122,17980.0,1
123,18010.0,1
124,18040.0,1
125,18070.0,1
126,18100.0,1
127,18130.0,1
128,18160.0,1
129,18190.0,1
130,18220.0,1
131,18250.0,1
132,18280.0,1
133,18310.0,1
134,18340.0,1
135,18370.0,1
136,18400.0,1
137,18430.0,1
138,18460.0,1
139,18490.0,1
140,18520.0,1
141,18550.0,1
142,18580.0,1
143,18610.0,1
144,18640.0,1
145,18670.0,1
146,18700.0,1
147,18730.0,1
148,18760.0,1
149,18790.0,1
150,18820.0,1
151,18850.0,1
152,18880.0,1
153,18910.0,1
154,18940.0,1
155,18970.0,1
156,19000.0,1
157,19030.0,1
158,19060.0,1
159,19090.0,1
160,19120.0,1
161,19150.0,1
162,19180.0,1
163,19210.0,1
164,19240.0,1
165,19270.0,1
166,19300.0,1
167,19330.0,1
168,19360.0,1
169,19390.0,1
170,19420.0,1
171,19450.0,1
172,19480.0,1
173,19510.0,1
174,19540.0,1
175,19570.0,1
176,19600.0,1
177,19630.0,1
178,19660.0,1
179,19690.0,1
180,19720.0,1
181,19750.0,1
