,Placement Depth (m),Attenuation
0,0.0,1
1,5450.0,1
2,6190.0,1
3,6640.0,1
4,6970.0,1
5,7240.0,1
6,7460.0,1
7,7660.0,1
8,7830.0,1
9,7990.0,1
10,8130.0,1
11,8260.0,1
12,8380.0,1
13,8490.0,1
14,8600.0,1
15,8700.0,1
16,8800.0,1
17,8890.0,1
18,8980.0,1
19,9060.0,1
20,9140.0,1
21,9220.0,1
22,9300.0,1
23,9370.0,1
24,9440.0,1
25,9510.0,1
26,9580.0,1
27,9650.0,1
28,9710.0,1
29,9770.0,1
30,9830.0,1
31,9890.0,1
32,9950.0,1
33,10010.0,1
34,10070.0,1
35,10130.0,1
36,10180.0,1
37,10230.0,1
38,10280.0,1
39,10330.0,1
40,10380.0,1
41,10420.0,1
42,10450.0,1
43,10480.0,1
44,10510.0,1
45,10540.0,1
46,10570.0,1
47,10600.0,1
48,10630.0,1
49,10660.0,1
50,10690.0,1
51,10720.0,1
52,10750.0,1
53,10780.0,1
54,10810.0,1
55,10840.0,1
56,10870.0,1
57,10900.0,1
58,10930.0,1
59,10960.0,1
60,10990.0,1
61,11020.0,1
62,11050.0,1
63,11080.0,1
64,11110.0,1
65,11140.0,1
66,11170.0,1
67,11200.0,1
68,11230.0,1
69,11260.0,1
70,11290.0,1
71,11320.0,1
72,11350.0,1
73,11380.0,1
74,11410.0,1
75,11440.0,1
76,11470.0,1
77,11500.0,1
78,11530.0,1
79,11560.0,1
80,11590.0,1
81,11620.0,1
82,11650.0,1
83,11680.0,1
84,11710.0,1
85,11740.0,1
86,11770.0,1
87,11800.0,1
88,11830.0,1
89,11860.0,1
90,11890.0,1
91,11920.0,1
92,11950.0,1
93,11980.0,1
94,12010.0,1
95,12040.0,1
96,12070.0,1
97,12100.0,1
98,12130.0,1
99,12160.0,1
100,12190.0,1
101,12220.0,1
102,12250.0,1
103,12280.0,1
104,12310.0,1
105,12340.0,1
106,12370.0,1
107,12400.0,1
108,12430.0,1
109,12460.0,1
110,12490.0,1
111,12520.0,1
112,12550.0,1
113,12580.0,1
114,12610.0,1
115,12640.0,1
116,12670.0,1
117,12700.0,1
118,12730.0,1
119,12760.0,1
120,12790.0,1
121,12820.0,1
122,12850.0,1
123,12880.0,1
124,12910.0,1
125,12940.0,1
126,12970.0,1
127,13000.0,1
128,13030.0,1
129,13060.0,1
130,13090.0,1
131,13120.0,1
132,13150.0,1
133,13180.0,1
134,13210.0,1
135,13240.0,1
136,13270.0,1
137,13300.0,1
138,13330.0,1
139,13360.0,1
140,13390.0,1
141,13420.0,1
142,13450.0,1
143,13480.0,1
144,13510.0,1
145,13540.0,1
146,13570.0,1
147,13600.0,1
148,13630.0,1
149,13660.0,1
150,13690.0,1
151,13720.0,1
152,13750.0,1
153,13780.0,1
154,13810.0,1
155,13840.0,1
156,13870.0,1
157,13900.0,1
158,13930.0,1
159,13960.0,1
160,13990.0,1
161,14020.0,1
162,14050.0,1
163,14080.0,1
164,14110.0,1
165,14140.0,1
166,14170.0,1
167,14200.0,1
168,14230.0,1
169,14260.0,1
170,14290.0,1
171,14320.0,1
172,14350.0,1
173,14380.0,1
174,14410.0,1
175,14440.0,1
176,14470.0,1
177,14500.0,1
178,14530.0,1
179,14560.0,1
180,14590.0,1
181,14620.0,1
182,14650.0,1
183,14680.0,1
184,14710.0,1
185,14740.0,1
186,14770.0,1
187,14800.0,1
188,14830.0,1
189,14860.0,1
190,14890.0,1
191,14920.0,1
192,14950.0,1
193,14980.0,1
194,15010.0,1
195,15040.0,1
196,15070.0,1
197,15100.0,1
198,15130.0,1
199,15160.0,1
200,15190.0,1
201,15220.0,1
202,15250.0,1
203,15280.0,1
204,15310.0,1
205,15340.0,1
206,15370.0,1
207,15400.0,1
208,15430.0,1
209,15460.0,1
210,15490.0,1
211,15520.0,1
212,15550.0,1
213,15580.0,1
214,15610.0,1
215,15640.0,1
216,15670.0,1
217,15700.0,1
218,15730.0,1
219,15760.0,1
220,15790.0,1
221,15820.0,1
222,15850.0,1
223,15880.0,1
224,15910.0,1
225,15940.0,1
226,15970.0,1
227,16000.0,1
228,16030.0,1
229,16060.0,1
230,16090.0,1
231,16120.0,1
232,16150.0,1
233,16180.0,1
234,16200.0,1
