,Placement Depth (m),Attenuation
0,0.0,1
1,4870.0,1
2,5640.0,1
3,6110.0,1
4,6450.0,1
5,6730.0,1
6,6960.0,1
7,7110.0,1
8,7250.0,1
9,7380.0,1
10,7500.0,1
11,7610.0,1
12,7720.0,1
13,7820.0,1
14,7920.0,1
15,8010.0,1
16,8100.0,1
17,8190.0,1
18,8270.0,1
19,8350.0,1
20,8430.0,1
21,8500.0,1
22,8570.0,1
23,8640.0,1
24,8710.0,1
25,8780.0,1
26,8850.0,1
27,8910.0,1
28,8970.0,1
29,9030.0,1
30,9090.0,1
31,9150.0,1
32,9210.0,1
33,9270.0,1
34,9320.0,1
35,9370.0,1
36,9420.0,1
37,9470.0,1
38,9520.0,1
39,9570.0,1
40,9620.0,1
41,9670.0,1
42,9720.0,1
43,9770.0,1
44,9820.0,1
45,9870.0,1
46,9920.0,1
47,9970.0,1
48,10010.0,1
49,10050.0,1
50,10090.0,1
51,10130.0,1
52,10170.0,1
53,10210.0,1
54,10250.0,1
55,10290.0,1
56,10330.0,1
57,10370.0,1
58,10410.0,1
59,10450.0,1
60,10490.0,1
61,10530.0,1
62,10570.0,1
63,10610.0,1
64,10650.0,1
65,10690.0,1
66,10730.0,1
67,10770.0,1
68,10810.0,1
69,10850.0,1
70,10890.0,1
71,10920.0,1
72,10950.0,1
73,10980.0,1
74,11010.0,1
75,11040.0,1
76,11070.0,1
77,11100.0,1
78,11130.0,1
79,11160.0,1
80,11190.0,1
81,11220.0,1
82,11250.0,1
83,11280.0,1
84,11310.0,1
85,11340.0,1
86,11370.0,1
87,11400.0,1
88,11430.0,1
89,11460.0,1
90,11490.0,1
91,11520.0,1
92,11550.0,1
93,11580.0,1
94,11610.0,1
95,11640.0,1
96,11670.0,1
97,11700.0,1
98,11730.0,1
99,11760.0,1
100,11790.0,1
101,11820.0,1
102,11850.0,1
103,11880.0,1
104,11910.0,1
105,11940.0,1
106,11970.0,1
107,12000.0,1
108,12030.0,1
109,12060.0,1
110,12090.0,1
111,12120.0,1
112,12150.0,1
113,12180.0,1
114,12210.0,1
115,12240.0,1
116,12270.0,1
117,12300.0,1
118,12330.0,1
119,12360.0,1
120,12390.0,1
121,12420.0,1
122,12450.0,1
123,12480.0,1
124,12500.0,1
125,12520.0,1
126,12540.0,1
127,12560.0,1
128,12580.0,1
129,12600.0,1
130,12620.0,1
131,12640.0,1
132,12660.0,1
133,12680.0,1
134,12700.0,1
135,12720.0,1
136,12740.0,1
137,12760.0,1
138,12780.0,1
139,12800.0,1
140,12820.0,1
141,12840.0,1
142,12860.0,1
143,12880.0,1
144,12900.0,1
145,12920.0,1
146,12940.0,1
147,12960.0,1
148,12980.0,1
149,13000.0,1
150,13020.0,1
151,13040.0,1
152,13060.0,1
153,13080.0,1
154,13100.0,1
155,13120.0,1
156,13140.0,1
157,13160.0,1
158,13180.0,1
159,13200.0,1
160,13220.0,1
161,13240.0,1
162,13260.0,1
163,13280.0,1
164,13300.0,1
165,13320.0,1
166,13340.0,1
167,13360.0,1
168,13380.0,1
169,13400.0,1
170,13420.0,1
171,13440.0,1
172,13460.0,1
173,13480.0,1
174,13500.0,1
175,13520.0,1
176,13540.0,1
177,13560.0,1
178,13580.0,1
179,13600.0,1
180,13620.0,1
181,13640.0,1
182,13660.0,1
183,13680.0,1
184,13700.0,1
185,13720.0,1
186,13740.0,1
187,13760.0,1
188,13780.0,1
189,13800.0,1
190,13820.0,1
191,13840.0,1
192,13860.0,1
193,13880.0,1
194,13900.0,1
195,13920.0,1
196,13940.0,1
197,13960.0,1
198,13980.0,1
199,14000.0,1
200,14020.0,1
201,14040.0,1
202,14060.0,1
203,14080.0,1
204,14100.0,1
205,14120.0,1
206,14140.0,1
207,14160.0,1
208,14180.0,1
209,14200.0,1
210,14220.0,1
211,14240.0,1
212,14260.0,1
213,14280.0,1
214,14300.0,1
215,14320.0,1
216,14340.0,1
217,14360.0,1
218,14380.0,1
219,14400.0,1
220,14420.0,1
221,14440.0,1
222,14460.0,1
223,14480.0,1
224,14500.0,1
225,14520.0,1
226,14540.0,1
227,14560.0,1
228,14580.0,1
229,14600.0,1
230,14620.0,1
231,14640.0,1
232,14660.0,1
233,14680.0,1
234,14700.0,1
235,14720.0,1
236,14740.0,1
237,14760.0,1
238,14780.0,1
239,14800.0,1
240,14820.0,1
241,14840.0,1
242,14860.0,1
243,14880.0,1
244,14900.0,1
245,14920.0,1
246,14940.0,1
247,14960.0,1
248,14980.0,1
249,15000.0,1
250,15020.0,1
251,15040.0,1
252,15060.0,1
253,15080.0,1
254,15100.0,1
255,15120.0,1
256,15140.0,1
257,15160.0,1
258,15180.0,1
259,15200.0,1
260,15220.0,1
261,15240.0,1
262,15260.0,1
263,15280.0,1
264,15300.0,1
265,15320.0,1
266,15340.0,1
267,15360.0,1
268,15380.0,1
269,15400.0,1
270,15420.0,1
271,15440.0,1
272,15460.0,1
273,15480.0,1
274,15500.0,1
275,15520.0,1
276,15540.0,1
277,15560.0,1
278,15580.0,1
279,15600.0,1
280,15620.0,1
281,15640.0,1
282,15660.0,1
283,15680.0,1
284,15700.0,1
285,15720.0,1
286,15740.0,1
287,15760.0,1
288,15780.0,1
289,15800.0,1
290,15810.0,1
291,15820.0,1
292,15830.0,1
293,15840.0,1
294,15850.0,1
295,15860.0,1
296,15870.0,1
297,15880.0,1
298,15890.0,1
299,15900.0,1
300,15910.0,1
301,15920.0,1
302,15930.0,1
303,15940.0,1
304,15950.0,1
305,15960.0,1
306,15970.0,1
307,15980.0,1
308,15990.0,1
309,16000.0,1
310,16010.0,1
311,16020.0,1
312,16030.0,1
313,16040.0,1
314,16050.0,1
315,16060.0,1
316,16070.0,1
317,16080.0,1
318,16090.0,1
319,16100.0,1
320,16110.0,1
321,16120.0,1
322,16130.0,1
323,16140.0,1
324,16150.0,1
325,16160.0,1
326,16170.0,1
327,16180.0,1
328,16190.0,1
329,16200.0,1
330,16210.0,1
331,16220.0,1
332,16230.0,1
333,16240.0,1
334,16250.0,1
335,16260.0,1
336,16270.0,1
337,16280.0,1
338,16290.0,1
339,16300.0,1
340,16310.0,1
341,16320.0,1
342,16330.0,1
343,16340.0,1
344,16350.0,1
345,16360.0,1
346,16370.0,1
347,16380.0,1
348,16390.0,1
349,16400.0,1
350,16410.0,1
351,16420.0,1
352,16430.0,1
353,16440.0,1
354,16450.0,1
355,16460.0,1
356,16470.0,1
357,16480.0,1
358,16490.0,1
359,16500.0,1
360,16510.0,1
361,16520.0,1
362,16530.0,1
363,16540.0,1
364,16550.0,1
365,16560.0,1
366,16570.0,1
367,16580.0,1
368,16590.0,1
369,16600.0,1
370,16610.0,1
371,16620.0,1
372,16630.0,1
373,16640.0,1
374,16650.0,1
375,16660.0,1
376,16670.0,1
377,16680.0,1
378,16690.0,1
379,16700.0,1
380,16710.0,1
381,16720.0,1
382,16730.0,1
383,16740.0,1
384,16750.0,1
385,16760.0,1
386,16770.0,1
387,16780.0,1
388,16790.0,1
389,16800.0,1
390,16810.0,1
391,16820.0,1
392,16830.0,1
393,16840.0,1
394,16850.0,1
395,16860.0,1
396,16870.0,1
397,16880.0,1
398,16890.0,1
399,16900.0,1
400,16910.0,1
401,16920.0,1
402,16930.0,1
403,16940.0,1
404,16950.0,1
405,16960.0,1
406,16970.0,1
407,16980.0,1
408,16990.0,1
409,17000.0,1
410,17010.0,1
411,17020.0,1
412,17030.0,1
413,17040.0,1
414,17050.0,1
415,17060.0,1
416,17070.0,1
417,17080.0,1
418,17090.0,1
419,17100.0,1
420,17110.0,1
421,17120.0,1
422,17130.0,1
423,17140.0,1
424,17150.0,1
425,17160.0,1
426,17170.0,1
427,17180.0,1
428,17190.0,1
429,17200.0,1
430,17210.0,1
431,17220.0,1
432,17230.0,1
433,17240.0,1
434,17250.0,1
435,17260.0,1
436,17270.0,1
437,17280.0,1
438,17290.0,1
439,17300.0,1
440,17310.0,1
441,17320.0,1
442,17330.0,1
443,17340.0,1
444,17350.0,1
445,17360.0,1
446,17370.0,1
447,17380.0,1
448,17390.0,1
449,17400.0,1
450,17410.0,1
451,17420.0,1
452,17430.0,1
453,17440.0,1
454,17450.0,1
455,17460.0,1
456,17470.0,1
457,17480.0,1
458,17490.0,1
459,17500.0,1
460,17510.0,1
461,17520.0,1
462,17530.0,1
463,17540.0,1
464,17550.0,1
465,17560.0,1
466,17570.0,1
467,17580.0,1
468,17590.0,1
469,17600.0,1
470,17610.0,1
471,17620.0,1
472,17630.0,1
473,17640.0,1
474,17650.0,1
475,17660.0,1
476,17670.0,1
477,17680.0,1
478,17690.0,1
479,17700.0,1
480,17710.0,1
481,17720.0,1
482,17730.0,1
483,17740.0,1
484,17750.0,1
485,17760.0,1
486,17770.0,1
487,17780.0,1
488,17790.0,1
489,17800.0,1
490,17810.0,1
491,17820.0,1
492,17830.0,1
493,17840.0,1
494,17850.0,1
495,17860.0,1
496,17870.0,1
497,17880.0,1
498,17890.0,1
499,17900.0,1
500,17910.0,1
501,17920.0,1
502,17930.0,1
503,17940.0,1
504,17950.0,1
505,17960.0,1
506,17970.0,1
507,17980.0,1
508,17990.0,1
509,18000.0,1
510,18010.0,1
511,18020.0,1
512,18030.0,1
513,18040.0,1
514,18050.0,1
515,18060.0,1
516,18070.0,1
517,18080.0,1
518,18090.0,1
519,18100.0,1
520,18110.0,1
521,18120.0,1
522,18130.0,1
523,18140.0,1
524,18150.0,1
525,18160.0,1
526,18170.0,1
527,18180.0,1
528,18190.0,1
529,18200.0,1
530,18210.0,1
531,18220.0,1
532,18230.0,1
533,18240.0,1
534,18250.0,1
535,18260.0,1
536,18270.0,1
537,18280.0,1
538,18290.0,1
539,18300.0,1
540,18310.0,1
541,18320.0,1
542,18330.0,1
543,18340.0,1
544,18350.0,1
545,18360.0,1
546,18370.0,1
547,18380.0,1
548,18390.0,1
549,18400.0,1
550,18410.0,1
551,18420.0,1
552,18430.0,1
553,18440.0,1
554,18450.0,1
555,18460.0,1
556,18470.0,1
557,18480.0,1
558,18490.0,1
559,18500.0,1
560,18510.0,1
561,18520.0,1
562,18530.0,1
563,18540.0,1
564,18550.0,1
565,18560.0,1
566,18570.0,1
567,18580.0,1
568,18590.0,1
569,18600.0,1
570,18610.0,1
571,18620.0,1
572,18630.0,1
573,18640.0,1
574,18650.0,1
575,18660.0,1
576,18670.0,1
577,18680.0,1
578,18690.0,1
579,18700.0,1
580,18710.0,1
581,18720.0,1
582,18730.0,1
583,18740.0,1
584,18750.0,1
585,18760.0,1
586,18770.0,1
587,18780.0,1
588,18790.0,1
589,18800.0,1
590,18810.0,1
591,18820.0,1
592,18830.0,1
593,18840.0,1
594,18850.0,1
595,18860.0,1
596,18870.0,1
597,18880.0,1
598,18890.0,1
599,18900.0,1
600,18910.0,1
601,18920.0,1
602,18930.0,1
603,18940.0,1
604,18950.0,1
605,18960.0,1
606,18970.0,1
607,18980.0,1
608,18990.0,1
609,19000.0,1
610,19010.0,1
611,19020.0,1
612,19030.0,1
613,19040.0,1
614,19050.0,1
615,19060.0,1
616,19070.0,1
617,19080.0,1
618,19090.0,1
619,19100.0,1
620,19110.0,1
621,19120.0,1
622,19130.0,1
623,19140.0,1
624,19150.0,1
625,19160.0,1
626,19170.0,1
627,19180.0,1
628,19190.0,1
629,19200.0,1
630,19210.0,1
631,19220.0,1
632,19230.0,1
633,19240.0,1
634,19250.0,1
635,19260.0,1
636,19270.0,1
637,19280.0,1
638,19290.0,1
639,19300.0,1
640,19310.0,1
641,19320.0,1
642,19330.0,1
643,19340.0,1
644,19350.0,1
645,19360.0,1
646,19370.0,1
647,19380.0,1
648,19390.0,1
649,19400.0,1
650,19410.0,1
651,19420.0,1
652,19430.0,1
653,19440.0,1
654,19450.0,1
655,19460.0,1
656,19470.0,1
657,19480.0,1
658,19490.0,1
659,19500.0,1
660,19510.0,1
661,19520.0,1
662,19530.0,1
663,19540.0,1
664,19550.0,1
665,19560.0,1
666,19570.0,1
667,19580.0,1
668,19590.0,1
669,19600.0,1
670,19610.0,1
671,19620.0,1
672,19630.0,1
673,19640.0,1
674,19650.0,1
675,19660.0,1
676,19670.0,1
677,19680.0,1
678,19690.0,1
679,19700.0,1
680,19710.0,1
681,19720.0,1
682,19730.0,1
683,19740.0,1
684,19750.0,1
685,19760.0,1
686,19770.0,1
687,19780.0,1
688,19790.0,1
689,19800.0,1
690,19810.0,1
691,19820.0,1
692,19830.0,1
693,19840.0,1
694,19850.0,1
695,19860.0,1
696,19870.0,1
697,19880.0,1
698,19890.0,1
699,19900.0,1
700,19910.0,1
701,19920.0,1
702,19930.0,1
703,19940.0,1
704,19950.0,1
705,19960.0,1
706,19970.0,1
707,19980.0,1
708,19990.0,1
709,20000.0,1
710,20010.0,1
711,20020.0,1
712,20030.0,1
713,20040.0,1
714,20050.0,1
715,20060.0,1
716,20070.0,1
717,20080.0,1
718,20090.0,1
719,20100.0,1
720,20110.0,1
721,20120.0,1
722,20130.0,1
723,20140.0,1
724,20150.0,1
725,20160.0,1
726,20170.0,1
727,20180.0,1
728,20190.0,1
729,20200.0,1
730,20210.0,1
731,20220.0,1
732,20230.0,1
733,20240.0,1
734,20250.0,1
735,20260.0,1
736,20270.0,1
737,20280.0,1
738,20290.0,1
739,20300.0,1
740,20310.0,1
741,20320.0,1
742,20330.0,1
743,20340.0,1
744,20350.0,1
745,20360.0,1
746,20370.0,1
747,20380.0,1
748,20390.0,1
749,20400.0,1
750,20410.0,1
751,20420.0,1
752,20430.0,1
753,20440.0,1
754,20450.0,1
755,20460.0,1
756,20470.0,1
757,20480.0,1
758,20490.0,1
759,20500.0,1
760,20510.0,1
761,20520.0,1
762,20530.0,1
763,20540.0,1
764,20550.0,1
765,20560.0,1
766,20570.0,1
767,20580.0,1
768,20590.0,1
769,20600.0,1
770,20610.0,1
771,20620.0,1
772,20630.0,1
773,20640.0,1
774,20650.0,1
775,20660.0,1
776,20670.0,1
777,20680.0,1
778,20690.0,1
779,20700.0,1
780,20710.0,1
781,20720.0,1
782,20730.0,1
783,20740.0,1
784,20750.0,1
785,20760.0,1
786,20770.0,1
787,20780.0,1
788,20790.0,1
789,20800.0,1
790,20810.0,1
791,20820.0,1
792,20830.0,1
793,20840.0,1
794,20850.0,1
795,20860.0,1
796,20870.0,1
797,20880.0,1
798,20890.0,1
799,20900.0,1
800,20910.0,1
801,20920.0,1
802,20930.0,1
803,20940.0,1
804,20950.0,1
805,20960.0,1
806,20970.0,1
807,20980.0,1
808,20990.0,1
809,21000.0,1
810,21010.0,1
811,21020.0,1
812,21030.0,1
813,21040.0,1
814,21050.0,1
815,21060.0,1
816,21070.0,1
817,21080.0,1
818,21090.0,1
819,21100.0,1
820,21110.0,1
821,21120.0,1
822,21130.0,1
823,21140.0,1
824,21150.0,1
825,21160.0,1
826,21170.0,1
827,21180.0,1
828,21190.0,1
829,21200.0,1
830,21210.0,1
831,21220.0,1
832,21230.0,1
833,21240.0,1
834,21250.0,1
835,21260.0,1
836,21270.0,1
837,21280.0,1
838,21290.0,1
839,21300.0,1
840,21310.0,1
841,21320.0,1
842,21330.0,1
