,Placement Depth (m),Attenuation
0,0.0,1
1,3200.0,1
2,3700.0,1
3,4010.0,1
4,4240.0,1
5,4420.0,1
6,4570.0,1
7,4700.0,1
8,4810.0,1
9,4910.0,1
10,5010.0,1
11,5100.0,1
12,5180.0,1
13,5260.0,1
14,5330.0,1
15,5400.0,1
16,5470.0,1
17,5540.0,1
18,5600.0,1
19,5660.0,1
20,5720.0,1
21,5780.0,1
22,5840.0,1
23,5890.0,1
24,5940.0,1
25,5990.0,1
26,6040.0,1
27,6090.0,1
28,6140.0,1
29,6190.0,1
30,6240.0,1
31,6280.0,1
32,6320.0,1
33,6360.0,1
34,6400.0,1
35,6440.0,1
36,6480.0,1
37,6520.0,1
38,6560.0,1
39,6600.0,1
40,6640.0,1
41,6680.0,1
42,6720.0,1
43,6760.0,1
44,6800.0,1
45,6830.0,1
46,6860.0,1
47,6890.0,1
48,6920.0,1
49,6950.0,1
50,6980.0,1
51,7010.0,1
52,7040.0,1
53,7070.0,1
54,7100.0,1
55,7130.0,1
56,7160.0,1
57,7190.0,1
58,7220.0,1
59,7250.0,1
60,7280.0,1
61,7310.0,1
62,7340.0,1
63,7370.0,1
64,7400.0,1
65,7430.0,1
66,7460.0,1
67,7490.0,1
68,7520.0,1
69,7550.0,1
70,7580.0,1
71,7610.0,1
72,7640.0,1
73,7670.0,1
74,7700.0,1
75,7730.0,1
76,7760.0,1
77,7790.0,1
78,7810.0,1
79,7830.0,1
80,7850.0,1
81,7870.0,1
82,7890.0,1
83,7910.0,1
84,7930.0,1
85,7950.0,1
86,7970.0,1
87,7990.0,1
88,8010.0,1
89,8030.0,1
90,8050.0,1
91,8070.0,1
92,8090.0,1
93,8110.0,1
94,8130.0,1
95,8150.0,1
96,8170.0,1
97,8190.0,1
98,8210.0,1
99,8230.0,1
100,8250.0,1
101,8270.0,1
102,8290.0,1
103,8310.0,1
104,8330.0,1
105,8350.0,1
106,8370.0,1
107,8390.0,1
108,8410.0,1
109,8430.0,1
110,8450.0,1
111,8470.0,1
112,8490.0,1
113,8510.0,1
114,8530.0,1
115,8550.0,1
116,8570.0,1
117,8590.0,1
118,8610.0,1
119,8630.0,1
120,8650.0,1
121,8670.0,1
122,8690.0,1
123,8710.0,1
124,8730.0,1
125,8750.0,1
126,8770.0,1
127,8790.0,1
128,8810.0,1
129,8830.0,1
130,8850.0,1
131,8870.0,1
132,8890.0,1
133,8910.0,1
134,8930.0,1
135,8950.0,1
136,8970.0,1
137,8990.0,1
138,9010.0,1
139,9030.0,1
140,9050.0,1
141,9070.0,1
142,9090.0,1
143,9110.0,1
144,9130.0,1
145,9150.0,1
146,9170.0,1
147,9190.0,1
148,9210.0,1
149,9230.0,1
150,9250.0,1
151,9270.0,1
152,9290.0,1
153,9310.0,1
154,9330.0,1
155,9350.0,1
156,9370.0,1
157,9390.0,1
158,9410.0,1
159,9430.0,1
160,9450.0,1
161,9470.0,1
162,9490.0,1
163,9510.0,1
164,9530.0,1
165,9550.0,1
166,9570.0,1
167,9590.0,1
168,9610.0,1
169,9630.0,1
170,9650.0,1
171,9670.0,1
172,9690.0,1
173,9710.0,1
174,9730.0,1
175,9750.0,1
176,9770.0,1
177,9790.0,1
178,9810.0,1
179,9830.0,1
180,9850.0,1
181,9870.0,1
182,9880.0,1
183,9890.0,1
184,9900.0,1
185,9910.0,1
186,9920.0,1
187,9930.0,1
188,9940.0,1
189,9950.0,1
190,9960.0,1
191,9970.0,1
192,9980.0,1
193,9990.0,1
