"d [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(DirLHCP) []","dB(DirRHCP) []"
1.727,0.413,-180,0,4.49403209587696,-30.4499645811062
1.727,0.413,-180,1,4.49313088773065,-30.5362852092741
1.727,0.413,-180,2,4.49102861063117,-30.6340341972986
1.727,0.413,-180,3,4.48773274110078,-30.7382487752552
1.727,0.413,-180,4,4.4832508735728,-30.8428577882851
1.727,0.413,-180,5,4.47759066949982,-30.9406059500231
1.727,0.413,-180,6,4.470759801692,-31.0230929125068
1.727,0.413,-180,7,4.46276589435116,-31.0809941816467
1.727,0.413,-180,8,4.4536164593333,-31.1045245392991
1.727,0.413,-180,9,4.44331882923417,-31.084166870396
1.727,0.413,-180,10,4.43188008794812,-31.0116134415246
1.727,0.413,-180,11,4.41930699939915,-30.8807676928976
1.727,0.413,-180,12,4.4056059351842,-30.6885762005369
1.727,0.413,-180,13,4.39078280190106,-30.4354581557422
1.727,0.413,-180,14,4.37484296895693,-30.1251995526001
1.727,0.413,-180,15,4.3577911976677,-29.7643450717344
1.727,0.413,-180,16,4.33963157246223,-29.3612696361839
1.727,0.413,-180,17,4.32036743500037,-28.9251732562754
1.727,0.413,-180,18,4.30000132199772,-28.465205874593
1.727,0.413,-180,19,4.2785349075246,-27.9898360917044
1.727,0.413,-180,20,4.25596895051151,-27.5064838455001
1.727,0.413,-180,21,4.23230324814917,-27.0213755072311
1.727,0.413,-180,22,4.20753659581791,-26.5395555708119
1.727,0.413,-180,23,4.18166675412052,-26.0649910898168
1.727,0.413,-180,24,4.15469042352412,-25.6007193034193
1.727,0.413,-180,25,4.12660322704259,-25.1490054931518
1.727,0.413,-180,26,4.09739970131097,-24.7114920657124
1.727,0.413,-180,27,4.06707329631964,-24.2893297479329
1.727,0.413,-180,28,4.03561638398907,-23.88328797459
1.727,0.413,-180,29,4.00302027567677,-23.4938450004453
1.727,0.413,-180,30,3.96927524861895,-23.1212599193518
1.727,0.413,-180,31,3.93437058121948,-22.7656293541383
1.727,0.413,-180,32,3.89829459701158,-22.4269315839997
1.727,0.413,-180,33,3.86103471703203,-22.1050606055591
1.727,0.413,-180,34,3.82257752026603,-21.7998522535732
1.727,0.413,-180,35,3.78290881174391,-21.5111041289525
1.727,0.413,-180,36,3.74201369779791,-21.238590738143
1.727,0.413,-180,37,3.69987666792195,-20.9820749547697
1.727,0.413,-180,38,3.65648168261642,-20.7413166736269
1.727,0.413,-180,39,3.61181226654708,-20.5160793340459
1.727,0.413,-180,40,3.56585160630107,-20.306134837442
1.727,0.413,-180,41,3.51858265198326,-20.1112672651804
1.727,0.413,-180,42,3.46998822186445,-19.9312757111965
1.727,0.413,-180,43,3.42005110926734,-19.7659764734037
1.727,0.413,-180,44,3.36875419085788,-19.615204794216
1.727,0.413,-180,45,3.31608053549694,-19.4788162998165
1.727,0.413,-180,46,3.26201351280106,-19.3566882572345
1.727,0.413,-180,47,3.20653690055984,-19.2487207456413
1.727,0.413,-180,48,3.14963499016096,-19.1548378218442
1.727,0.413,-180,49,3.09129268918195,-19.07498874849
1.727,0.413,-180,50,3.03149562031876,-19.0091493460651
1.727,0.413,-180,51,2.97023021583579,-18.9573235257396
1.727,0.413,-180,52,2.90748380673817,-18.9195450590383
1.727,0.413,-180,53,2.84324470588587,-18.8958796419902
1.727,0.413,-180,54,2.77750228428844,-18.8864273157633
1.727,0.413,-180,55,2.71024703983978,-18.8913253129426
1.727,0.413,-180,56,2.64147065777347,-18.9107514088638
1.727,0.413,-180,57,2.57116606214031,-18.9449278712503
1.727,0.413,-180,58,2.49932745763127,-18.9941261195811
1.727,0.413,-180,59,2.42595036109091,-19.0586722291815
1.727,0.413,-180,60,2.35103162208833,-19.1389534454382
1.727,0.413,-180,61,2.27456943193542,-19.2354259128084
1.727,0.413,-180,62,2.19656332056612,-19.3486238741799
1.727,0.413,-180,63,2.11701414071577,-19.4791706624653
1.727,0.413,-180,64,2.03592403886721,-19.6277918933936
1.727,0.413,-180,65,1.95329641246131,-19.7953313837668
1.727,0.413,-180,66,1.8691358529041,-19.9827704735735
1.727,0.413,-180,67,1.78344807394236,-20.19125163853
1.727,0.413,-180,68,1.69623982502532,-20.422107564011
1.727,0.413,-180,69,1.60751878932234,-20.6768972446595
1.727,0.413,-180,70,1.51729346612735,-20.9574512252674
1.727,0.413,-180,71,1.42557303745032,-21.2659288825348
1.727,0.413,-180,72,1.33236721867566,-21.604891780022
1.727,0.413,-180,73,1.23768609325753,-21.9773987934904
1.727,0.413,-180,74,1.14153993152401,-22.3871311974278
1.727,0.413,-180,75,1.04393899377461,-22.8385597162528
1.727,0.413,-180,76,0.944893317981014,-23.3371715070268
1.727,0.413,-180,77,0.844412492536688,-23.8897846033337
1.727,0.413,-180,78,0.742505414647992,-24.504993112144
1.727,0.413,-180,79,0.639180035115774,-25.1938132308006
1.727,0.413,-180,80,0.534443090420623,-25.9706471489099
1.727,0.413,-180,81,0.428299823195193,-26.8547673063363
1.727,0.413,-180,82,0.320753692340379,-27.8726841240132
1.727,0.413,-180,83,0.211806074215722,-29.062070905001
1.727,0.413,-180,84,0.101455956504889,-30.4785189929505
1.727,0.413,-180,85,-0.0103003734799604,-32.2074125129383
1.727,0.413,-180,86,-0.123469644139161,-34.3834135865148
1.727,0.413,-180,87,-0.238061916520605,-37.2018499729047
1.727,0.413,-180,88,-0.354090900681966,-40.6708870389912
1.727,0.413,-180,89,-0.471574269223171,-42.4817647889541
1.727,0.413,-180,90,-0.590533965671214,-39.6122364900181
1.727,0.413,-180,91,-0.710996505372167,-36.0033082343358
1.727,0.413,-180,92,-0.832993266555042,-33.1128150875305
1.727,0.413,-180,93,-0.956560769281961,-30.81744391642
1.727,0.413,-180,94,-1.08174094009112,-28.9328724646915
1.727,0.413,-180,95,-1.20858136027441,-27.3374841438876
1.727,0.413,-180,96,-1.33713549591066,-25.9539297074084
1.727,0.413,-180,97,-1.46746290799701,-24.7313670965789
1.727,0.413,-180,98,-1.59962944128366,-23.6350012154187
1.727,0.413,-180,99,-1.73370739071708,-22.6401248158554
1.727,0.413,-180,100,-1.86977564473059,-21.7286284644094
1.727,0.413,-180,101,-2.00791980498324,-20.8868764481317
1.727,0.413,-180,102,-2.14823228253278,-20.1043640955957
1.727,0.413,-180,103,-2.2908123708295,-19.3728392376428
1.727,0.413,-180,104,-2.43576629632833,-18.6857094416926
1.727,0.413,-180,105,-2.58320724792978,-18.0376310616162
1.727,0.413,-180,106,-2.73325538686912,-17.4242174166259
1.727,0.413,-180,107,-2.88603783907157,-16.8418271050081
1.727,0.413,-180,108,-3.04168867237308,-16.2874075043117
1.727,0.413,-180,109,-3.20034886136632,-15.7583770860808
1.727,0.413,-180,110,-3.36216624296623,-15.2525355528197
1.727,0.413,-180,111,-3.5272954660952,-14.767994262664
1.727,0.413,-180,112,-3.69589793916371,-14.3031216796443
1.727,0.413,-180,113,-3.86814177926709,-13.8565001113135
1.727,0.413,-180,114,-4.04420176723375,-13.426891036451
1.727,0.413,-180,115,-4.22425931284782,-13.0132070487117
1.727,0.413,-180,116,-4.40850243473169,-12.6144889523165
1.727,0.413,-180,117,-4.59712575951751,-12.2298869110393
1.727,0.413,-180,118,-4.79033054506546,-11.8586448165548
1.727,0.413,-180,119,-4.98832473260863,-11.5000872365974
1.727,0.413,-180,120,-5.19132303282602,-11.1536084476907
1.727,0.413,-180,121,-5.39954705097482,-10.8186631654924
