,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,alpha_s,delta_path_loss,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling High Band (K),alpha_s low band,alpha_s high band
0,0.0,104.0,0.1,0,2.779818392907423,6.97483236582961e-06,1.4823061925720978e-22,2.3554468998956527e-07,0.9999952891172964,1283627.6309814383,0.655047308604133,0.655047308604133,2.3554468998956527e-07,1.810533351306355e-05
1,10.0,104.12115384615385,0.1,0,2.7799136969352705,6.998802418043999e-06,1.598240684185869e-22,2.36350218126358e-07,0.9999952730068098,1283621.0221678298,0.7109280848817068,0.7109280848817068,2.36350218126358e-07,1.8167251086206193e-05
2,20.0,104.24230769230769,0.1,0,2.7800090009119263,7.0228548472779025e-06,1.7229410583071816e-22,2.3715894664221445e-07,0.999995256832316,1283614.3907757348,0.7670291498276669,0.7670291498276669,2.3715894664221445e-07,1.822941465907958e-05
3,30.0,104.36346153846154,0.1,0,2.7801043048373963,7.0469899366346246e-06,1.857047037263626e-22,2.3797084290829314e-07,0.9999952405944679,1283607.736716935,0.8233513150126387,0.8233513150126387,2.3797084290829314e-07,1.829182172364137e-05
4,40.0,104.48461538461538,0.1,0,2.780199608711686,7.0712079701904774e-06,2.0012433238561318e-22,2.3877997859226455e-07,0.9999952244118313,1283601.0600689803,0.8798939879522524,0.8798939879522524,2.3877997859226455e-07,1.8354016593821936e-05
5,50.0,104.60576923076923,0.1,0,2.7802949125347993,7.095509232997982e-06,2.1562626423866365e-22,2.395981338710786e-07,0.999995208048804,1283594.3605800306,0.9366593642580928,0.9366593642580928,2.395981338710786e-07,1.8416904762470772e-05
6,60.0,104.72692307692307,0.1,0,2.780390216306741,7.119894011089357e-06,2.3228889769241935e-22,2.404193608477806e-07,0.9999951916243434,1283587.6381645626,0.9936482306034664,0.9936482306034664,2.404193608477806e-07,1.8480029039667483e-05
7,70.0,104.84807692307692,0.1,0,2.7804855200275167,7.144362591479796e-06,2.5019610190499635e-22,2.412377922018177e-07,0.9999951752557951,1283580.8929011123,1.0508599818689246,1.0508599818689246,2.412377922018177e-07,1.8542938429062112e-05
8,80.0,104.96923076923076,0.1,0,2.780580823697131,7.168915262170904e-06,2.6943758380462105e-22,2.420650887226442e-07,0.9999951587099446,1283574.1245421695,1.1082967769195826,1.1082967769195826,2.420650887226442e-07,1.8606529246687526e-05
9,90.0,105.09038461538462,0.1,0,2.780676127315589,7.193552312154022e-06,2.901092787260462e-22,2.4288956743795287e-07,0.9999951422204503,1283567.3331668945,1.1659580024067693,1.1659580024067693,2.4288956743795287e-07,1.866990347140788e-05
10,100.0,105.21153846153847,0.1,0,2.7807714308828952,7.218274031413667e-06,3.1231376611838106e-22,2.43722810253846e-07,0.999995125555675,1283560.5185306107,1.2238457929800384,1.2238457929800384,2.43722810253846e-07,1.8733951355823267e-05
11,110.0,105.33269230769231,0.1,0,2.780866734399054,7.243080710930972e-06,3.3616071186360193e-22,2.44558970892175e-07,0.9999951088325439,1283553.6805521133,1.281960894775856,1.281960894775856,2.44558970892175e-07,1.8798223521025184e-05
12,120.0,105.45384615384616,0.1,0,2.780962037864071,7.26797264268707e-06,3.617673388352189e-22,2.453922823758873e-07,0.9999950921663959,1283546.819311445,1.3403026824264461,1.3403026824264461,2.453922823758873e-07,1.886227668364814e-05
13,130.0,105.575,0.1,0,2.781057341277952,7.292950119666544e-06,3.892589274215841e-22,2.462284914331113e-07,0.999995075442297,1283539.9347279707,1.3988718950821633,1.3988718950821633,2.462284914331113e-07,1.8926552570607663e-05
14,140.0,105.69615384615385,0.1,0,2.7811526446407,7.318013435860884e-06,4.1876934783889396e-22,2.47073266892933e-07,0.9999950585468712,1283533.0265625566,1.4576706196231535,1.4576706196231535,2.47073266892933e-07,1.8991486921046223e-05
15,150.0,105.8173076923077,0.1,0,2.781247947952321,7.343162886271918e-06,4.504416261647726e-22,2.479208425502752e-07,0.999995041595442,1283526.094737299,1.5166995706195865,1.5166995706195865,2.479208425502752e-07,1.9056636510936845e-05
16,160.0,105.93846153846154,0.1,0,2.7813432512128196,7.368398766915301e-06,4.844285461352967e-22,2.4876553042680604e-07,0.9999950247017683,1283519.1393333294,1.5759581072147608,1.5759581072147608,2.4876553042680604e-07,1.912156412921476e-05
17,170.0,106.05961538461538,0.1,0,2.7814385544222007,7.3937213748240265e-06,5.2089328886622115e-22,2.496186402538163e-07,0.9999950076396568,1283512.160115565,1.6354482810345892,1.6354482810345892,2.496186402538163e-07,1.9187139107542557e-05
18,180.0,106.18076923076923,0.1,0,2.7815338575804693,7.4191310080518914e-06,5.600101127835126e-22,2.5046884436152566e-07,0.9999949906356597,1283505.1571656447,1.6951694437139437,1.6951694437139437,2.5046884436152566e-07,1.92524907354011e-05
19,190.0,106.30192307692307,0.1,0,2.78162916068763,7.444627965677029e-06,6.019650761798697e-22,2.5132737595688684e-07,0.9999949734651139,1283498.1302511347,1.7551236236652294,1.7551236236652294,2.5132737595688684e-07,1.9318482462347715e-05
20,200.0,106.42307692307692,0.1,0,2.781724463743688,7.470212547805357e-06,6.469568049518815e-22,2.521885674508692e-07,0.9999949562413708,1283491.079298068,1.815311497080644,1.815311497080644,2.521885674508692e-07,1.9384678644557786e-05
21,210.0,106.54423076923077,0.1,0,2.7818197667486477,7.495885055574238e-06,6.951973082188987e-22,2.5304682807826075e-07,0.9999949390762449,1283484.0043887924,1.8757324046393427,1.8757324046393427,2.5304682807826075e-07,1.945064954333179e-05
22,220.0,106.66538461538461,0.1,0,2.7819150697025146,7.5216457911558785e-06,7.469128446781379e-22,2.53913277171475e-07,0.9999949217473509,1283476.9052947734,1.9363883403447715,1.9363883403447715,2.53913277171475e-07,1.9517249855168286e-05
23,230.0,106.78653846153846,0.1,0,2.7820103726052934,7.547495057761016e-06,8.023448427129753e-22,2.5478230547944024e-07,0.9999949043668732,1283469.781944308,1.997279957933391,1.997279957933391,2.5478230547944024e-07,1.9584048420437155e-05
24,240.0,106.9076923076923,0.1,0,2.7821056754569886,7.573433159642406e-06,8.61750877442328e-22,2.5565388670006644e-07,0.9999948869353378,1283462.6342664335,2.0584079037530487,2.0584079037530487,2.5565388670006644e-07,1.9651043217406933e-05
25,250.0,107.02884615384616,0.1,0,2.7822009782576056,7.599460402098462e-06,9.254057080789527e-22,2.565279948119758e-07,0.9999948694532651,1283455.4621909168,2.1197728168098458,2.1197728168098458,2.565279948119758e-07,1.9718232245923326e-05
26,260.0,107.15,0.1,0,2.7822962810071483,7.625577091476718e-06,9.936023791544236e-22,2.574046040723181e-07,0.99999485192117,1283448.265648247,2.181375328814826,2.181375328814826,2.574046040723181e-07,1.9785613527241284e-05
27,270.0,107.27115384615385,0.1,0,2.7823915837056226,7.65178353517763e-06,1.066653389368617e-21,2.5828368901456346e-07,0.9999948343395618,1283441.044569629,2.2432160642304515,2.2432160642304515,2.5828368901456346e-07,1.9853185103855337e-05
