,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,alpha_s low band,alpha_s high band,delta_path_loss low band,delta_path_loss high band,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling High Band (K)
0,0.0,104.0,0.1,0.001,2.779818392907423,6.97483236582961e-06,4.050877763200839e-09,6.932014214278637e-07,1.8562665918825175e-05,0.9999861360676766,0.9996288155876093,1283627.6309814383,0.655047308604133,0.655047308604133
1,10.0,104.12115384615385,0.1,0.001,2.7799136969352705,6.998802418043999e-06,4.168254253718021e-09,7.072593941146661e-07,1.8637796992841072e-05,0.9999858549121604,0.9996273135250071,1283607.8547294424,0.7123749580158885,0.7123749580158885
2,20.0,104.24230769230769,0.1,0.001,2.7800090009119263,7.0228548472779025e-06,4.2887470324554496e-09,7.216737308659221e-07,1.871395993901397e-05,0.9999855666295447,0.9996257908349414,1283587.6757439864,0.769965745339643,0.769965745339643
3,30.0,104.36346153846154,0.1,0.001,2.7801043048373963,7.0469899366346246e-06,4.4124309719869265e-09,7.364483587046135e-07,1.879025685894398e-05,0.9999852711412966,0.9996242654687267,1283567.0839702373,0.8278201496129057,0.8278201496129057
4,40.0,104.48461538461538,0.1,0.001,2.780199608711686,7.0712079701904774e-06,4.539382545208904e-09,7.515957473916835e-07,1.886668612726067e-05,0.9999849681980308,0.9996227374588705,1283546.0690057494,0.8859386432047698,0.8859386432047698
5,50.0,104.60576923076923,0.1,0.001,2.7802949125347993,7.095509232997982e-06,4.669679855012853e-09,7.671231798121532e-07,1.894456342906003e-05,0.9999846576540987,0.9996211805016508,1283524.6202455503,0.9443257503743677,0.9443257503743677
6,60.0,104.72692307692307,0.1,0.001,2.780390216306741,7.119894011089357e-06,4.8034026644159815e-09,7.83038612782132e-07,1.9022559185982168e-05,0.9999843393503736,0.9996196211786549,1283502.7268633512,1.002981898501919,1.002981898501919
7,70.0,104.84807692307692,0.1,0.001,2.7804855200275167,7.144362591479796e-06,4.940632427155221e-09,7.993540958578082e-07,1.910110743379884e-05,0.9999840130458756,0.9996180508124939,1283480.377697174,1.0619088517157103,1.0619088517157103
8,80.0,104.96923076923076,0.1,0.001,2.780580823697131,7.168915262170904e-06,5.081452318750406e-09,8.160766879768433e-07,1.9180635065895968e-05,0.9999836785994359,0.9996164608686267,1283457.561388949,1.121109690505842,1.121109690505842
9,90.0,105.09038461538462,0.1,0.001,2.780676127315589,7.193552312154022e-06,5.225947268041802e-09,8.332156708505831e-07,1.926026620371687e-05,0.9999833358254319,0.9996148688579711,1283434.2663224298,1.18058479175278,1.18058479175278
