,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,alpha_s low band,alpha_s high band,delta_path_loss low band,delta_path_loss high band,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling High Band (K)
0,0.0,104.0,0.1,0.042,2.779818392907423,6.97483236582961e-06,1.7013686605442915e-07,1.945719906985513e-05,3.732688404982558e-05,0.9996109317253015,0.9992537409089278,1283627.6309814383,0.655047308604133,0.655047308604133
1,10.0,104.12115384615385,0.1,0.042,2.7799136969352705,6.998802418043999e-06,1.7506667865615033e-07,2.001462388277861e-05,3.794550674370307e-05,0.9995997876286893,0.9992413777645878,1283068.1038700712,0.7717228963545415,0.7717228963545415
2,20.0,104.24230769230769,0.1,0.042,2.7800090009119263,7.0228548472779025e-06,1.8012737536312177e-07,2.05868187919134e-05,3.8579008205830754e-05,0.9995883483759511,0.9992287174273148,1282492.8357111977,0.8903229085209324,0.8903229085209324
3,30.0,104.36346153846154,0.1,0.042,2.7801043048373963,7.0469899366346246e-06,1.853221008234433e-07,2.1174138400550153e-05,3.9227727834576214e-05,0.99957660688816,0.9992157531257648,1281901.4256119935,1.0108906946540266,1.0108906946540266
4,40.0,104.48461538461538,0.1,0.042,2.780199608711686,7.0712079701904774e-06,1.9065406689876576e-07,2.177694470520987e-05,3.989238282434822e-05,0.9995645559391916,0.999202470539325,1281293.463957899,1.1334715859311124,1.1334715859311124
5,50.0,104.60576923076923,0.1,0.042,2.7802949125347993,7.095509232997982e-06,1.96126553910531e-07,2.239560754919073e-05,4.05728050828148e-05,0.9995521881466882,0.9991888730398122,1280668.5322709146,1.2581101622749913,1.2581101622749913
6,60.0,104.72692307692307,0.1,0.042,2.780390216306741,7.119894011089357e-06,2.0174291190546168e-07,2.303050450165412e-05,4.1270028750601065e-05,0.999539495974509,0.9991749399743396,1280026.203075183,1.3848539328544383,1.3848539328544383
7,70.0,104.84807692307692,0.1,0.042,2.7804855200275167,7.144362591479796e-06,2.0750656194050904e-07,2.368202127278856e-05,4.198381115247452e-05,0.9995264717244636,0.9991606762063812,1279366.0397550776,1.5137493997779083,1.5137493997779083
8,80.0,104.96923076923076,0.1,0.042,2.780580823697131,7.168915262170904e-06,2.1342099738750598e-07,2.4350551576657475e-05,4.271507482238989e-05,0.9995131075390901,0.9991460633151819,1278687.5964213938,1.644845622350732,1.644845622350732
9,90.0,105.09038461538462,0.1,0.042,2.780676127315589,7.193552312154022e-06,2.194897852577438e-07,2.503649749338648e-05,4.3463702938845824e-05,0.9994993953944515,0.9991311036504655,1277990.4177719029,1.7781910108666528,1.7781910108666528
