,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,alpha_s low band,alpha_s high band,delta_path_loss low band,delta_path_loss high band,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling High Band (K)
0,0.0,104.0,0.1,1e-05,2.779818392907423,6.97483236582961e-06,4.050877763215513e-11,2.401205248077097e-07,1.8109927259747235e-05,0.9999951976010354,0.9996378670407795,1283627.6309814383,0.655047308604133,0.655047308604133
1,10.0,104.12115384615385,0.1,1e-05,2.7799136969352705,6.998802418043999e-06,4.168254253733844e-11,2.4105680763941043e-07,1.8171829180446695e-05,0.9999951788754688,0.9996366294514661,1283634.3721809355,0.6553189704750146,0.6553189704750146
2,20.0,104.24230769230769,0.1,1e-05,2.7800090009119263,7.0228548472779025e-06,4.288747032472506e-11,2.420011034285168e-07,1.823397714561306e-05,0.9999951599896443,0.9996353869445898,1283641.139823546,0.6555916818667314,0.6555916818667314
3,30.0,104.36346153846154,0.1,1e-05,2.7801043048373963,7.0469899366346246e-06,4.412430972005311e-11,2.4295331874225916e-07,1.8296823278289582e-05,0.9999951409454304,0.9996341304810163,1283647.9341311613,0.6558654545407429,0.6558654545407429
4,40.0,104.48461538461538,0.1,1e-05,2.780199608711686,7.0712079701904774e-06,4.539382545228717e-11,2.43907588756699e-07,1.835945428402434e-05,0.9999951218601231,0.9996328783199814,1283654.7551616684,0.6561402866084068,0.6561402866084068
5,50.0,104.60576923076923,0.1,1e-05,2.7802949125347993,7.095509232997982e-06,4.6696798550342e-11,2.4486963898016917e-07,1.8422323890074436e-05,0.9999951026192127,0.9996316213902665,1283661.603133073,0.6564161829778734,0.6564161829778734
6,60.0,104.72692307692307,0.1,1e-05,2.780390216306741,7.119894011089357e-06,4.803402664438979e-11,2.4584510479031914e-07,1.8485429661975463e-05,0.9999950831099922,0.999630359740561,1283668.4784209887,0.6566931485332224,0.6566931485332224
7,70.0,104.84807692307692,0.1,1e-05,2.7804855200275167,7.144362591479796e-06,4.940632427179991e-11,2.468224194485151e-07,1.8548769189309695e-05,0.9999950635637953,0.9996290934190731,1283675.3810775592,0.6569711881348201,0.6569711881348201
8,80.0,104.96923076923076,0.1,1e-05,2.780580823697131,7.168915262170904e-06,5.08145231877708e-11,2.4780724245150027e-07,1.8612340085602733e-05,0.9999950438674327,0.9996278224735325,1283682.3113132077,0.6572503066196788,0.6572503066196788
9,90.0,105.09038461538462,0.1,1e-05,2.780676127315589,7.193552312154022e-06,5.225947268070524e-11,2.487938259249727e-07,1.8676139988214683e-05,0.9999950241358612,0.9996265469511919,1283689.2691776154,0.6575305088018111,0.6575305088018111
10,100.0,105.21153846153847,0.1,1e-05,2.7807714308828952,7.218274031413667e-06,5.374203989238749e-11,2.497934215292065e-07,1.8740166558226104e-05,0.9999950041440487,0.9996252668988296,1283696.255035139,0.6578117994725861,0.6578117994725861
11,110.0,105.33269230769231,0.1,1e-05,2.780866734399054,7.243080710930972e-06,5.526311014301611e-11,2.5080026023928335e-07,1.880441748031903e-05,0.9999949840073753,0.999623982362752,1283703.2690888008,0.6580941834010837,0.6580941834010837
12,120.0,105.45384615384616,0.1,1e-05,2.780962037864071,7.26797264268707e-06,5.6823587261150904e-11,2.518086642093313e-07,1.886844961617673e-05,0.9999949638393973,0.9996227022023988,1283710.3113828402,0.6583776587096597,0.6583776587096597
13,130.0,105.575,0.1,1e-05,2.781057341277952,7.292950119666544e-06,5.842439391862831e-11,2.528297518481488e-07,1.8933583236738205e-05,0.9999949434177476,0.9996214000223311,1283717.3822724477,0.6586622433702126,0.6586622433702126
14,140.0,105.69615384615385,0.1,1e-05,2.7811526446407,7.318013435860884e-06,6.006647197050583e-11,2.538578242722635e-07,1.8998493557300485e-05,0.9999949228564033,0.9996201023082631,1283724.4819534416,0.6589479354654888,0.6589479354654888
15,150.0,105.8173076923077,0.1,1e-05,2.781247947952321,7.343162886271918e-06,6.175078280008744e-11,2.5489279696539194e-07,1.906318285887963e-05,0.9999949021570548,0.9996188090145746,1283731.610619283,0.6592347331127018,0.6592347331127018
16,160.0,105.93846153846154,0.1,1e-05,2.7813432512128196,7.368398766915301e-06,6.347830766909488e-11,2.559345862156496e-07,1.9128957972027602e-05,0.9999948813213762,0.9996174940146342,1283738.768461098,0.6595226541039283,0.6595226541039283
17,170.0,106.05961538461538,0.1,1e-05,2.7814385544222007,7.3937213748240265e-06,6.52500480730393e-11,2.569885875128005e-07,1.91945076904857e-05,0.9999948602414583,0.9996161835225872,1283745.9558209179,0.6598116965188621,0.6598116965188621
18,180.0,106.18076923076923,0.1,1e-05,2.7815338575804693,7.4191310080518914e-06,6.706702610184947e-11,2.5804373958738845e-07,1.926026620371687e-05,0.9999948391385255,0.9996148688579711,1283753.172731424,0.6601018649803314,0.6601018649803314
19,190.0,106.30192307692307,0.1,1e-05,2.78162916068763,7.444627965677029e-06,6.893028480582357e-11,2.5911089553042115e-07,1.9326231380415825e-05,0.999994817795517,0.9996135500634119,1283760.419528841,0.6603931640916478,0.6603931640916478
20,200.0,106.42307692307692,0.1,1e-05,2.781724463743688,7.470212547805357e-06,7.084088856695381e-11,2.601899076421354e-07,1.9392401111623794e-05,0.9999947962153869,0.9996122271810889,1283767.6965452703,0.6606855984369472,0.6606855984369472
21,210.0,106.54423076923077,0.1,1e-05,2.7818197667486477,7.495885055574238e-06,7.279992347569377e-11,2.6126985213192925e-07,1.9459200783322553e-05,0.9999947746166097,0.999610891706609,1283775.0038073037,0.660979179032419,0.660979179032419
22,220.0,106.66538461538461,0.1,1e-05,2.7819150697025146,7.5216457911558785e-06,7.480849771322266e-11,2.6236144999060105e-07,1.952577192781925e-05,0.9999947527847669,0.9996095608026727,1283782.3416413863,0.6612739039582806,0.6612739039582806
23,230.0,106.78653846153846,0.1,1e-05,2.7820103726052934,7.547495057761016e-06,7.686774193926636e-11,2.6346455636994965e-07,1.9592541438061955e-05,0.9999947307227552,0.9996082259347479,1283789.7103699201,0.6615697777432431,0.6615697777432431
24,240.0,106.9076923076923,0.1,1e-05,2.7821056754569886,7.573433159642406e-06,7.897880968554404e-11,2.645737061032337e-07,1.9659930401045428e-05,0.9999947085398777,0.999606878684421,1283797.1101624644,0.6618668112923651,0.6618668112923651
25,250.0,107.02884615384616,0.1,1e-05,2.7822009782576056,7.599460402098462e-06,8.114287775489067e-11,2.6568882350435514e-07,1.9727510819136132e-05,0.999994686237648,0.9996055276083183,1283804.5411864666,0.6621650090647319,0.6621650090647319
