,Placement Depth (m),Received Power (W),Noise Power (W),Attenuation,meter_distance_per_waves
0,0.0,2.0119610527102368e-178,4.990125217502556e-16,1.0,0.0
1,2650.0,2.0119610527102368e-178,4.990125217502556e-16,0.000894535319011444,1155.476312824591
2,3170.0,2.0119610527102368e-178,4.990125217502556e-16,3.247227931914683e-05,225.27169364469216
3,3490.0,2.0119610527102368e-178,4.990125217502556e-16,1.0911730561641743e-05,133.10577701137504
4,3720.0,2.0119610527102368e-178,4.990125217502556e-16,5.426331871589909e-06,95.21951006636314
5,3900.0,2.0119610527102368e-178,4.990125217502556e-16,3.3908103881620893e-06,74.49223878629776
6,4050.0,2.0119610527102368e-178,4.990125217502556e-16,2.0417818028376444e-06,62.058520923431026
7,4180.0,2.0119610527102368e-178,4.990125217502556e-16,1.1826918908552946e-06,53.77057271176821
8,4290.0,2.0119610527102368e-178,4.990125217502556e-16,1.4022420501152799e-06,45.48840793127378
9,4390.0,2.0119610527102368e-178,4.990125217502556e-16,8.358389356363287e-07,41.3453320663903
10,4480.0,2.0119610527102368e-178,4.990125217502556e-16,6.947796549701372e-07,37.20447846576263
11,4560.0,2.0119610527102368e-178,4.990125217502556e-16,8.36984617962212e-07,33.06562320491153
12,4640.0,2.0119610527102368e-178,4.990125217502556e-16,2.003769112958007e-07,33.06089654535713
13,4710.0,2.0119610527102368e-178,4.990125217502556e-16,3.8621567783776854e-07,28.924408732341067
14,4780.0,2.0119610527102368e-178,4.990125217502556e-16,1.0723824450682952e-07,28.920792791750305
15,4840.0,2.0119610527102368e-178,4.990125217502556e-16,3.5608130496401324e-07,24.786373998557533
16,4900.0,2.0119610527102368e-178,4.990125217502556e-16,1.214258008237334e-07,24.78371923853783
17,4960.0,2.0119610527102368e-178,4.990125217502556e-16,3.8709572818025175e-08,24.78106533135463
18,5010.0,2.0119610527102368e-178,4.990125217502556e-16,2.640935549317871e-07,20.648861100883238
19,5060.0,2.0119610527102368e-178,4.990125217502556e-16,1.0888608599289153e-07,20.647019194755828
20,5110.0,2.0119610527102368e-178,4.990125217502556e-16,4.292832458359054e-08,20.645177781441994
21,5160.0,2.0119610527102368e-178,4.990125217502556e-16,1.6153078005714446e-08,20.643336860722027
22,5210.0,2.0119610527102368e-178,4.990125217502556e-16,5.789787931603127e-09,20.641496432376336
23,5250.0,2.0119610527102368e-178,4.990125217502556e-16,1.1873157829879328e-07,16.511872368227586
