,Placement Depth (m),Received Power (W),Noise Power (W),Attenuation,meter_distance_per_waves
0,0.0,6.089876320492693e-14,4.990125217502556e-16,1.0,0.0
1,8670.0,6.089876320492693e-14,4.990125217502556e-16,0.010565586261359347,3648.931072725536
2,10340.0,6.089876320492693e-14,4.990125217502556e-16,0.0004161162543931264,684.1769685510001
3,10900.0,6.089876320492693e-14,4.990125217502556e-16,5.000869054337847e-05,228.43242255728626
4,11430.0,6.089876320492693e-14,4.990125217502556e-16,4.3996230330948586e-05,216.1218012721542
5,11960.0,6.089876320492693e-14,4.990125217502556e-16,4.3996230330948586e-05,216.1218012721542
6,12490.0,6.089876320492693e-14,4.990125217502556e-16,4.3996230330948586e-05,216.1218012721542
7,13020.0,6.089876320492693e-14,4.990125217502556e-16,4.3996230330948586e-05,216.1218012721542
8,13550.0,6.089876320492693e-14,4.990125217502556e-16,4.3996230330948586e-05,216.1218012721542
9,14080.0,6.089876320492693e-14,4.990125217502556e-16,4.3996230330948586e-05,216.1218012721542
10,14610.0,6.089876320492693e-14,4.990125217502556e-16,4.3996230330948586e-05,216.1218012721542
11,15140.0,6.089876320492693e-14,4.990125217502556e-16,4.3996230330948586e-05,216.1218012721542
12,15670.0,6.089876320492693e-14,4.990125217502556e-16,4.3996230330948586e-05,216.1218012721542
13,16200.0,6.089876320492693e-14,4.990125217502556e-16,4.3996230330948586e-05,216.1218012721542
