,Placement Depth (m),Received Power (W),Noise Power (W),Attenuation,meter_distance_per_waves
0,0.0,5.6463821353975365e-28,4.987572271725434e-16,1.0,0.0
1,2700.0,5.6463821353975365e-28,4.987572271725434e-16,0.0005414932372072127,90482.25787521456
2,3210.0,5.6463821353975365e-28,4.987572271725434e-16,2.068965827903058e-05,16967.02431018313
3,3530.0,5.6463821353975365e-28,4.987572271725434e-16,6.265092671317044e-06,10187.42404375666
4,3760.0,5.6463821353975365e-28,4.987572271725434e-16,3.1481092253270977e-06,7318.5999206617835
5,3940.0,5.6463821353975365e-28,4.987572271725434e-16,2.1460299712592656e-06,5725.495974661459
6,4090.0,5.6463821353975365e-28,4.987572271725434e-16,1.4445512290191003e-06,4769.836865916634
7,4220.0,5.6463821353975365e-28,4.987572271725434e-16,9.603265260949998e-07,4132.8227842237975
8,4340.0,5.6463821353975365e-28,4.987572271725434e-16,3.5918521480850574e-07,3814.060241759229
9,4440.0,5.6463821353975365e-28,4.987572271725434e-16,8.121215837818975e-07,3177.7583215126197
10,4540.0,5.6463821353975365e-28,4.987572271725434e-16,1.581843878311753e-07,3177.1902709262704
11,4630.0,5.6463821353975365e-28,4.987572271725434e-16,1.6933860402755499e-07,2858.9858122756646
12,4710.0,5.6463821353975365e-28,4.987572271725434e-16,2.7069021281370937e-07,2540.9348340191214
13,4790.0,5.6463821353975365e-28,4.987572271725434e-16,7.753400627126116e-08,2540.571807464326
14,4860.0,5.6463821353975365e-28,4.987572271725434e-16,2.0575208118953186e-07,2222.7026585991784
15,4930.0,5.6463821353975365e-28,4.987572271725434e-16,7.2846018071534e-08,2222.4249396297478
16,4990.0,5.6463821353975365e-28,4.987572271725434e-16,3.2448497663666464e-07,1904.7146998027652
17,5050.0,5.6463821353975365e-28,4.987572271725434e-16,1.4408726704798172e-07,1904.5108033412105
18,5110.0,5.6463821353975365e-28,4.987572271725434e-16,6.260143101947916e-08,1904.3069723459464
19,5170.0,5.6463821353975365e-28,4.987572271725434e-16,2.662335337661341e-08,1904.1032067819467
20,5230.0,5.6463821353975365e-28,4.987572271725434e-16,1.1087472287466417e-08,1903.8995066142131
21,5280.0,5.6463821353975365e-28,4.987572271725434e-16,1.184729496432545e-07,1586.4273650397106
22,5330.0,5.6463821353975365e-28,4.987572271725434e-16,6.281871177283132e-08,1586.2859897865828
23,5380.0,5.6463821353975365e-28,4.987572271725434e-16,3.2922373659783144e-08,1586.1446523228954
24,5430.0,5.6463821353975365e-28,4.987572271725434e-16,1.7055567543031894e-08,1586.0033526318157
