,Placement Depth (m),Received Power (W),Noise Power (W),Attenuation,meter_distance_per_waves
0,0.0,9.512051886982051e-09,4.987572271725434e-16,1.0,0.0
1,7010.0,9.512051886982051e-09,4.987572271725434e-16,0.0041463763028889026,228049.6295777768
2,8080.0,9.512051886982051e-09,4.987572271725434e-16,9.539997489293847e-05,33811.82028898318
3,8710.0,9.512051886982051e-09,4.987572271725434e-16,3.494948438419108e-05,19878.036143377805
4,9170.0,9.512051886982051e-09,4.987572271725434e-16,1.745288430220278e-05,14500.196434969346
5,9540.0,9.512051886982051e-09,4.987572271725434e-16,9.182537551232522e-06,11654.694395973456
6,9850.0,9.512051886982051e-09,4.987572271725434e-16,5.813960851985512e-06,9758.916195005753
7,10110.0,9.512051886982051e-09,4.987572271725434e-16,5.934466244313202e-06,8180.8070831846835
8,10340.0,9.512051886982051e-09,4.987572271725434e-16,4.5116374879237964e-06,7233.761605502847
9,10470.0,9.512051886982051e-09,4.987572271725434e-16,1.1389605853664448e-06,4080.6767188993595
10,10570.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
11,10670.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
12,10770.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
13,10870.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
14,10970.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
15,11070.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
16,11170.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
17,11270.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
18,11370.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
19,11470.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
20,11570.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
21,11670.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
22,11770.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
23,11870.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
24,11970.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
25,12070.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
26,12170.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
27,12270.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
28,12370.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
29,12470.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
30,12570.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
31,12670.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
32,12770.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
33,12870.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
34,12970.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
35,13070.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
36,13170.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
37,13270.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
38,13370.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
39,13470.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
40,13570.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
41,13670.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
42,13770.0,9.512051886982051e-09,4.987572271725434e-16,4.728917748431957e-07,3134.4108356386964
