,Placement Depth (m),Received Power (W),Noise Power (W),Attenuation,meter_distance_per_waves
0,0.0,2.099773439326717e-12,4.987572271725434e-16,1.0,0.0
1,9550.0,2.099773439326717e-12,4.987572271725434e-16,0.007887811637695887,308209.26347170986
2,10710.0,2.099773439326717e-12,4.987572271725434e-16,0.00011106402827470278,36461.86097749605
3,11340.0,2.099773439326717e-12,4.987572271725434e-16,3.2954367672822347e-05,19746.788264523806
4,11970.0,2.099773439326717e-12,4.987572271725434e-16,3.2954367672822347e-05,19746.788264523806
5,12600.0,2.099773439326717e-12,4.987572271725434e-16,3.2954367672822347e-05,19746.788264523806
6,13230.0,2.099773439326717e-12,4.987572271725434e-16,3.2954367672822347e-05,19746.788264523806
7,13860.0,2.099773439326717e-12,4.987572271725434e-16,3.2954367672822347e-05,19746.788264523806
8,14490.0,2.099773439326717e-12,4.987572271725434e-16,3.2954367672822347e-05,19746.788264523806
9,15120.0,2.099773439326717e-12,4.987572271725434e-16,3.2954367672822347e-05,19746.788264523806
10,15750.0,2.099773439326717e-12,4.987572271725434e-16,3.2954367672822347e-05,19746.788264523806
